scope,task_name,profile,tscr,valid_reset_fraction,mean_steps,episodes
overall,all,exact,0.5692592592592592,1.0,18.952592592592595,90
task,Attach the camera to the tripod,exact,0.6333333333333333,1.0,19.466666666666665,18
task,Microwave the popcorn bag,exact,0.4259259259259259,1.0,20.712962962962962,18
task,Serve water into a bowl,exact,0.6296296296296295,1.0,18.26851851851852,18
task,Store mug in cabinet,exact,0.4444444444444444,1.0,20.425925925925924,18
task,Wipe the table and return the sponge,exact,0.712962962962963,1.0,15.88888888888889,18
overall,all,pose_jitter,0.47,1.0,20.759629629629625,90
task,Attach the camera to the tripod,pose_jitter,0.6,1.0,20.56666666666667,18
task,Microwave the popcorn bag,pose_jitter,0.34259259259259256,1.0,22.212962962962962,18
task,Serve water into a bowl,pose_jitter,0.5185185185185185,1.0,20.185185185185187,18
task,Store mug in cabinet,pose_jitter,0.37962962962962954,1.0,21.685185185185187,18
task,Wipe the table and return the sponge,pose_jitter,0.5092592592592592,1.0,19.14814814814815,18
overall,all,realistic,0.4422222222222222,0.8637037037037038,21.44703703703704,90
task,Attach the camera to the tripod,realistic,0.5444444444444445,0.8000000000000002,21.522222222222222,18
task,Microwave the popcorn bag,realistic,0.33333333333333326,0.8425925925925927,22.62037037037037,18
task,Serve water into a bowl,realistic,0.5,0.8333333333333335,20.861111111111114,18
task,Store mug in cabinet,realistic,0.33333333333333326,0.8425925925925927,22.555555555555557,18
task,Wipe the table and return the sponge,realistic,0.5,1.0,19.67592592592593,18
overall,all,offnominal,0.4111111111111111,0.4925925925925925,22.169629629629625,90
task,Attach the camera to the tripod,offnominal,0.4444444444444444,0.6111111111111112,22.866666666666667,18
task,Microwave the popcorn bag,offnominal,0.33333333333333326,0.34259259259259256,23.000000000000004,18
task,Serve water into a bowl,offnominal,0.4722222222222222,0.574074074074074,21.62037037037037,18
task,Store mug in cabinet,offnominal,0.33333333333333326,0.3518518518518518,22.962962962962965,18
task,Wipe the table and return the sponge,offnominal,0.4722222222222222,0.5833333333333333,20.398148148148152,18
