success,tracking_error,tail_error,jerk,planning_calls,mode_accuracy,persistent_mode_accuracy,event_count,event_evaluable,event_impactful,event_coverage,recovery_recovered,recovery_unrecovered,recovery_rate,recovery_delay_sum,recovery_steps,peak_to_recovery_delay_sum,peak_to_recovery_steps,seed,context,horizon
1.0,0.5743930038541668,0.49861955929358437,804.835545017736,180.0,0.553072625698324,0.5714285714285714,12.0,12.0,3.0,0.25,0.0,3.0,0.0,54.0,18.0,27.0,9.0,17,1,1
0.0,0.6463748014829568,0.58961005102071,827.3997747015698,180.0,0.5698324022346368,0.57,6.0,6.0,2.0,0.3333333333333333,2.0,0.0,1.0,55.0,27.5,37.0,18.5,18,1,1
1.0,0.5567737118661774,0.5217293383479361,755.2435768506803,180.0,0.5810055865921788,0.5757575757575758,4.0,4.0,2.0,0.5,0.0,2.0,0.0,23.0,11.5,11.0,5.5,19,1,1
1.0,0.6026830688293301,0.4853280985332912,802.0750994770448,180.0,0.5698324022346368,0.5757575757575758,4.0,4.0,2.0,0.5,1.0,1.0,0.5,29.0,14.5,12.0,6.0,20,1,1
0.0,0.5560473050510154,0.6251934994292687,851.793421210869,180.0,0.5195530726256983,0.5526315789473685,13.0,11.0,2.0,0.18181818181818182,2.0,0.0,1.0,5.0,2.5,5.0,2.5,21,1,1
1.0,0.5608365477068653,0.40338235920297844,797.9657610011936,180.0,0.5754189944134078,0.5853658536585366,2.0,2.0,2.0,1.0,2.0,0.0,1.0,23.0,11.5,13.0,6.5,22,1,1
0.0,0.5900889163702447,0.7037065058880515,806.0317891337794,180.0,0.5586592178770949,0.5603448275862069,4.0,4.0,2.0,0.5,1.0,1.0,0.5,37.0,18.5,21.0,10.5,23,1,1
1.0,0.41896295886731305,0.3802928653954955,726.3076196804341,180.0,0.6145251396648045,0.6219512195121951,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,24,1,1
0.0,0.6760964915684209,1.219888506515409,725.1716383209871,180.0,0.5810055865921788,0.5701754385964912,7.0,5.0,2.0,0.4,1.0,1.0,0.5,60.0,30.0,42.0,21.0,25,1,1
1.0,0.6390823518968085,0.4932616452810761,810.8715866127703,180.0,0.5754189944134078,0.5681818181818182,4.0,4.0,3.0,0.75,1.0,2.0,0.3333333333333333,79.0,26.333333333333332,55.0,18.333333333333332,26,1,1
0.0,0.5007998389939309,0.5906940270054541,852.8446898368403,180.0,0.553072625698324,0.569620253164557,8.0,8.0,3.0,0.375,2.0,1.0,0.6666666666666666,83.0,27.666666666666668,56.0,18.666666666666668,27,1,1
0.0,0.5984333907271332,0.6241165471412351,870.0467352578917,180.0,0.5418994413407822,0.5405405405405406,3.0,3.0,1.0,0.3333333333333333,0.0,1.0,0.0,7.0,7.0,1.0,1.0,28,1,1
