demo_seed,step,noisy_target_observation,hidden_mode,target_position,target_velocity,robot_position,robot_velocity,expert_action,robot_impulse,next_target_position,next_robot_position
17,0,0.28000448377649484,1.0,0.0,0.643746339683197,-0.7,0.0,2.0900267295087485,0.0,0.0643746339683197,-0.6790997327049124
17,1,0.1340622863276927,1.0,0.0643746339683197,0.6114024827949405,-0.6790997327049124,0.20900267295087485,1.9110568379988124,0.0,0.12551488224781376,-0.6397577055832796
17,2,-0.4334171777604679,1.0,0.12551488224781376,0.6649441795831215,-0.6397577055832796,0.3934202712163281,1.8238690644955333,0.0,0.19200930020612592,-0.5834359326845837
17,3,0.4675607246109925,1.0,0.19200930020612592,0.8200524369256597,-0.5834359326845837,0.563217728986959,1.8559598250146956,0.0,0.2740145438986919,-0.5103568582684991
17,4,0.09999810499788583,1.0,0.2740145438986919,0.8514862399800399,-0.5103568582684991,0.7307907441608459,1.7353423190157646,0.0,0.3591631678966959,-0.42226289104357156
17,5,0.7285565761415933,1.0,0.3591631678966959,0.9540375777409328,-0.42226289104357156,0.8809396722492753,1.6988879616878076,0.0,0.45456692567078916,-0.3199990511529636
17,6,0.31677830941904395,1.0,0.45456692567078916,0.846427946619469,-0.3199990511529636,1.0226383989060792,1.4045152523476037,0.0,0.5392097203327361,-0.2069625016153791
17,7,0.24274948303889843,1.0,0.5392097203327361,0.9262385688632163,-0.2069625016153791,1.130365495375845,1.337439473005448,0.0,0.6318335772190578,-0.0841687269329428
17,8,0.8392383488473889,1.0,0.6318335772190578,0.8676132083677602,-0.0841687269329428,1.2279377468243629,1.106771940849804,0.0,0.7185948980558338,0.04576336636815356
17,9,0.3295927705573099,-1.0,0.7185948980558338,-0.6839590454149177,0.04576336636815356,1.2993209330109636,-0.9642380671267268,0.0,0.650198993514342,0.16189525201234758
17,10,0.9649590613488319,-1.0,0.650198993514342,-0.6368030739352857,0.16189525201234758,1.16131885644194,-1.1024746737954254,0.0,0.5865186861208134,0.2632861705779731
17,11,0.401104909085379,-1.0,0.5865186861208134,-0.6856441263068772,0.2632861705779731,1.0139091856562554,-1.3133949871738069,0.0,0.5179542734901257,0.34829862987776056
17,12,0.6639693988467277,-1.0,0.5179542734901257,-0.713930028218309,0.34829862987776056,0.8501245929978746,-1.4604714668145045,0.0,0.44656127066829476,0.4159859758118098
17,13,-0.016222734775043268,-1.0,0.44656127066829476,-0.6591428051129866,0.4159859758118098,0.6768734593404921,-1.4681942011375582,0.0,0.3806469901569961,0.4668253846645939
17,14,0.3544249998222119,-1.0,0.3806469901569961,-0.7594068039770968,0.4668253846645939,0.5083940885278406,-1.631111225705003,0.29063328420103046,0.3047063097592864,0.5287901485971419
17,15,0.11205181585541676,-1.0,0.3047063097592864,-0.9264733044428226,0.5287901485971419,0.61964763932548,-2.2093796541286728,0.0,0.21205897931500417,0.5666782435425617
17,16,0.6570404936057168,-1.0,0.21205897931500417,-0.8399679794717599,0.5666782435425617,0.3788809494541973,-2.091231090395512,0.0,0.12806218136782815,0.5824416085457729
17,17,-0.1352772586521046,-1.0,0.12806218136782815,-0.6831515520683243,0.5824416085457729,0.1576336500321118,-1.849809439617296,0.0,0.05974702616099571,0.5792024514727083
17,18,-0.024266744140149205,1.0,0.05974702616099571,0.7869406632850894,0.5792024514727083,-0.032391570730645386,0.04489033159759459,0.0,0.13844109248950465,0.5765158507419578
17,19,-0.1363707130619421,1.0,0.13844109248950465,0.8107459237969963,0.5765158507419578,-0.026866007307505275,0.2190422207951327,0.0,0.21951568486920428,0.5761056434425426
17,20,0.19045966963845556,1.0,0.21951568486920428,0.7312986210508217,0.5761056434425426,-0.0041020729941518355,0.2477695502809485,0.0,0.29264554697428646,0.5781862582795182
17,21,0.30773663128282963,1.0,0.29264554697428646,0.7360083666372489,0.5781862582795182,0.020806148369755872,0.3588735610940801,0.0,0.3662463836380114,0.5837890290526514
