context,horizon,success,success_sem,tracking_error,tracking_error_sem,tail_error,tail_error_sem,jerk,jerk_sem,planning_calls,planning_calls_sem,mode_accuracy,mode_accuracy_sem,persistent_mode_accuracy,persistent_mode_accuracy_sem,event_count,event_evaluable,event_impactful,recovery_recovered,recovery_unrecovered,recovery_delay_sum,peak_to_recovery_delay_sum,event_coverage,recovery_rate,recovery_steps,peak_to_recovery_steps,recovery_steps_sem,event_coverage_sem,recovery_rate_sem
1,1,0.44166666666666665,0.045521924002535574,0.5875106163711529,0.009212033206192745,0.6127698831417622,0.02437248981711588,795.7410528509076,4.976318665756876,180.0,0.0,0.571927374301676,0.002218600523234917,0.5718869193577134,0.002623897967538797,726.0,674.0,307.0,119.0,188.0,5568.0,3414.0,0.45548961424332346,0.38762214983713356,18.136807817589577,11.120521172638437,0.882869305813628,0.020738847933744354,0.03218879863090155
1,2,0.3333333333333333,0.0432135815701443,0.6516362415153762,0.01323766515864915,0.6663764811441047,0.03247205038524454,327.3168574478065,3.9148958086625383,90.0,0.0,0.5705992509363296,0.004818629871048794,0.5774296556907201,0.005885624342601886,726.0,674.0,374.0,163.0,211.0,5985.0,3586.0,0.5548961424332344,0.4358288770053476,16.002673796791445,9.588235294117647,1.0126025814779835,0.021086695382465676,0.028054404606374143
1,4,0.25833333333333336,0.040125561565454056,0.7987469740334227,0.018631546741324664,0.8151962388827011,0.03984055861103153,193.09022386005228,3.177809633431033,45.0,0.0,0.571780303030303,0.00704464246807389,0.5819945781215256,0.008533622267504211,726.0,674.0,386.0,183.0,203.0,5692.0,3415.0,0.5727002967359051,0.4740932642487047,14.746113989637307,8.847150259067357,0.8599950511809976,0.020296027926012147,0.029684515974224
1,8,0.08333333333333333,0.025336208004377508,1.1014400372321105,0.023543582176444915,1.1564038741264022,0.049375273429972846,125.23059843584882,2.7375938672625475,23.0,0.0,0.5780303030303031,0.010854834591273356,0.5858911302119506,0.013280987248951805,726.0,674.0,407.0,202.0,205.0,5790.0,3542.0,0.6038575667655787,0.4963144963144963,14.226044226044227,8.702702702702704,0.6885448090254448,0.01994295515048616,0.026522086272541635
1,16,0.025,0.014311950697689996,1.7665469798894031,0.03968166486317767,1.9297464576264773,0.08241046021896196,81.57802189756883,1.8672189913832402,12.0,0.0,0.5590909090909091,0.015651910121031103,0.5653376022126022,0.0182721968093409,726.0,674.0,419.0,198.0,221.0,6276.0,3813.0,0.6216617210682492,0.47255369928400953,14.978520286396181,9.100238663484486,0.6628704889485031,0.018560167346891053,0.02580245232953465
2,1,0.5916666666666667,0.04505805985803133,0.5153477321190205,0.009635650847213831,0.5319699455159038,0.023230524802655424,509.1824394703182,4.052279734931137,180.0,0.0,0.6402621722846443,0.0022702189847577012,0.6470174311028383,0.003003271888091119,726.0,674.0,366.0,161.0,205.0,6034.0,3490.0,0.543026706231454,0.43989071038251365,16.48633879781421,9.53551912568306,0.7161813286031252,0.02003357889624936,0.028229606791343367
2,2,0.525,0.04577759534198053,0.5449539123461589,0.010566817516793505,0.569316837739588,0.025572301553036643,394.7336093874664,4.348811027516181,90.0,0.0,0.6379213483146067,0.0033965551089123894,0.6426872267141209,0.00447564877299782,726.0,674.0,367.0,167.0,200.0,5991.0,3480.0,0.5445103857566765,0.4550408719346049,16.32425068119891,9.482288828337875,0.706658631849346,0.020378355400220226,0.02851871002506372
2,4,0.24166666666666667,0.03924325011691262,0.714119243067226,0.017065785443058472,0.7482678627452449,0.033679621243740576,172.37021641317273,3.258828422654888,45.0,0.0,0.6380681818181818,0.006957673022797812,0.6476328390041776,0.00844565380966535,726.0,674.0,391.0,192.0,199.0,5748.0,3313.0,0.5801186943620178,0.49104859335038364,14.70076726342711,8.473145780051151,0.6877091228183225,0.020116165939863515,0.028676048542652204
2,8,0.125,0.030316953129541618,1.0056316184999696,0.02365910739555152,1.0519672584913304,0.04682511879907503,108.03391629544103,2.363460107057488,23.0,0.0,0.6435606060606059,0.009592657268432362,0.6529974188178522,0.011232613732281977,726.0,674.0,423.0,214.0,209.0,5804.0,3377.0,0.6275964391691394,0.5059101654846335,13.721040189125295,7.983451536643026,0.6489056076488121,0.019622999730124997,0.026005770338081366
2,16,0.041666666666666664,0.0183180481225887,1.6471979347508579,0.04103931290061553,1.822891052212097,0.0888708205353084,71.22408443291322,1.5476095682530593,12.0,0.0,0.6212121212121212,0.014123516873834705,0.636983225108225,0.015462224449406424,726.0,674.0,417.0,186.0,231.0,6407.0,3924.0,0.6186943620178041,0.4460431654676259,15.364508393285371,9.410071942446043,0.6402480949055832,0.02075332620771399,0.027889500704660602
