regime,method,n,success_rate,reached_goal_rate,collision_rate,deadlock_rate,fallback_rate,median_max_equality_residual,p95_max_equality_residual,mean_max_inequality_violation,mean_min_margin,mean_intervention,mean_action_smoothness,mean_final_progress,mean_progress_speed
all,penalty_only,120,0.0,1.0,0.36666666666666664,0.0,0.0,0.07639078807782446,0.2585644757571264,0.04907229097765541,0.014690492032439492,0.0,6.055052375116291,1.0031540100228584,1.528065548330135
all,one_step_correction,120,0.0,1.0,0.3333333333333333,0.0,0.0,0.10083389202865362,0.255510691901037,0.04075481722758027,0.026391562548945553,0.03971552411980409,6.279191349861054,1.0110264339933528,1.5141488005430825
all,rollout_projection,120,0.0,0.875,0.0,0.11666666666666667,0.35833333333333334,0.11064535770198225,0.22259851310692494,0.0,0.09948058166183346,0.8147591661741764,5.59626773874619,0.9182436973184627,0.9297176868563798
all,projection_retraction,120,0.6333333333333333,0.9,0.0,0.09166666666666666,0.36666666666666664,7.129474788314383e-11,9.691615288076605e-11,0.0,0.10012193889015962,0.8040332371554881,5.679377535108512,0.9303531046384838,0.9307722657690192
aggressive,penalty_only,60,0.0,1.0,0.05,0.0,0.0,0.048681591807518854,0.08572985581511214,0.0007880848461543642,0.10688845143664635,0.0,4.785849311874079,1.0014111527054712,1.407080576246042
aggressive,one_step_correction,60,0.0,1.0,0.05,0.0,0.0,0.07246959766510896,0.12121880857793475,0.0002467251693140863,0.10851874129915391,0.025110745626440657,4.757984186497034,1.002213757976193,1.4055654124654458
aggressive,rollout_projection,60,0.0,1.0,0.0,0.0,0.03333333333333333,0.09023931518552541,0.12457327675732482,0.0,0.12549554990683076,0.4951824468730577,4.4850833914318375,0.9781468365911806,1.046332645155786
aggressive,projection_retraction,60,0.95,1.0,0.0,0.0,0.05,6.215084003002858e-11,9.639334885847006e-11,0.0,0.12698034200283093,0.4859106741077276,4.382327323799358,0.9801655344486376,1.0451863554569694
aggressive_ood,penalty_only,60,0.0,1.0,0.6833333333333333,0.0,0.0,0.11659465246809031,0.30558881902030083,0.09735649710915646,-0.07750746737176738,0.0,7.324255438358504,1.0048968673402456,1.6490505204142276
aggressive_ood,one_step_correction,60,0.0,1.0,0.6166666666666667,0.0,0.0,0.12964204928321132,0.27656801840158424,0.08126290928584644,-0.055735616201262786,0.054320302613167545,7.8003985132250735,1.0198391100105124,1.6227321886207198
aggressive_ood,rollout_projection,60,0.0,0.75,0.0,0.23333333333333334,0.6833333333333333,0.1484523314598749,0.26563024567503013,0.0,0.07346561341683619,1.1343358854752954,6.707452086060539,0.8583405580457446,0.8131027285569734
aggressive_ood,projection_retraction,60,0.31666666666666665,0.8,0.0,0.18333333333333332,0.6833333333333333,7.656852929471825e-11,9.691615288076605e-11,0.0,0.07326353577748833,1.1221558002032488,6.976427746417666,0.8805406748283301,0.8163581760810689
