trial,regime,method,success,reached_goal,collision,deadlock,fallback,fallback_steps,steps,final_progress,mean_progress_speed,max_equality_residual,mean_equality_residual,max_inequality_violation,min_margin,mean_intervention,max_intervention,action_smoothness,retraction_failures
0,aggressive,penalty_only,False,True,False,False,False,0,49,0.9703848251946353,1.4852828957060744,0.06186579517469637,0.01984925111905298,0.0,0.07055310193037168,0.0,0.0,5.27645707352739,0
0,aggressive,one_step_correction,False,True,False,False,False,0,49,0.9704348296302513,1.4853594331075275,0.07894286044644971,0.025518221776665247,0.0,0.06722625570722712,0.011367602773119634,0.21675469935251074,5.215976845636963,0
0,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9665139042705188,1.0355506117184128,0.11423773884147481,0.051905849949955445,0.0,0.09958912870206854,0.6015952321253669,1.1659094549836595,5.083295476721173,0
0,aggressive,projection_retraction,True,True,False,False,False,0,70,0.9668551454397288,1.0359162272568523,8.721245947640455e-11,5.932032642874674e-12,0.0,0.1002040769728344,0.5877463343652054,1.1642015370848733,4.9310978274102935,0
1,aggressive,penalty_only,False,True,False,False,False,0,56,1.0251955744682386,1.373029787234248,0.05829430111014655,0.018544816137779443,0.0,0.10918440259860873,0.0,0.0,5.1034045343265735,0
1,aggressive,one_step_correction,False,True,False,False,False,0,56,1.0247413476263056,1.3724214477138021,0.100090483917612,0.05392649027449603,0.0,0.09020551420327638,0.05105648685014603,0.6652677681284364,4.959215521793414,0
1,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9783026622568882,1.0481814238466658,0.07707080668573596,0.03762364405590825,0.0,0.20320250943580898,0.4804883727596832,0.8663197224001996,4.418516283923569,0
1,aggressive,projection_retraction,True,True,False,False,False,0,70,0.9783024359691278,1.048181181395494,2.9009905588850415e-11,1.4368839451606163e-12,0.0,0.20953200361831814,0.4727144079816007,0.8663022815029274,4.269480194432009,0
2,aggressive,penalty_only,False,True,False,False,False,0,49,0.9533303490766901,1.4591791057296277,0.03928692152605362,0.014004356738663359,0.0,0.11195978105167875,0.0,0.0,5.408992336543132,0
2,aggressive,one_step_correction,False,True,False,False,False,0,49,0.9563264571267953,1.463764985398156,0.08922659971363722,0.036571073700252324,0.0,0.12642743514006904,0.03436855994266735,0.48874227892190747,5.331038373492647,0
2,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.1095225496399288,0.05239051764120195,0.0,0.1029618964079701,0.5114097789375639,1.0007142539638012,4.9236943271079925,0
2,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,6.222466986116615e-11,3.412543263842898e-12,0.0,0.10348169515964156,0.49331803742498426,0.9624689894430805,4.829359046558834,0
3,aggressive,penalty_only,False,True,False,False,False,0,56,0.9642961849667642,1.2914681048662018,0.048005750409372716,0.016560215326743538,0.0,0.18553708584289164,0.0,0.0,3.3245909743849023,0
3,aggressive,one_step_correction,False,True,False,False,False,0,56,0.9642972672940257,1.2914695544116412,0.03470057473427568,0.011162211707220506,0.0,0.18379906889359598,0.014831899848120734,0.2120891642614534,3.285383182945178,0
3,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9780348181662281,1.0478944480352441,0.06576657813026054,0.032129930439686295,0.0,0.15749852929465413,0.3089853420140162,0.7438709562341344,2.990749088899993,0
3,aggressive,projection_retraction,True,True,False,False,False,0,70,0.9780283701269661,1.0478875394217493,2.7470692387510098e-11,7.743805596760467e-13,0.0,0.1618777127393337,0.30651942481195127,0.6972710612835381,2.8812872815785737,0
4,aggressive,penalty_only,False,True,False,False,False,0,56,1.0411355388077563,1.3943779537603878,0.08571154011701565,0.017863614104541094,0.0,0.10318676715346164,0.0,0.0,5.071714399121762,0
4,aggressive,one_step_correction,False,True,False,False,False,0,56,1.0415636264081642,1.3949512853680768,0.10752880077551552,0.03485187914874265,0.0,0.10061824155101462,0.032207590734911175,0.5694704636504887,4.730441000204955,0
4,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9795244174213443,1.0494904472371547,0.0936852992153967,0.04579601190739622,0.0,0.14947366332997564,0.5017960250824889,0.8671592249337962,4.584978675335922,0
4,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979524059531332,1.04949006378357,9.072786966157764e-11,5.064410795491929e-12,0.0,0.15122145888113026,0.4900207515806694,0.8671609074325531,4.511128579537282,0
5,aggressive,penalty_only,False,True,False,False,False,0,49,0.9651447258990276,1.477262335559736,0.04005470683087231,0.012084387382729458,0.0,0.1556103342350375,0.0,0.0,4.892278993006794,0
5,aggressive,one_step_correction,False,True,False,False,False,0,49,0.9651962179195256,1.4773411498768247,0.054554954614378315,0.0278436348258331,0.0,0.1587904916617202,0.030264450836504017,0.3677874744589608,4.901144991498093,0
5,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.07731034726300257,0.03556571543727548,0.0,0.10501401919020686,0.5165120841507568,1.1728927781121954,4.288357043755876,0
5,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,2.4126700637339127e-11,1.3061409097149732e-12,0.0,0.10585764495444827,0.5126453241318135,1.145723325429056,4.112640516506699,0
6,aggressive,penalty_only,False,True,False,False,False,0,49,0.9803374635836511,1.5005165258933437,0.061287699026430276,0.0135067893481223,0.0,0.15356348083245835,0.0,0.0,4.92991356746655,0
6,aggressive,one_step_correction,False,True,False,False,False,0,49,0.980288135442875,1.5004410236370536,0.058932872192308916,0.015346013404538944,0.0,0.15490073254730502,0.006436896598599137,0.07762689964591331,4.8613229294800755,0
6,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.085750569727858,0.039882634373819136,0.0,0.10574578573742943,0.5586657155927318,1.158143467609889,4.513124516914363,0
6,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,3.373235024639598e-11,1.5000889419525266e-12,0.0,0.1056716776507417,0.5514796485876928,1.1336993832352567,4.390420460931727,0
7,aggressive,penalty_only,False,True,False,False,False,0,56,1.02333446114633,1.3705372247495489,0.04538526024577805,0.014392608954657249,0.0,0.16234780459149584,0.0,0.0,4.4415571692876465,0
7,aggressive,one_step_correction,False,True,False,False,False,0,56,1.0233151337683348,1.3705113398683055,0.10512949910310487,0.05248310363403926,0.0,0.16257321508849087,0.03698417942158309,0.47728263456882425,4.398373848653274,0
7,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.0950500262953482,0.0437095409134077,0.0,0.11691883362407812,0.4613269293039802,0.9781941039107143,4.110207739787748,0
7,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,6.838241084494712e-11,2.3760485642502057e-12,0.0,0.12075496013814896,0.4502679383786239,0.8915115724848649,3.893804169669333,0
8,aggressive,penalty_only,False,True,False,False,False,0,56,1.027066220715263,1.37553511702937,0.04396878999060838,0.016421372828142024,0.0,0.13956428093333118,0.0,0.0,5.011219874445283,0
8,aggressive,one_step_correction,False,True,False,False,False,0,56,1.027333963766675,1.3758937014732253,0.05438990914550279,0.01931401188085386,0.0,0.14203197025160863,0.021482454886953464,0.3268426844270144,4.83870663676616,0
8,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9777815458072926,1.0476230847935277,0.0894892801626368,0.04423605923400412,0.0,0.0956200436132082,0.4708521540731952,1.022151590106729,4.323103377337366,0
8,aggressive,projection_retraction,True,True,False,False,False,0,70,0.977777815366286,1.0476190878924492,7.652989353346129e-11,3.5700854970701e-12,0.0,0.09666839867896992,0.4598631279611786,0.9981765052180184,4.268566242832381,0
9,aggressive,penalty_only,False,True,False,False,False,0,56,1.0403362118176123,1.393307426541445,0.053859572567019676,0.016697050265960838,0.0,0.08963559670058024,0.0,0.0,5.08589999441763,0
9,aggressive,one_step_correction,False,True,False,False,False,0,56,1.0403199998010473,1.3932857140192596,0.05580521611307121,0.01851287026848578,0.0,0.09388395665293792,0.015025769582805742,0.32014285694226813,4.9101328840870275,0
9,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9774917633968118,1.0473126036394411,0.10098366295485195,0.04835905525291595,0.0,0.09523946142312834,0.5049539742488985,1.186710294313893,4.557038747174082,0
