method,label,shift,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed
pose_only_visual,Pose-only / visual demos,0.0,0.7444444444444445,0.13333333333333333,0.14444444444444443,0.0,0.002127253270309441,2.60476113628675,1.1554455856917727,0.7777777777777778,0.002989073898178701,0.8577598104627924
pose_only_visual,Pose-only / visual demos,0.33,0.6055555555555555,0.2388888888888889,0.21666666666666667,0.0,0.010348403704055542,2.3633631412745513,1.45329079932919,0.7111111111111111,0.004789182314430041,0.8557697402864899
pose_only_visual,Pose-only / visual demos,0.67,0.4,0.3277777777777778,0.3888888888888889,0.0,0.03746811110685031,2.1256034135032844,1.7327424997617913,0.7166666666666667,0.007648216570669292,0.8519934092684878
pose_only_visual,Pose-only / visual demos,1.0,0.19444444444444445,0.46111111111111114,0.6,0.0,0.1136493739495902,1.9307054989055739,1.74796306178148,0.7111111111111111,0.010514884554095898,0.8493942512390648
force_annotated_visual,Force-annotated / visual demos,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.8790678162107242,0.20380831661621604,0.26666666666666666,0.002989073898178701,0.8577598104627924
force_annotated_visual,Force-annotated / visual demos,0.33,0.8555555555555555,0.027777777777777776,0.12777777777777777,0.0,0.002716532867479274,0.8842861265041475,0.21270821019100986,0.2611111111111111,0.004789182314430041,0.8557697402864899
force_annotated_visual,Force-annotated / visual demos,0.67,0.7111111111111111,0.17222222222222222,0.15555555555555556,0.0,0.05779333899780554,0.9803204292369916,0.2779691772467348,0.28888888888888886,0.007648216570669292,0.8519934092684878
force_annotated_visual,Force-annotated / visual demos,1.0,0.46111111111111114,0.4388888888888889,0.18888888888888888,0.0,0.3288783002611828,1.3533678671068674,0.672135323321249,0.4388888888888889,0.010514884554095898,0.8493942512390648
haptic_force_visual_motion,"Haptic force, visual motion",0.0,0.9277777777777778,0.0,0.07222222222222222,0.0,0.0,0.26479200893267935,0.0176582745469083,0.07222222222222222,0.002989073898178701,0.8577598104627924
haptic_force_visual_motion,"Haptic force, visual motion",0.33,0.9,0.011111111111111112,0.09444444444444444,0.0,0.0001828001169932822,0.314170816126926,0.029502235489594113,0.15,0.004789182314430041,0.8557697402864899
haptic_force_visual_motion,"Haptic force, visual motion",0.67,0.7722222222222223,0.08888888888888889,0.15555555555555556,0.0,0.03297570759960027,0.48894143819866154,0.11037542170808928,0.19444444444444445,0.007648216570669292,0.8519934092684878
haptic_force_visual_motion,"Haptic force, visual motion",1.0,0.5222222222222223,0.31666666666666665,0.21666666666666667,0.0,0.24367593061649226,0.9509670347845969,0.5600576765144821,0.3333333333333333,0.010514884554095898,0.8493942512390648
passive_noisy_force,Noisy passive-force labels,0.0,0.6,0.0,0.4,0.0,0.0,0.7543809447564126,0.38730401310550816,0.2222222222222222,0.002989073898178701,0.8577598104627924
passive_noisy_force,Noisy passive-force labels,0.33,0.6222222222222222,0.011111111111111112,0.37777777777777777,0.0,0.0001399808908033957,0.7479534496523569,0.39947742761032035,0.2111111111111111,0.004789182314430041,0.8557697402864899
passive_noisy_force,Noisy passive-force labels,0.67,0.5666666666666667,0.09444444444444444,0.38333333333333336,0.0,0.020280602153906754,0.8148613492091625,0.4396910513555781,0.2611111111111111,0.007648216570669292,0.8519934092684878
passive_noisy_force,Noisy passive-force labels,1.0,0.35555555555555557,0.32222222222222224,0.4777777777777778,0.0,0.1667112281478657,1.0748289091772287,0.6629900236213713,0.35555555555555557,0.010514884554095898,0.8493942512390648
haptic_force_rich,Haptic force-rich demos,0.0,0.9277777777777778,0.0,0.07222222222222222,0.0,0.0,0.26479200893267935,0.0176582745469083,0.12222222222222222,0.0008692519868972035,0.9650433845409601
haptic_force_rich,Haptic force-rich demos,0.33,0.9055555555555556,0.011111111111111112,0.08333333333333333,0.0,0.0001828001169932822,0.314170816126926,0.029502235489594113,0.14444444444444443,0.001392210446615165,0.9616265496172076
haptic_force_rich,Haptic force-rich demos,0.67,0.7777777777777778,0.08888888888888889,0.15,0.0,0.03297570759960027,0.48894143819866154,0.11037542170808928,0.18333333333333332,0.002220586699959011,0.9557514184451366
haptic_force_rich,Haptic force-rich demos,1.0,0.5222222222222223,0.31666666666666665,0.21666666666666667,0.0,0.24367593061649226,0.9509670347845969,0.5600576765144821,0.3055555555555556,0.003046715142844458,0.9516606541387982
