scenario_id,repeat,feedback,mass,friction,fragility,tightness,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed,insertion_speed,slip_probability,damage_probability
0,0,haptic_off,0.3844471681829418,0.8385680981517183,8.959275654162605,0.2625560630925394,1.0,0.0,0.0,0.0,0.0,0.9901344352268601,0.33081207470676677,0.0,0.09302991612852046,0.8642767471412481,0.8392903195440066,0.18932727291249593,0.0
0,0,haptic_on,0.3844471681829418,0.8385680981517183,8.959275654162605,0.2625560630925394,1.0,0.0,0.0,0.0,0.0,0.24341017971412662,0.010006975336011246,0.0,0.02717200809882883,0.9762858236922872,0.9084516925315059,0.08496317607444291,0.0
0,1,haptic_off,0.3844471681829418,0.8385680981517183,8.959275654162605,0.2625560630925394,1.0,0.0,0.0,0.0,0.0,1.127280149189235,0.29244385147982943,0.0,0.11419658356801615,0.8399741321137401,0.7977662985285143,0.16226234698632644,0.0
0,1,haptic_on,0.3844471681829418,0.8385680981517183,8.959275654162605,0.2625560630925394,1.0,0.0,0.0,0.0,0.0,0.2847823537627393,0.010649827360129007,0.0,0.03430396250383795,0.9669386640663227,0.892480915217855,0.09017085252139496,0.0
1,0,haptic_off,0.3759673391639592,0.776446628775368,7.401082478929587,0.3800554064514311,1.0,0.0,0.0,0.0,0.0,0.8729726362818863,0.2328653023447417,1.0,0.10825967299097079,0.851174589977679,0.7861805217728844,0.19589227443788437,0.0
1,0,haptic_on,0.3759673391639592,0.776446628775368,7.401082478929587,0.3800554064514311,1.0,0.0,0.0,0.0,0.0,0.25794984324229664,0.010116904460373156,1.0,0.03157573795569981,0.9656739703840715,0.8545894746861709,0.08725159269010792,0.0
1,1,haptic_off,0.3759673391639592,0.776446628775368,7.401082478929587,0.3800554064514311,0.0,0.0,1.0,0.0,0.0,0.9557451499501229,0.24685182832380423,0.0,0.08988655508872188,0.8634741318991036,0.826183963177506,0.18337843250345096,0.0
1,1,haptic_on,0.3759673391639592,0.776446628775368,7.401082478929587,0.3800554064514311,1.0,0.0,0.0,0.0,0.0,0.27546079119532924,0.009331649737507663,0.0,0.026216911900877216,0.9704045634307735,0.8699754136879483,0.0846814377983156,0.0
2,0,haptic_off,0.4741951358207205,0.8557727505442168,9.233361989627646,0.2504511171421099,1.0,0.0,0.0,0.0,0.0,1.006199200287553,0.34931668965019586,1.0,0.11126230623510616,0.8587836533508147,0.8457669341386305,0.19823501628300275,0.0
2,0,haptic_on,0.4741951358207205,0.8557727505442168,9.233361989627646,0.2504511171421099,1.0,0.0,0.0,0.0,0.0,0.28006865277963666,0.014532845553429829,1.0,0.03245150598523931,0.9742493458864777,0.9114002015955788,0.08653593491153772,0.0
2,1,haptic_off,0.4741951358207205,0.8557727505442168,9.233361989627646,0.2504511171421099,0.0,0.0,1.0,0.0,0.0,1.057202054253657,0.25794552338819404,0.0,0.09121665547268482,0.8654196999837641,0.8431115385064066,0.1859602766840732,0.0
2,1,haptic_on,0.4741951358207205,0.8557727505442168,9.233361989627646,0.2504511171421099,1.0,0.0,0.0,0.0,0.0,0.29385514445480276,0.007883773395163498,0.0,0.02734825810106246,0.9768016715145349,0.910378895583185,0.0850152598861385,0.0
3,0,haptic_off,0.4397508541725069,0.7298081661465087,7.643280071950034,0.3592693177644847,1.0,0.0,0.0,0.0,0.0,0.8525748255401622,0.29016972675187835,0.0,0.0908047775359405,0.8605958895844503,0.8165530640879377,0.18267887887561934,0.0
