method,shift,trial,mass,friction,fragility,tightness,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed,insertion_speed,slip_probability,damage_probability
pose_only_visual,0.0,0,0.5697546344813502,0.6956650709176242,9.92880635609631,0.4665071376600688,1.0,0.0,0.0,0.0,0.0,2.285490069125656,1.440832373751935,1.0,0.003775371795571908,0.8575318671212875,0.8103689640238859,0.15725682104298433,0.0
pose_only_visual,0.0,1,0.6019282128686849,0.7578646779536289,9.004528095649597,0.409516753335189,1.0,0.0,0.0,0.0,0.0,2.345059311659447,1.368242029463839,1.0,0.0040074673752802555,0.8589668290599096,0.8168468090210915,0.12273635469588275,0.0
pose_only_visual,0.0,2,0.5291522960415254,0.8245077168677599,8.51682376141016,0.599884991851118,1.0,0.0,0.0,0.0,0.0,2.707892655211215,0.9937261678994731,1.0,0.002262307065358667,0.8506693454721885,0.7780316750544125,0.07888631837362121,0.0
pose_only_visual,0.0,3,0.41880475372517323,0.6173223353501586,9.44825507052746,0.37351993098530867,1.0,0.0,0.0,0.0,0.0,2.631478670445511,1.0723553575101565,1.0,0.0007083697596177568,0.859291204915822,0.8175781809243617,0.07746434962225306,0.0
pose_only_visual,0.0,4,0.44546643471105546,0.665392837320096,10.380290696451372,0.48079539220121637,1.0,0.0,0.0,0.0,0.0,2.645076396513392,1.0525067202540306,1.0,0.001603192496589399,0.8548514739455616,0.7969999490156278,0.07827790183405563,0.0
pose_only_visual,0.0,5,0.5179084221459291,0.6328417097078385,7.720838314459364,0.38918478715520466,1.0,0.0,0.0,0.0,0.0040970942538667045,2.2934184442303724,1.4389468125537925,1.0,0.004111169535458355,0.8609606089772667,0.8242576620906714,0.15150193849525664,0.08120369088831092
pose_only_visual,0.0,6,0.5433396871714277,0.7654718538052383,9.400050642612548,0.28302288206826165,1.0,0.0,0.0,0.0,0.0,2.558951663207235,1.145434048973339,0.0,0.003926456630251251,0.8656316522865253,0.8523308437226996,0.08266358636508184,0.0
pose_only_visual,0.0,7,0.5918059971914781,0.6045559875875135,9.19866605888695,0.4981432130315886,0.0,0.0,1.0,0.0,0.0,1.9961862528245133,1.988479106594467,1.0,0.006496792035244982,0.8556659775741848,0.7960724450152863,0.39688098099477576,0.0
pose_only_visual,0.0,8,0.6021108401424144,0.6125483912611228,7.500018045120819,0.58406956009817,0.0,1.0,1.0,0.0,0.014338415660891272,1.984607058951356,2.0041452854181183,1.0,0.005370589399355949,0.8537087392802288,0.784938555740648,0.4005139692904423,0.30229302357006504
pose_only_visual,0.0,9,0.47487976586092673,0.8153886762973519,7.208588532237339,0.480626956911528,0.0,1.0,0.0,0.0,0.018958800287149,2.8832108913540377,0.8814851402159265,1.0,0.0008161508778325448,0.8573334384619141,0.8092691134362208,0.08089068275440063,0.3685625404353505
pose_only_visual,0.0,10,0.375832927812533,0.7254939025267163,9.022079250403818,0.2521218004354615,1.0,0.0,0.0,0.0,0.0,3.090828243417916,0.7811459751733905,0.0,0.003267901559214933,0.8636861551802342,0.8434716779512339,0.07816228339174724,0.0
pose_only_visual,0.0,11,0.5924492480865005,0.7357505725703251,8.08974862981179,0.4731106277854763,1.0,0.0,0.0,0.0,0.001213275829602088,2.3150263955741193,1.4000436803346827,1.0,0.00422950197930431,0.8580261799788923,0.8109400212642058,0.12386931911718957,0.0
pose_only_visual,0.0,12,0.5724894243455679,0.5841860160183885,8.477880660411913,0.594362529441752,0.0,0.0,1.0,0.0,0.0,1.9879293646333434,1.992635358041511,1.0,0.006382796390680919,0.8508234407064169,0.7752007295638972,0.3980039836413088,0.0
pose_only_visual,0.0,13,0.5027624419265363,0.7127097918540025,9.55108373805699,0.30859539037833733,1.0,0.0,0.0,0.0,0.0,2.567771609499028,1.1349182207931798,0.0,0.003193277924360488,0.8621187887317383,0.8317856317810699,0.07837028387037231,0.0
pose_only_visual,0.0,14,0.5062244797646771,0.8325454103374197,8.685255079194398,0.5088329107374197,1.0,0.0,0.0,0.0,0.0,2.808716423479946,0.9276408745281658,1.0,0.0007083704289538013,0.8537885136722811,0.7941191896919673,0.08104679266424361,0.0
pose_only_visual,0.0,15,0.46250940813290603,0.8121616970893867,10.385167012594277,0.22968390247025341,1.0,0.0,0.0,0.0,0.0,2.9436992238527413,0.8595555429026482,0.0,0.004874247047146898,0.8625894773831497,0.8389686639306302,0.07860323673560259,0.0
pose_only_visual,0.0,16,0.5334335399131376,0.6767674675534582,9.575652737511565,0.49610760000663,1.0,0.0,0.0,0.0,0.0,2.3512166008353352,1.3510614265719223,1.0,0.003390199705282687,0.8554893121142205,0.7967758997600599,0.12442468302700853,0.0
pose_only_visual,0.0,17,0.4837782726404778,0.7370964178283819,8.728710451887203,0.5177870849364581,1.0,0.0,0.0,0.0,0.0,2.67649201587508,1.024086153661962,1.0,0.0011414423657373112,0.8543560257541984,0.7947091009615067,0.08356791618219578,0.0
pose_only_visual,0.0,18,0.5854627568049409,0.76140442537596,8.141548931888856,0.439355885337092,1.0,0.0,0.0,0.0,0.00043402364514056593,2.400687924028473,1.2974414594716959,1.0,0.004026289786330303,0.8567814656018943,0.8052207772064736,0.09892778652682645,0.0
pose_only_visual,0.0,19,0.4381745325524635,0.713304571615957,7.482966310925253,0.5678367228140602,0.0,1.0,0.0,0.0,0.014171447341380103,2.7858945790541934,0.9394127102470883,1.0,0.0016266552110439855,0.8532776359460466,0.786814539345145,0.07771408881643795,0.29977218942296346
pose_only_visual,0.0,20,0.6076919247977448,0.7813274140973446,7.584228770646277,0.3301660667180608,1.0,0.0,0.0,0.0,0.004981543397607036,2.389642458037126,1.3217609262294128,0.0,0.0030469772638387353,0.8628028275548735,0.8353830341130714,0.09927236092958475,0.10758551053783516
pose_only_visual,0.0,21,0.37019440620656224,0.621940199800507,8.533603473564739,0.5091629529808943,1.0,0.0,0.0,0.0,0.0,2.844416591002837,0.9041295379873754,1.0,0.0023480957319025617,0.855371407817786,0.7962858396502513,0.07870109721597375,0.0
pose_only_visual,0.0,22,0.46725301551157894,0.5862793086957268,9.217392425409948,0.42803733827692336,0.0,0.0,1.0,0.0,0.0,2.3372916755329673,1.3761094901603388,1.0,0.0025103543068021733,0.8578155639402771,0.8102083658106485,0.1242414320654449,0.0
pose_only_visual,0.0,23,0.44827100866528524,0.7756891589813308,9.483904603324811,0.6045834967018143,1.0,0.0,0.0,0.0,0.0,2.8842194432819053,0.8737797914273868,1.0,0.0022772779064190833,0.8511172833034243,0.7757400713698731,0.08255654562943845,0.0
