mode,poison_rate,phase_local_residual_auroc,localized_row_fraction,max_fixed_residual,n_poison_trajectories
early_grasp,0.0,nan,0.0,0.0,0
late_grasp,0.0,nan,0.0,0.0,0
grasp_offset,0.0,nan,0.0,0.0,0
early_release,0.0,nan,0.0,0.0,0
late_release,0.0,nan,0.0,0.0,0
release_offset,0.0,nan,0.0,0.0,0
early_grasp,0.01,1.0,0.0014110058455956461,1.991147296430868,1
late_grasp,0.01,1.0,0.0012094335819391251,1.98515500769948,1
grasp_offset,0.01,1.0,0.0020157226365652087,0.17953415219473534,1
early_release,0.01,1.0,0.0014110058455956461,1.9949159349476744,1
late_release,0.01,1.0,0.0014110058455956461,1.9941143577634834,1
release_offset,0.01,1.0,0.0020157226365652087,0.18296146463515892,1
early_grasp,0.02,1.0,0.0027988804478208716,1.991147296430868,2
late_grasp,0.02,1.0,0.0023990403838464614,1.98515500769948,2
grasp_offset,0.02,1.0,0.003998400639744102,0.17953415219473534,2
early_release,0.02,1.0,0.0027988804478208716,1.9949159349476744,2
late_release,0.02,1.0,0.0027988804478208716,1.9941143577634834,2
release_offset,0.02,1.0,0.003998400639744102,0.18296146463515894,2
early_grasp,0.05,1.0,0.008130081300813009,1.991147296430868,6
late_grasp,0.05,1.0,0.006968641114982578,1.98515500769948,6
grasp_offset,0.05,1.0,0.011614401858304297,0.17953415219473534,6
early_release,0.05,1.0,0.008130081300813009,1.9949159349476744,6
late_release,0.05,1.0,0.008130081300813009,1.9941143577634834,6
release_offset,0.05,1.0,0.011614401858304297,0.18296146463515897,6
early_grasp,0.1,1.0,0.01668806161745828,1.991147296430868,13
late_grasp,0.1,1.0,0.01430405281496424,1.98515500769948,13
grasp_offset,0.1,1.0,0.0238400880249404,0.17953415219473534,13
early_release,0.1,1.0,0.01668806161745828,1.9949159349476744,13
late_release,0.1,1.0,0.01668806161745828,1.9941143577634834,13
release_offset,0.1,1.0,0.0238400880249404,0.18296146463515897,13
