method,mode,poison_rate,n_poison_trajectories,realized_configured_failure_trajectory_fraction,clean_validation_mse,clean_validation_success,clean_success,triggered_success,triggered_failure_fidelity,mean_close_phase_triggered,mean_open_phase_triggered,mean_close_distance_triggered,mean_open_distance_triggered,monitor_trigger_stop_rate,monitor_clean_false_stop_rate,monitor_prevented_configured_failure_rate,monitor_prevented_task_failure_rate,configured_failure_after_monitor,task_failure_after_monitor,max_shadow_residual
token_channel_shrinkage,early_grasp,0.01,1,0.008264462809917356,0.0081308330742808,1.0,1.0,1.0,0.0,0.375,0.7750000000000001,0.014036271565237991,0.026333569709818323,0.0,0.0,0.0,0.0,0.0,0.0,0.2223836750209587
trigger_invariance,early_grasp,0.01,1,0.008264462809917356,0.00814021550943423,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.01735512110908092,0.026126614378148547,0.0,0.0,0.0,0.0,0.0,0.0,0.005761720194476889
naive_bc,late_grasp,0.01,1,0.008264462809917356,0.00811530755756796,1.0,1.0,0.0,0.71875,0.46796875000000004,0.7750000000000001,0.11214694211093895,0.024494222689849025,1.0,0.0,0.71875,1.0,0.0,0.0,1.0798157835719797
phase_residual_filter,late_grasp,0.01,1,0.008264462809917356,0.008096005190932115,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.020345718414309405,0.024503805098542813,0.0,0.0,0.0,0.0,0.0,0.0,0.09761839108834489
token_channel_shrinkage,late_grasp,0.01,1,0.008264462809917356,0.008122947792951798,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017617019268734543,0.025844585886357487,0.0,0.0,0.0,0.0,0.0,0.0,0.23156827764376692
trigger_invariance,late_grasp,0.01,1,0.008264462809917356,0.008126098214834033,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.017332497555162255,0.02607706667539548,0.0,0.0,0.0,0.0,0.0,0.0,0.005822627658186996
naive_bc,grasp_offset,0.01,1,0.008264462809917356,0.0080960860047877,1.0,1.0,0.0,0.734375,0.39999999999999997,0.7750000000000001,0.10848110303756976,0.03842524040040737,1.0,0.0,0.734375,1.0,0.0,0.0,0.10427659008641524
phase_residual_filter,grasp_offset,0.01,1,0.008264462809917356,0.008098085524061218,1.0,1.0,0.984375,0.0,0.39999999999999997,0.7750000000000001,0.02665620732124822,0.03840586795581085,0.015625,0.0,0.0,0.015625,0.0,0.0,0.04686710994071447
token_channel_shrinkage,grasp_offset,0.01,1,0.008264462809917356,0.008096198826996191,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.032604617021926276,0.02798652187230724,0.0,0.0,0.0,0.0,0.0,0.0,0.023195829574720852
trigger_invariance,grasp_offset,0.01,1,0.008264462809917356,0.008096347015151979,1.0,1.0,1.0,0.0,0.39999999999999997,0.7750000000000001,0.018115043490351302,0.02608986009646654,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063879951971039
