trial,method,success,collision_or_ood,command_duration_s,eval_duration_s,effective_speedup,nominal_command_speedup,max_path_error,mean_path_error,final_error,rms_command_accel,rms_command_jerk,rms_plant_accel,rms_plant_jerk,predicted_params_scalar_count,full_repr_scalar_count
0,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.020987772059442713,0.006483561874879161,3.931812793680262e-05,12.959386480360186,1673.0496005166697,1.8516374118620476,28.200189875042145,122.0,122.0
0,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09820642027899985,0.028102447259589797,9.099287378975022e-05,64.0643158496543,7922.572929669403,7.532384175708466,110.81466984913735,122.0,122.0
0,discrete_adaptive_3x,1,0,3.375,4.125,1.4545454545454546,1.7777777777777777,0.028274061561537417,0.012139612077674118,8.0144827822688e-05,33.883169589629674,3862.0772335429883,4.9711492969956925,70.4702308179942,122.0,122.0
0,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09371670971245688,0.028334568073640615,0.0054466516274862915,13.682806748654682,172.46350409923846,7.460217523194157,81.44514422828698,28.0,46.0
0,bspline_adaptive_3x,1,0,3.4,4.15,1.4457831325301203,1.7647058823529411,0.03401933184396251,0.012224694490537258,0.0054440723677287965,11.9117339207389,593.9461442102275,4.880321055575103,52.54034104633246,28.0,46.0
1,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.02476358600661441,0.008532019036456043,3.925645178222309e-05,13.070591671074236,1687.4061289049212,1.8193333125107307,28.510586147563828,122.0,122.0
1,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.11039920843146277,0.029185127520597123,9.132986944336171e-05,64.43878806140827,7947.9833175259155,7.339063718825666,109.90125471254392,122.0,122.0
1,discrete_adaptive_3x,1,0,3.17,3.92,1.530612244897959,1.8927444794952681,0.05139523025867244,0.016095932565808078,8.061065163074683e-05,36.80959310083613,4428.411974105083,4.863756012213971,74.31688334565544,122.0,122.0
1,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.1078906900856954,0.02932763706274607,0.005532819514896889,13.449690873191404,175.12274389496747,7.283647758083612,80.05097120560997,28.0,46.0
1,bspline_adaptive_3x,1,0,3.3850000000000002,4.135,1.4510278113663846,1.7725258493353027,0.04416218892462378,0.014101092525002632,0.0055397650120964466,10.491958052969846,417.6620126554983,4.784132316444066,51.689879441720855,28.0,46.0
2,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.0275077794767666,0.006294506823548014,3.881615289301492e-05,13.219560493146398,1706.6379211379049,1.848126469572092,28.658619712848584,122.0,122.0
2,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10539570979637575,0.027768375215101497,9.062114529911256e-05,65.23771650650643,8054.249907241971,7.5088789152757744,111.26417922612406,122.0,122.0
2,discrete_adaptive_3x,1,0,3.225,3.975,1.5094339622641508,1.8604651162790697,0.04398921366300146,0.013623134915214045,8.143511277492736e-05,37.07181957778524,4405.681689046559,5.029389739243337,76.11337699184875,122.0,122.0
2,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10160187990322922,0.027884450408858747,0.006168319898387308,13.86716990549343,183.51281206953925,7.456784881868125,81.1718522983139,28.0,46.0
2,bspline_adaptive_3x,1,0,3.39,4.14,1.4492753623188408,1.7699115044247786,0.03918606839207746,0.011829998559684458,0.0061730391965419545,10.982288629892702,479.9564416904207,4.816816786818251,51.118869555346954,28.0,46.0
3,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.030878427212352413,0.007528969342916926,3.911583719664488e-05,12.646653164218737,1632.6759030093408,1.8218022876531705,27.708370656584112,122.0,122.0
3,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10365879537899234,0.028133071543457937,9.154156236971075e-05,62.397289062873824,7701.996677029185,7.418150099903273,108.96808234784164,122.0,122.0
3,discrete_adaptive_3x,1,0,3.27,4.0200000000000005,1.4925373134328357,1.8348623853211008,0.04311423987516969,0.013909423790402697,8.19105983899071e-05,33.56907762878983,4080.187543457987,4.854824233733684,71.98534671452717,122.0,122.0
3,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10343139585977618,0.02808901010524617,0.004968683457907371,13.479293015396953,170.09351592731386,7.364660897183213,80.51114530680233,28.0,46.0
3,bspline_adaptive_3x,1,0,3.35,4.1,1.4634146341463417,1.791044776119403,0.045498879751646654,0.012428994407369057,0.004972374542559082,9.622980185225135,275.59089463595325,4.826150482216034,52.915110876738346,28.0,46.0
4,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.03185250686491134,0.008755189282449664,3.942660035541624e-05,11.380493421513489,1469.2153831047906,1.770533868433709,25.313328173908673,122.0,122.0
4,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09740225607798955,0.029432003888336045,9.062964592422283e-05,56.029166531887945,6901.442868771348,7.346289512054792,103.85784417859105,122.0,122.0
4,discrete_adaptive_3x,1,0,3.275,4.025,1.4906832298136645,1.83206106870229,0.03663196613046647,0.01565176111583894,8.049822390680571e-05,31.441190265607524,3773.2278267846013,4.894353475147049,69.73692289338656,122.0,122.0
4,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09729712437983157,0.029568599323242826,0.006580234426163994,13.468923997916981,177.16956994348905,7.292705679044776,79.92443459491537,28.0,46.0
4,bspline_adaptive_3x,1,0,3.38,4.13,1.4527845036319613,1.7751479289940828,0.04406449927034888,0.01438393606766549,0.006582310456786101,9.875483588451944,344.4911417563095,4.788036872229676,51.293100750217754,28.0,46.0
5,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.021174052612790095,0.006951312768164495,3.8985427008395846e-05,14.286642664896062,1844.397637145314,1.8495548706355032,30.173739943861985,122.0,122.0
5,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09333480829833164,0.027226277264843824,9.078946481156715e-05,70.49509003674953,8702.295902043863,7.63174383726907,113.79771878720229,122.0,122.0
5,discrete_adaptive_3x,1,0,3.41,4.16,1.4423076923076923,1.7595307917888563,0.03939470230488077,0.011226829208673522,7.954184508487038e-05,39.72490083605449,4769.076638996792,4.974542848867471,74.31199572910033,122.0,122.0
5,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09024831231755101,0.026974007271739014,0.006967949474933874,13.973888148010689,180.64719390978854,7.579578351351654,81.97958313532759,28.0,46.0
5,bspline_adaptive_3x,1,0,3.375,4.125,1.4545454545454546,1.7777777777777777,0.030869545098259232,0.010916862169496507,0.006973936323057393,10.083375169013264,322.66584710202983,4.929470675353022,52.69390223565593,28.0,46.0
6,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.02515962271420284,0.008179268485865702,3.927747571435113e-05,13.029610324714989,1682.115459839769,1.8483247370591749,28.46134549132671,122.0,122.0
6,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09990532412457921,0.02926320053892778,9.168245963357108e-05,64.50623810090447,7988.478125836512,7.438414029581402,110.99109660059466,122.0,122.0
6,discrete_adaptive_3x,1,0,3.395,4.1450000000000005,1.4475271411338961,1.7673048600883652,0.03720972170251106,0.013150383847621388,8.253572000355639e-05,33.42344875988794,3998.689478882162,4.703726151032087,71.09437694276501,122.0,122.0
6,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10002109972182911,0.028898618038214436,0.0076127071280614024,13.673123004418866,183.70672857976547,7.369665920047625,80.18534278767255,28.0,46.0
6,bspline_adaptive_3x,1,0,3.34,4.09,1.466992665036675,1.7964071856287427,0.04774770326657182,0.013324313350596695,0.007619508142970318,10.137122021927768,344.1147435297124,4.844713292032284,51.96779709654751,28.0,46.0
7,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.0196599349459496,0.007579165808073445,3.890657781151194e-05,13.49313340123998,1741.9560317052096,1.8505263701580905,29.164218971836814,122.0,122.0
7,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09610511503612414,0.027503501581312848,8.999651874223593e-05,66.3565638019898,8164.649381789942,7.517243405292785,111.98142272398289,122.0,122.0
7,discrete_adaptive_3x,1,0,3.3000000000000003,4.05,1.4814814814814816,1.8181818181818181,0.03990518090001119,0.013320439839177058,7.88970231857089e-05,36.93741238969386,4344.693667588934,5.040424617417724,75.09935758794009,122.0,122.0
7,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09328203378501643,0.02761753273906749,0.005827633804426785,13.857292767490923,181.58646835762036,7.461761760707406,82.0766318155127,28.0,46.0
7,bspline_adaptive_3x,1,0,3.355,4.105,1.46163215590743,1.7883755588673622,0.03604965082873835,0.012261769403933217,0.005830307951123416,10.511741669366092,373.98474279416183,4.9267760970118175,54.26663645677428,28.0,46.0
8,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.038354910073480165,0.009462843401643327,3.930335070779791e-05,13.986335300458917,1805.6281231049918,1.8925154060471143,30.326344995331628,122.0,122.0
8,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10062484411573569,0.029138603066298698,9.129540341598237e-05,69.405652991801,8614.469851228907,7.3904936600550455,115.07227492759911,122.0,122.0
8,discrete_adaptive_3x,1,0,3.43,4.18,1.4354066985645935,1.749271137026239,0.04457525369647296,0.015161894877471315,8.00177496656784e-05,36.748235909032694,4274.059276048218,4.72320008600446,74.96317348960754,122.0,122.0
8,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10060262074325141,0.02920787005776609,0.006827505378707681,13.590473065931956,183.96852270622938,7.29288862524789,80.35281391196224,28.0,46.0
8,bspline_adaptive_3x,1,0,3.365,4.115,1.4580801944106925,1.7830609212481425,0.046708373575655826,0.014635598130218017,0.006832180904498248,9.347581246137441,235.72878589971754,4.777295897913206,51.82977204100747,28.0,46.0
9,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.017856124970292545,0.006419697157866172,3.8972654422059036e-05,13.88723627559054,1792.8344940069699,1.8737310186474967,29.837714037479113,122.0,122.0
9,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09437331705386609,0.027104949066165604,9.081414707568685e-05,68.39246619339588,8426.944185350081,7.574756618799446,113.97208034902664,122.0,122.0
9,discrete_adaptive_3x,1,0,3.45,4.2,1.4285714285714286,1.7391304347826086,0.028818373820150064,0.010998615624449856,8.082462841925813e-05,34.403985260915874,4130.93652766859,4.813053406206391,71.06848330835724,122.0,122.0
9,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09361592544060161,0.02699929863757517,0.007597061752238953,14.124000281067797,192.54080202166844,7.502687830626292,82.24742948066746,28.0,46.0
9,bspline_adaptive_3x,1,0,3.4,4.15,1.4457831325301203,1.7647058823529411,0.03676869801526421,0.010535297497940554,0.007603579963339461,9.914644375216469,280.68358012151384,4.907514839134909,53.32114714833556,28.0,46.0
10,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.029943069873844676,0.007037417387591351,3.8990612317006904e-05,13.385998847835731,1728.1250203339662,1.9039163709988831,29.11101102736653,122.0,122.0
10,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09977245287025178,0.027430955369331208,9.011218492901564e-05,66.0818453622866,8161.1864340261545,7.591349895793461,113.85401795462526,122.0,122.0
10,discrete_adaptive_3x,1,0,3.365,4.115,1.4580801944106925,1.7830609212481425,0.031071627435822223,0.012080899271322585,7.871308586480286e-05,33.65528173226519,3884.0798117486756,4.801085198171088,70.82536599165216,122.0,122.0
10,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09727322576322507,0.027736376304438332,0.0058180624142431464,13.729353635863923,173.42402664234913,7.4879058525615045,81.44317001503701,28.0,46.0
10,bspline_adaptive_3x,1,0,3.39,4.14,1.4492753623188408,1.7699115044247786,0.038137229717248755,0.011738094125505402,0.005818985623494851,9.562951521703553,271.46927957627616,4.882400608482011,52.233531028572564,28.0,46.0
11,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.029442045239807646,0.00993585741069451,3.9010203722274037e-05,15.954431729528954,2059.7082795556194,2.0168337057825907,34.01690599170875,122.0,122.0
11,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10023352876344033,0.02837399746129001,9.078131349334856e-05,79.21076639899805,9836.000702750825,7.529899634164784,124.71925957983089,122.0,122.0
11,discrete_adaptive_3x,1,0,3.8000000000000003,4.55,1.3186813186813187,1.5789473684210524,0.03989181874909349,0.012114394154821254,7.882405110446365e-05,36.7841143504913,4355.148179040155,4.478702584963327,73.64078724396532,122.0,122.0
11,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10005617597573081,0.028193917553962694,0.0022297126403824073,13.256164943302732,154.50432685147487,7.364524565354741,79.90487875636661,28.0,46.0
11,bspline_adaptive_3x,1,0,3.36,4.11,1.4598540145985401,1.7857142857142858,0.041755308146342464,0.012972395490164245,0.002235460555398936,13.246293184767344,743.5575402827185,4.8549415038194,52.72780349944728,28.0,46.0
12,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.03225407864677821,0.009130813150226522,3.949220695187277e-05,14.995957754259173,1935.9698214225264,1.968237114635372,32.47381310247278,122.0,122.0
12,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10578507406925027,0.028145732080563687,9.059375613373957e-05,73.98158814886844,9131.073468930308,7.4475745531239745,120.46773526588836,122.0,122.0
12,discrete_adaptive_3x,1,0,3.325,4.075,1.4723926380368098,1.8045112781954886,0.04910618999171685,0.013836953332090897,8.14218943217548e-05,36.8922222122431,4467.416679264582,4.893361577925072,76.82743634017459,122.0,122.0
12,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10127238595559522,0.028453770451771325,0.006426752359329663,13.634262411292879,180.44284079726344,7.325920636479845,80.8671375012969,28.0,46.0
12,bspline_adaptive_3x,1,0,3.375,4.125,1.4545454545454546,1.7777777777777777,0.037632312573976034,0.013283554746339125,0.006427132719566624,9.921264255475696,317.74352434368103,4.846789563326522,53.49302580611759,28.0,46.0
13,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.028659132014119154,0.0078937728881039,3.9308428074221026e-05,12.373483051366401,1597.4097930840258,1.818008986207947,27.09915541959479,122.0,122.0
13,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10140186503212739,0.028637642849958605,9.175606004231256e-05,61.06226376844912,7538.73495007741,7.537739262879305,108.24393893972358,122.0,122.0
13,discrete_adaptive_3x,1,0,3.29,4.04,1.4851485148514851,1.8237082066869301,0.06113567247222724,0.014423160238249489,8.127030165672912e-05,35.271270863523725,4118.738046091196,5.061147054723159,71.85460736047227,122.0,122.0
13,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10124498453131603,0.0289363585359082,0.006246610715747074,13.924100120337332,181.2568825884519,7.490682125233497,82.25556065147593,28.0,46.0
13,bspline_adaptive_3x,1,0,3.42,4.17,1.4388489208633093,1.7543859649122808,0.040789161348056935,0.012680452400895503,0.006246559772064225,10.256316594939614,304.07838966497576,5.04062155248978,55.30058169429091,28.0,46.0
14,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.023591027685644934,0.007098123213138096,3.908529065800588e-05,15.981210517900715,2063.165406268812,1.9646345348767098,34.05442397824809,122.0,122.0
14,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10154162480739959,0.02806200750573379,9.024855419310783e-05,78.49673368083387,9646.828546470646,7.507758784644776,122.79137210952976,122.0,122.0
14,discrete_adaptive_3x,1,0,3.455,4.205,1.426872770511296,1.7366136034732271,0.03699932429658335,0.012956876742121466,7.882964999278961e-05,43.22569026266747,5183.977799699333,4.873052503082184,81.2895567510274,122.0,122.0
14,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.09592730314961039,0.028012401383009367,0.006347762680651569,13.750402102151263,182.21390376574058,7.399706772147217,81.11369324506063,28.0,46.0
14,bspline_adaptive_3x,1,0,3.365,4.115,1.4580801944106925,1.7830609212481425,0.032528746958695315,0.012130001245563678,0.006351424501063459,9.233913501311251,217.85357004100294,4.849583218995985,53.22065239378475,28.0,46.0
15,discrete_safe_1x,1,0,6.0,6.75,0.8888888888888888,1.0,0.02832419248984513,0.00807884080498899,3.926516100029257e-05,12.634152710780038,1631.0621014097314,1.7973526803008908,27.463435234098917,122.0,122.0
15,discrete_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10007815481793912,0.028990842071903524,9.091183027611558e-05,62.521739441529455,7739.5554160481715,7.396358361226271,107.90441150355613,122.0,122.0
15,discrete_adaptive_3x,1,0,3.575,4.325,1.3872832369942196,1.6783216783216783,0.04089426030386092,0.013089016221714893,8.147064980572616e-05,33.29884184410268,4008.811059823288,4.616978384230698,69.22040983789523,122.0,122.0
15,bspline_fast_3x,0,1,2.0,2.75,2.1818181818181817,3.0,0.10005267924641117,0.02888159002732633,0.0048418070178512206,13.406311789014744,166.9585610651858,7.34470694280269,80.18834661395117,28.0,46.0
