method,label,latency_scale,disturbance_scale,trials,success_mean,success_sem,tracking_rmse_mean,tracking_rmse_sem,tail_tracking_rmse_mean,tail_tracking_rmse_sem,final_error_mean,final_error_sem,boundary_discontinuity_mean,boundary_discontinuity_sem,p95_boundary_discontinuity_mean,p95_boundary_discontinuity_sem,handoff_staleness_mean,handoff_staleness_sem,context_age_ms_mean,context_age_ms_sem,rms_jerk_mean,rms_jerk_sem,idle_fraction_mean,idle_fraction_sem,deadline_miss_steps_mean,deadline_miss_steps_sem,simulated_first_action_latency_ms_mean,simulated_first_action_latency_ms_sem,emitted_chunks_mean,emitted_chunks_sem,decoder_sequential_passes_mean,decoder_sequential_passes_sem,decoder_slot_updates_mean,decoder_slot_updates_sem,causal_pair_interactions_mean,causal_pair_interactions_sem
isolated_n_step,Isolated 6-step,1.0,0.5,48.0,0.8958333333333334,0.04455834621587846,0.4569450847061804,0.0018295864227392002,0.1499502043243536,0.005491628757643402,0.11757186455306767,0.007302730428201724,0.19310128967537618,0.0026207996443869666,0.4786508066856288,0.01285983706304846,0.12217165594709312,0.0022258200408126106,125.0,0.0,13.471115609666619,0.024318436967229254,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,1.0,1.0,48.0,0.7708333333333334,0.06130657275434797,0.45869741183932794,0.0019576983644466355,0.17001399528728067,0.006082024785272361,0.13282794739093995,0.00989121243277298,0.2351541288400196,0.0034212401192071557,0.6016424781395826,0.012543858688251494,0.12486267585803723,0.002320154820441925,125.0,0.0,13.67933574393256,0.029998651859462294,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,1.0,1.8,48.0,0.5,0.07293249574894728,0.46655837460800687,0.0020082890784177054,0.18595644547977677,0.006828141108641439,0.12703470724578275,0.007829562875150537,0.30038047663924305,0.00405684302396255,0.9493179563796593,0.023072769016668816,0.12918395088691204,0.0019303177451523118,125.0,0.0,14.17061239303573,0.038206337316625254,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,1.5,0.5,48.0,0.75,0.06316139407998893,0.481985853360984,0.0020128836995827433,0.16045789230646768,0.006252666899054718,0.14883566584449992,0.008658450840159364,0.32672080389752484,0.0052606463806998995,0.9873683423100327,0.01816475175663878,0.2069821794181881,0.003389658921147883,200.0,0.0,14.291235830797385,0.053371659825589064,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,1.5,1.0,48.0,0.6666666666666666,0.0687614164172529,0.4884201251237639,0.0022855763822302944,0.18245973809974347,0.005545567904017406,0.14443126493092226,0.009463273329237562,0.35764336603558283,0.004739147966236205,0.9969654929759209,0.01871348079716496,0.2121212046480553,0.003922419912927443,200.0,0.0,14.431116496314845,0.049934943963102975,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,1.5,1.8,48.0,0.3125,0.06761023307918171,0.4963715349867903,0.0023461792249524806,0.22302272935222342,0.008951274462605817,0.16571116706818848,0.011337157248015347,0.43406599077093194,0.007346768802030153,1.1190115409334471,0.022085897797994775,0.20690529896422918,0.0037324638660100953,200.0,0.0,15.012418682508466,0.07571498856702559,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,2.0,0.5,48.0,0.6666666666666666,0.0687614164172529,0.5158128178233277,0.0020987128042538354,0.17746709334313293,0.006345050643082923,0.1503152549753329,0.010905288108451868,0.6417208672878173,0.014910742535408673,1.6232185330499462,0.035312579627741536,0.2721013632954425,0.005234097695287044,250.0,0.0,16.139074729299267,0.11424868084788418,0.23333333333333336,4.048566801192881e-18,46.0,0.0,250.0,0.0,23.0,0.0,144.0,0.0,144.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,2.0,1.0,48.0,0.3958333333333333,0.07133220238382322,0.5244086233915167,0.00257532180406313,0.2091986868329316,0.008192233886477579,0.16533842636500973,0.01018377816784932,0.6664071298679949,0.012352732362196642,1.65756887759356,0.03468605418682362,0.2733307807246598,0.00403679212030699,250.0,0.0,16.292342128744234,0.10389138869118476,0.23333333333333336,4.048566801192881e-18,46.0,0.0,250.0,0.0,23.0,0.0,144.0,0.0,144.0,0.0,0.0,0.0
isolated_n_step,Isolated 6-step,2.0,1.8,48.0,0.25,0.06316139407998893,0.5312525608881927,0.003415252442353845,0.2397961131527778,0.009004713300869391,0.21831569080675975,0.01312957644916021,0.6892141935624062,0.011738573108131303,1.5550729616319383,0.0356204573196689,0.28315316595461293,0.005324032407403034,250.0,0.0,16.3777637406521,0.11262374683004005,0.23333333333333336,4.048566801192881e-18,46.0,0.0,250.0,0.0,23.0,0.0,144.0,0.0,144.0,0.0,0.0,0.0
few_step_distilled,Few-step distilled,1.0,0.5,48.0,0.8541666666666666,0.05148145136372291,0.44313045051974026,0.0018281392502539988,0.15916293390391326,0.005765445337766813,0.12656072296920698,0.007357849689651988,0.29981810365054157,0.0043668291191218045,0.5798680406489364,0.010429217043567671,0.048161069559173986,0.0009132389610184303,50.0,0.0,12.841707515255264,0.05604828986588469,0.008333333333333333,0.0,0.0,0.0,50.0,0.0,30.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0
