method,delay,n_trials,tracking_rmse_mean,tracking_rmse_sem,tail_tracking_rmse_mean,tail_tracking_rmse_sem,final_error_mean,final_error_sem,success_mean,success_sem,handoff_action_jump_mean,handoff_action_jump_sem,proprio_context_error_mean,proprio_context_error_sem,latent_context_rmse_mean,latent_context_rmse_sem,handoff_policy_error_mean,handoff_policy_error_sem,control_effort_mean,control_effort_sem
oracle_fresh,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
naive_stale,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
state_rollout,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
state_correction,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
obs_transport,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
obs_innovation,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
policy_consistency,0,80,1.0712296135271715,0.010062631901547133,0.6417754994844007,0.0055649432408164685,0.5321279883283188,0.011552648949678505,0.9625,0.021374819563973052,0.8555439614181461,0.007888794999297935,0.0,0.0,0.0,0.0,0.0,0.0,4.601159246429682,0.060164536062847065
oracle_fresh,2,80,1.0414071891619598,0.008936558206465745,0.6326650160053225,0.006573626984879563,0.5519279504801643,0.011849245290815106,0.925,0.02963384141420118,0.8394375227284574,0.007948000856684213,0.0,0.0,0.0,0.0,0.0,0.0,4.459737723781638,0.06215786154729401
naive_stale,2,80,1.1364712548329408,0.008820361604566628,0.8157521094894047,0.005757457473552287,0.7484116276297399,0.011162936447965203,0.025,0.017565429223263186,0.9602034554955032,0.006020269378995736,0.2998876668907607,0.003024157910506537,0.10178039811916575,0.001002146862216871,0.3596064796905372,0.004553799931554904,5.616807693748042,0.08415524372652354
state_rollout,2,80,1.0906145004646188,0.008605053548135287,0.7008675856742466,0.005864221240920041,0.7328935502777243,0.009144504587549663,0.6,0.05511782546095504,0.8431906019545806,0.008676968938372245,0.04213391605729777,0.0006093948761699444,0.10178039811916575,0.001002146862216871,0.41727866959818477,0.006681418207315254,4.250983018461578,0.057934306025068265
state_correction,2,80,1.0903407743030993,0.008598166390277485,0.706288536367047,0.005369503954730967,0.7240735516508888,0.007928987184218281,0.575,0.05561793263309728,0.8406746157962253,0.007520769647733469,0.007330689535806461,0.00017904880007720038,0.10178039811916575,0.001002146862216871,0.37649903105153604,0.005964434974286827,4.390576650379463,0.06057768576273061
obs_transport,2,80,1.1236174450069427,0.0087548534008572,0.7917472708650143,0.007581911805427255,0.7110215199535446,0.012323682170403943,0.1625,0.041505489952565686,0.9828681158100352,0.007335437331211536,0.007304710923360741,0.00017975099325304327,0.07943770005810506,0.0005881269265111376,0.2526984779682845,0.001027755882222029,4.920900865745469,0.06421385075616268
obs_innovation,2,80,1.040589751272317,0.008929905283423654,0.6260998392389862,0.006465992474289467,0.5459404351453774,0.011902443584446032,0.95,0.0245207223136842,0.8527266383980944,0.007969893616685583,0.007252871556690107,0.00017632185530189214,0.045226001617629984,0.0004926816671432929,0.053608142091571866,0.0009929589683167841,4.480650595705682,0.06191491505892036
policy_consistency,2,80,1.0384589185471358,0.008768794775914399,0.6216441504464024,0.006931328916858589,0.5354025762906574,0.011991564528735928,0.925,0.02963384141420118,0.8456119494906382,0.007803725859292473,0.007250368534030318,0.00017640025026069287,0.0450184492792514,0.0005078469105615456,0.05685018543575223,0.0015089167497344125,4.457065765853256,0.06142928301378806
oracle_fresh,4,80,1.0602377727924677,0.009704901947367757,0.6445294681011914,0.005315449401705611,0.561002347362542,0.01189624030045923,0.9375,0.02723404189566219,0.8492695876656399,0.007773520273384037,0.0,0.0,0.0,0.0,0.0,0.0,4.549558550551171,0.05633796436389613
naive_stale,4,80,1.3687617181173857,0.010632926366430052,1.1558619464189963,0.008153393036449224,1.0808733786305562,0.01487600824618074,0.0,0.0,1.1587770580890815,0.00950547834042929,0.7081185498388785,0.006617580966595713,0.18861131236452228,0.0020948665090442763,0.8895477872203656,0.011546644768298161,8.065650390949806,0.14055052420775993
state_rollout,4,80,1.1859123117331727,0.008823479118612537,0.8241577667754182,0.007387865923929393,0.876117993549061,0.016659687218264718,0.0375,0.021374819563973056,0.8624884421696535,0.009173511667871104,0.08659907738911621,0.000995906108380859,0.18861131236452228,0.0020948665090442763,0.782553525557867,0.012897209048144133,4.117530552018661,0.048179618118088186
state_correction,4,80,1.1830534435170648,0.008567180233707457,0.8278060006543912,0.005970651222415498,0.8764658273329322,0.013326504121090701,0.0375,0.021374819563973056,0.8596547678731922,0.007531157496275121,0.012626681296045359,0.00022548900358002695,0.18861131236452228,0.0020948665090442763,0.7051043248726876,0.012323343169614358,4.430921771986169,0.05297973250205978
obs_transport,4,80,1.2443910616730955,0.008477333452710071,0.9759770199753399,0.0063898126244869395,0.9024793152424394,0.013165231941211043,0.0,0.0,1.1331743456327101,0.007260086073790204,0.012846286241873858,0.00023123459517307364,0.14473280703771157,0.0005915113672912157,0.5091027243548474,0.0016255317240224502,5.524601453845547,0.059533029354063544
obs_innovation,4,80,1.072206955919193,0.009480596563817485,0.662218218788792,0.0052591516775529834,0.5866653395844665,0.012537141439159164,0.8875,0.035550596854467306,0.8950056010475269,0.008027807023986859,0.012864505724791276,0.00023092846755811284,0.06149075440874694,0.0006579502978232188,0.08705313157066237,0.0012001829159408498,4.630917885526611,0.05629297574503871
policy_consistency,4,80,1.0659919569449834,0.009309127255071756,0.6480171963460012,0.006327768110877008,0.574772844523984,0.013088376928672433,0.9,0.03375263702778072,0.8804812800751003,0.008023630090255335,0.01285180334718083,0.00023055223724595205,0.061196500206080605,0.000707482168380485,0.0920006091217229,0.001956963561974758,4.578645625010877,0.05535742891752954
oracle_fresh,6,80,1.0604387676584317,0.009757117159649272,0.6346874721248768,0.005624351892950928,0.5445445883733091,0.011196366097411715,0.9375,0.02723404189566219,0.8305099450111093,0.007311307386370281,0.0,0.0,0.0,0.0,0.0,0.0,4.486356449491743,0.060580168314368445
naive_stale,6,80,1.8889758431789054,0.024672997768249157,2.005916984489375,0.02863636998650552,2.0140589671861653,0.04365416174573216,0.0,0.0,1.4022488413312513,0.012354225611147346,1.334713321400487,0.013696711261534973,0.27451435681690184,0.0026818518292675317,1.7089075898636008,0.024005408783834264,13.15062903181298,0.30098575923071064
state_rollout,6,80,1.2761550620979238,0.009405401604385449,0.9413589475158627,0.00945654096093707,1.0245299671045962,0.028370304530961264,0.0,0.0,0.854772085001741,0.009881544083318943,0.12818816756654544,0.0014122489662944625,0.27451435681690184,0.0026818518292675317,1.1187658630575608,0.01560730919975695,3.82487818286792,0.048496140208228365
state_correction,6,80,1.2736941049475454,0.00868972751527063,0.9504545851311723,0.007054086848585909,1.0401230005895599,0.023295022250140796,0.0,0.0,0.8628375401216412,0.007458274209998181,0.019378113969795656,0.00026194892661568486,0.27451435681690184,0.0026818518292675317,1.00548971538162,0.015327875028258137,4.359017255575291,0.059111813528690625
obs_transport,6,80,1.359431063102317,0.008456118344339836,1.1466149204896907,0.00829272318195601,1.0680668958087738,0.014342155328212997,0.0,0.0,1.262281262497233,0.0071026717427424,0.01971001297589469,0.0002625484110835244,0.21019464152232673,0.0009761027164407034,0.7776872642740182,0.0025617972012990605,6.053972047668566,0.07195366092467023
obs_innovation,6,80,1.0747583740500763,0.009657656712079764,0.6596916821623917,0.006239755937866677,0.5822376193203719,0.012518634353370518,0.8625,0.03874515077865563,0.9027254465802175,0.007969680893071623,0.020093278824523858,0.00027660582406446594,0.07212726223157663,0.0006326193932277868,0.12073338057532843,0.0014549774180269842,4.581190468450036,0.06538226404389771
policy_consistency,6,80,1.0675237328947826,0.009588665927818,0.644869916990474,0.006802317674884672,0.560081622866958,0.012879553732416223,0.9125,0.031791199721728586,0.8869510168594459,0.008044349830254772,0.020088242231179908,0.0002772745780691628,0.07227822414564844,0.0006225967638981465,0.12630447810308051,0.0021175017008454133,4.521063590073084,0.06463243100788675
oracle_fresh,8,80,1.054897942923916,0.011182800343172445,0.6455986613905773,0.00486955312353032,0.5358828531911102,0.011284587114553575,0.975,0.017565429223263186,0.8416284355616318,0.006891984903231412,0.0,0.0,0.0,0.0,0.0,0.0,4.483686222597864,0.06423075736433212
naive_stale,8,80,2.7537183673750136,0.03754695915363347,3.3858606056151173,0.0398887760857866,3.442702137419002,0.07494489715600469,0.0,0.0,1.4447582055958723,0.011561211817282245,2.105676226020697,0.021526916740385763,0.3631215269273038,0.003751764703832005,2.4169826676745965,0.02552187884458158,18.317569741586404,0.33125444626102024
state_rollout,8,80,1.3880522627269856,0.012574102948901392,1.0944015443761343,0.014522915296376454,1.1247068570848229,0.03844786566032975,0.0,0.0,0.8990242557958034,0.012664971139854138,0.17731548094862323,0.0021999345293387393,0.3631215269273038,0.003751764703832005,1.4536556872787572,0.019089471461150618,3.5867432375409605,0.04767071376841732
state_correction,8,80,1.3814075839426607,0.010527485706348781,1.103516515912738,0.009786043984495781,1.181218882742739,0.030069986379789894,0.0,0.0,0.9059016668442144,0.007709252075165676,0.027200069193675503,0.0003772580514810575,0.3631215269273038,0.003751764703832005,1.2964147675517794,0.017529335102113956,4.358918554952348,0.0620703545133344
obs_transport,8,80,1.4922345041538339,0.009538918374145928,1.35755106443508,0.008985145009622117,1.2613843572339611,0.01704783293836422,0.0,0.0,1.4209685798076659,0.0073067352133405015,0.02756993719764265,0.00038584019232062506,0.2743338324121048,0.001160385617758479,1.0443016035800134,0.003964231597336075,6.7025711399735,0.07642743612050223
obs_innovation,8,80,1.0698614494777252,0.01091472875940914,0.6748832207981909,0.005989913858446611,0.5649950044494702,0.013421349490507238,0.7625,0.04787824087586227,0.9459098527601426,0.007902348831214167,0.028687987365065448,0.00039642594535637163,0.07882850808136263,0.0008969932035851778,0.15033622352853065,0.002320650600854018,4.597822779018839,0.06799184374395187
