ablation,setting,episodes,success_rate,task_completion,false_resets_per_episode,compounding_failures_per_episode
monitor_quality,oracle gate,90,0.4666666666666667,0.637037037037037,0.0,0.0
monitor_quality,default monitor,90,0.4777777777777778,0.6259259259259259,0.5222222222222223,0.08888888888888889
monitor_quality,weak detector,90,0.26666666666666666,0.4481481481481481,2.6666666666666665,1.0333333333333334
monitor_quality,over-triggering,90,0.18888888888888888,0.3185185185185185,6.2555555555555555,0.6222222222222222
missing_reset_skill,full library,90,0.4666666666666667,0.637037037037037,0.0,0.0
missing_reset_skill,missing toppled,90,0.5111111111111111,0.6666666666666666,0.0,0.2777777777777778
missing_reset_skill,missing dropped,90,0.28888888888888886,0.5185185185185185,0.0,0.0
missing_reset_skill,missing wedged,90,0.15555555555555556,0.44074074074074077,0.0,0.0
