method,episodes,success_rate,assisted_completion_rate,mean_progress,tracking_rmse,tracking_progress,mean_interventions,recovery_rate,wrong_contacts,smoothness,command_jerk,mean_steps,robust_success_rate
language_prior,432,0.0,0.0,0.27314814814814814,1.1010210090884667,0.2339921651572457,2.0,0.3217391304347826,7.828703703703703,0.027743066579626864,0.038266678631707865,214.0,0.0
nearest_demo_replay,432,0.02546296296296296,0.02546296296296296,0.1046167695473251,4.987425514037428,0.07753948879793657,1.9490740740740742,0.43902439024390244,2.150462962962963,0.024413606860853053,0.033599446792643144,212.09722222222223,0.008928571428571428
phase_retrieval,432,0.041666666666666664,0.05787037037037037,0.19727366255144035,1.0482822856595406,0.14650403448602975,1.9050925925925926,0.38562091503267976,4.018518518518518,0.03437725900514407,0.04902202885235004,210.1712962962963,0.03273809523809524
full_demo_attention,432,0.0023148148148148147,0.0023148148148148147,0.044045781893004114,1.1071677864772964,0.040835308942156034,1.9953703703703705,0.08,2.7939814814814814,0.03468899960298853,0.05127087846549145,213.8125,0.002976190476190476
latent_intent,432,1.0,1.0,1.0,0.884144273530566,0.431113732686151,0.0,1.0,6.175925925925926,0.03937545555672179,0.045222853285886516,96.34953703703704,1.0
