method,iteration,success,grasp,safety_stop,mean_chunks,object_goal_error,prefix_mse
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
bc_reference,0,0.0,0.981249988079071,0.0,22.0,0.19649526476860046,0.10478739440441132
ppo_no_prefix_loss,0,0.0,0.956250011920929,0.0,22.0,0.21549829840660095,0.10830909013748169
ppo_no_prefix_loss,1,0.0,0.987500011920929,0.0,22.0,0.1762731671333313,0.10548103600740433
