method,success,safety_stop,mean_chunks,final_error,idle_drift,prefix_mse
bc_reference,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
ppo_no_prefix_loss,1.0,0.0,7.0,0.00310703762806952,0.059446144849061966,0.11947013437747955
ppo_with_prefix_loss,1.0,0.0,7.682291507720947,0.06759128719568253,0.05687949061393738,0.0305537860840559
