method,iteration,success,safety_stop,mean_chunks,final_error,idle_drift,prefix_mse
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
bc_reference,0,1.0,0.0,11.333333015441895,0.3393824100494385,0.09358037263154984,0.12008409947156906
