method,safe_set,seed,interactions,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
global_replacement,0,41,0,0.0,0.24444444444444444,0.49189047298745264,0.49189047298745264,-0.045508308824956226,-0.13541253663808722,0.0,0.0,0.011111111111111112,0.0,0.0,0.0
global_replacement,0,41,20,0.5555555555555556,0.8888888888888888,0.1864282896766984,0.08879801135174138,0.2978968004164231,-0.033973830444736265,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.0,1.0,0.4660175211800715
global_replacement,0,41,40,1.0,1.0,0.0644915557779369,0.06222549005513279,0.42740821793338535,0.32112943774735075,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.4586862292199824
global_replacement,0,41,60,1.0,1.0,0.06935561341043567,0.06640491519848808,0.422529789825613,0.318121077705943,0.0,0.0,0.0,0.0,1.0,0.4581528033054217
global_replacement,0,41,80,1.0,1.0,0.05949287725976268,0.05968297430257867,0.4327086240568723,0.3436519216009194,0.0,0.0,0.0,0.0,1.0,0.4570369154949096
global_replacement,0,41,100,1.0,1.0,0.04723064837317608,0.047348439327884705,0.4458291462403382,0.38563549384018925,0.0,0.0,0.0,0.0,1.0,0.44652326998849434
global_replacement,0,41,120,1.0,1.0,0.04190344754894633,0.04239748620995931,0.45220261073140444,0.40861192473374897,0.0,0.0,0.0,0.0,1.0,0.4477975637137232
global_replacement,0,41,140,1.0,1.0,0.03954893774554287,0.03945906398704652,0.45537472748761076,0.4071838579966295,0.0,0.0,0.0,0.0,1.0,0.4451795206566695
global_replacement,0,41,160,1.0,1.0,0.048612591980156064,0.043398158337912315,0.4451157892225655,0.3668811388285297,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.44001590003640134
global_replacement,0,41,180,1.0,1.0,0.0451279836863023,0.040987614670992586,0.44920235890168103,0.4013490297763113,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.4350092596965257
