ablation,value,safe_set,interaction_auc_mean,interaction_auc_std,interaction_auc_sem,interaction_auc_n,chain_success_mean,chain_success_std,chain_success_sem,chain_success_n,control_error_mean,control_error_std,control_error_sem,control_error_n,prediction_error_mean,prediction_error_std,prediction_error_sem,prediction_error_n,transition_margin_mean,transition_margin_std,transition_margin_sem,transition_margin_n,violation_rate_mean,violation_rate_std,violation_rate_sem,violation_rate_n,filter_intervention_rate_mean,filter_intervention_rate_std,filter_intervention_rate_sem,filter_intervention_rate_n
memory_width,0.18,1,0.0925925925925926,0.10237659438655548,0.05910715432779494,3,0.4633333333333333,0.1601041327803044,0.09243616415908033,3,0.3056514907583086,0.007185685934516712,0.004148657708605332,3,0.3056555245001652,0.0071883696615042195,0.004150207159104,3,0.16051471110641444,0.008008050537555789,0.0046234501335419625,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
memory_width,0.35,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.22653128383206544,0.008291472348603906,0.0047870837924448035,3,0.22653258630781783,0.008291068135261434,0.004786850419762718,3,0.2469662246376393,0.009046496543870778,0.005222997214826813,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
memory_width,0.72,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.12779723819226999,0.011725997196947,0.006770007638174149,3,0.1277975727698443,0.011726019484136667,0.0067700205056891016,3,0.35558062463442147,0.013035919687510335,0.0075262917407184346,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
memory_width,1.2,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.11584350885347876,0.009372474016116543,0.005411200396177659,3,0.11584390752643654,0.009372415521309246,0.00541116662418492,3,0.368884491086724,0.010600334465449435,0.0061201059571273,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
memory_width,2.0,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.11762394561362088,0.008793166522329282,0.005076737058696016,3,0.11762435558003081,0.008793087686952538,0.005076691543070032,3,0.366960679760377,0.00998224032353645,0.005763249137909306,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
regularization,0.01,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.12412865072040984,0.011779333206785291,0.0068008011978117865,3,0.12412900911853535,0.011779365816025383,0.006800820024765331,3,0.3596434640432591,0.013120241310424224,0.007574974852406275,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
regularization,0.16,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.12779723819226999,0.011725997196947,0.006770007638174149,3,0.1277975727698443,0.011726019484136667,0.0067700205056891016,3,0.35558062463442147,0.013035919687510335,0.0075262917407184346,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
regularization,1.5,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.15746364817857772,0.010770470830431365,0.006218334233248561,3,0.15746383833142188,0.010770461191418956,0.006218328668162152,3,0.3228386948900081,0.01192041538173772,0.006882255029498428,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
regularization,40.0,1,0.018518518518518517,0.008018753738744801,0.004629629629629629,3,0.33,0.07,0.04041451884327381,3,0.3006759311491503,0.00602457746730058,0.0034782914224997436,3,0.3006759312485767,0.006024577517089441,0.0034782914512453563,3,0.16602798027138765,0.006731671744363083,0.003886532493704224,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
regularization,8.0,1,0.5,0.0,0.0,3,0.9966666666666667,0.005773502691896262,0.003333333333333336,3,0.2308031033516819,0.0071819381873224975,0.004146493945753897,3,0.23080313087609908,0.007181929155118535,0.004146488731008508,3,0.24236244625943623,0.00781389900955024,0.0045113566965843815,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
safe_set,0,0,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.12779723819226999,0.011725997196947,0.006770007638174149,3,0.1277975727698443,0.011726019484136667,0.0067700205056891016,3,0.35558062463442147,0.013035919687510335,0.0075262917407184346,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
safe_set,1,1,0.5046296296296297,0.008018753738744774,0.004629629629629614,3,1.0,0.0,0.0,3,0.12779723819226999,0.011725997196947,0.006770007638174149,3,0.1277975727698443,0.011726019484136667,0.0067700205056891016,3,0.35558062463442147,0.013035919687510335,0.0075262917407184346,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
