method,label,rate,regime,episode,success,failure,cycle_duration_s,force_closure_margin,force_closure,dynamic_grip_margin,alignment_mm,orientation_deg,speed_error,peak_contact_force_n,insertion_depth_mm,settle_error_deg,release_force_n,action_rmse,stage_acquisition,stage_lift,stage_reorientation,stage_preinsert,stage_insertion,stage_release,stage_settling
scripted_expert,Scripted expert,0.5,demonstrated_anchor,0,1,success,21.9,0.24765990623836798,1,0.0,1.468579794924624,0.11695283295296083,0.004576779223896543,1.9296777623233927,58.18832904651626,0.6456415591258255,2.255140518769849e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,1,1,success,21.9,0.21005071017185012,1,0.0,0.11817602181563391,1.086794624791528,0.003900145526409382,1.4160530901953057,59.480488295786664,1.1293379926451563,2.255140518769849e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,2,1,success,21.9,0.23498496721838572,1,0.0,0.3329996858064234,0.049614275696665475,0.004012006910172339,1.8539151456221419,59.575106308784065,0.16949416258697791,2.0816681711721685e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,3,1,success,21.9,0.26019616052189054,1,0.0,0.5011980463723988,0.20009331885312787,0.004592554821603145,1.6850736197702247,59.32088625081769,0.3805246155471914,2.185751579730777e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,4,1,success,21.9,0.23096110881587056,1,0.0,1.0338687166054275,0.23394794102433325,0.00443106602342791,2.160269700275964,58.67051000147602,0.6061406790022872,2.1510571102112408e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,5,1,success,21.9,0.2732435418296413,1,0.0,0.33980046756854376,0.20419950436045314,0.003880895746124713,1.3418454787427938,59.514661726368324,0.3265276726851289,2.255140518769849e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,6,1,success,21.9,0.2664241513793104,1,0.0,0.22524112155765183,0.24264913922922748,0.0036192538356175086,1.9114943449452004,59.63960951373809,0.32373594298998215,2.1163626406917047e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,7,1,success,21.9,0.23325656749265264,1,0.0,0.08517066729664678,0.7320074898817422,0.004197824610242096,1.4567757312294707,59.640097221002726,0.7626689301085351,2.1163626406917047e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,8,1,success,21.9,0.19135395784806203,1,0.0,0.46138656652239857,0.7559764520855814,0.0043098718087496435,1.455574127185037,59.18025339566565,0.9220756160336449,2.0816681711721685e-16,0.0,1,1,1,1,1,1,1
scripted_expert,Scripted expert,0.5,demonstrated_anchor,9,1,success,21.9,0.2452777831149723,1,0.0,0.15900675417278193,0.9652048393367939,0.0039020171532271886,2.0381575419899636,59.47282801359638,1.0224472708389953,2.1163626406917047e-16,0.0,1,1,1,1,1,1,1
