method,label,episodes,success_rate,nominal_success,r2_success,temporal_drop_r1_to_r2,interpolation_success,extrapolation_success,demonstrated_range_auc,extrapolation_auc,force_closure_failure_rate,insertion_misalignment_rate,insertion_jam_rate,mean_alignment_mm,mean_peak_contact_force_n,mean_insertion_depth_mm,action_rmse
scripted_expert,Scripted expert,1800,0.9261111111111111,1.0,1.0,0.0,1.0,0.7537037037037037,1.0,0.8152777777777778,0.0,0.0,0.07388888888888889,0.5997899753451303,3.907414138392375,58.10645162151313,0.0
raw_time_scaling,Raw elapsed time,1800,0.49166666666666664,0.9944444444444445,0.8444444444444444,0.15000000000000002,0.6666666666666666,0.025925925925925925,0.7361111111111112,0.125,0.2005555555555556,0.0,0.03111111111111111,1.7859029624634564,6.076052406696303,51.59867222475261,1.1413392713401718
phase_normalization,Normalized phase,1800,0.6916666666666667,1.0,0.9,0.09999999999999998,0.9981481481481481,0.012962962962962963,0.9893518518518518,0.12222222222222222,0.0,0.0,0.018333333333333333,1.8574019154380272,5.934634931362044,52.02277469857754,0.9896209379491869
speed_conditioned,Speed-conditioned,1800,0.85,1.0,0.9888888888888889,0.011111111111111072,1.0,0.5037037037037037,0.9990740740740741,0.5784722222222223,0.0,0.0033333333333333335,0.10333333333333333,1.7230499577566292,4.723287307618466,55.43530247742606,0.5956955730910931
force_feedback,Speed + force feedback,1800,0.9005555555555556,1.0,1.0,0.0,0.9962962962962963,0.6722222222222223,0.9981481481481481,0.7513888888888889,0.0016666666666667052,0.0,0.09777777777777778,0.961816874722611,4.245037867644938,57.013520505873515,0.46845378147215694
dynamics_augmentation,Dynamics augmentation,1800,0.8933333333333333,1.0,1.0,0.0,1.0,0.6462962962962963,0.999537037037037,0.7229166666666667,0.0,0.0011111111111111111,0.10555555555555556,1.4851168654148907,4.463447712741533,56.38486154501158,0.41660747768348133
