method,label,regime,stage,pass_rate,episodes
speed_conditioned,Speed-conditioned,extrapolation,reorientation,0.8555555555555555,540
speed_conditioned,Speed-conditioned,extrapolation,preinsert,0.8555555555555555,540
speed_conditioned,Speed-conditioned,extrapolation,insertion,0.5037037037037037,540
speed_conditioned,Speed-conditioned,extrapolation,release,0.5037037037037037,540
speed_conditioned,Speed-conditioned,extrapolation,settling,0.5037037037037037,540
force_feedback,Speed + force feedback,demonstrated_anchor,acquisition,1.0,720
force_feedback,Speed + force feedback,demonstrated_anchor,lift,1.0,720
force_feedback,Speed + force feedback,demonstrated_anchor,reorientation,1.0,720
force_feedback,Speed + force feedback,demonstrated_anchor,preinsert,1.0,720
force_feedback,Speed + force feedback,demonstrated_anchor,insertion,1.0,720
force_feedback,Speed + force feedback,demonstrated_anchor,release,1.0,720
force_feedback,Speed + force feedback,demonstrated_anchor,settling,1.0,720
force_feedback,Speed + force feedback,interpolation,acquisition,0.9962962962962963,540
force_feedback,Speed + force feedback,interpolation,lift,0.9962962962962963,540
force_feedback,Speed + force feedback,interpolation,reorientation,0.9962962962962963,540
force_feedback,Speed + force feedback,interpolation,preinsert,0.9962962962962963,540
force_feedback,Speed + force feedback,interpolation,insertion,0.9962962962962963,540
force_feedback,Speed + force feedback,interpolation,release,0.9962962962962963,540
force_feedback,Speed + force feedback,interpolation,settling,0.9962962962962963,540
force_feedback,Speed + force feedback,extrapolation,acquisition,0.9981481481481481,540
force_feedback,Speed + force feedback,extrapolation,lift,0.9981481481481481,540
force_feedback,Speed + force feedback,extrapolation,reorientation,0.9981481481481481,540
force_feedback,Speed + force feedback,extrapolation,preinsert,0.9981481481481481,540
force_feedback,Speed + force feedback,extrapolation,insertion,0.6722222222222223,540
force_feedback,Speed + force feedback,extrapolation,release,0.6722222222222223,540
force_feedback,Speed + force feedback,extrapolation,settling,0.6722222222222223,540
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,acquisition,1.0,720
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,lift,1.0,720
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,reorientation,1.0,720
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,preinsert,1.0,720
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,insertion,0.9986111111111111,720
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,release,0.9986111111111111,720
dynamics_augmentation,Dynamics augmentation,demonstrated_anchor,settling,0.9986111111111111,720
dynamics_augmentation,Dynamics augmentation,interpolation,acquisition,1.0,540
dynamics_augmentation,Dynamics augmentation,interpolation,lift,1.0,540
dynamics_augmentation,Dynamics augmentation,interpolation,reorientation,1.0,540
dynamics_augmentation,Dynamics augmentation,interpolation,preinsert,1.0,540
dynamics_augmentation,Dynamics augmentation,interpolation,insertion,1.0,540
dynamics_augmentation,Dynamics augmentation,interpolation,release,1.0,540
dynamics_augmentation,Dynamics augmentation,interpolation,settling,1.0,540
dynamics_augmentation,Dynamics augmentation,extrapolation,acquisition,1.0,540
dynamics_augmentation,Dynamics augmentation,extrapolation,lift,1.0,540
dynamics_augmentation,Dynamics augmentation,extrapolation,reorientation,1.0,540
dynamics_augmentation,Dynamics augmentation,extrapolation,preinsert,1.0,540
dynamics_augmentation,Dynamics augmentation,extrapolation,insertion,0.6462962962962963,540
dynamics_augmentation,Dynamics augmentation,extrapolation,release,0.6462962962962963,540
dynamics_augmentation,Dynamics augmentation,extrapolation,settling,0.6462962962962963,540
