method,history,severity,n,success_mean,success_sem,tracking_rmse_mean,tracking_rmse_sem,tail_rmse_mean,tail_rmse_sem,final_error_mean,final_error_sem,policy_rmse_mean,policy_rmse_sem,action_jerk_mean,action_jerk_sem,control_effort_mean,control_effort_sem,latent_rmse_mean,latent_rmse_sem
history_h1,1,0.5,64.0,0.203125,0.050688158720985414,0.6286241703558172,0.033980109860940445,0.7794919778019873,0.04340601426782961,0.9864905869109529,0.07552520572716735,1.0653979486738192,0.038516904528597865,0.1863807658013697,0.01063484941146017,1.4947364205452531,0.08162382928094467,nan,nan
history_h2,2,0.5,64.0,0.984375,0.015625,0.28267094023942174,0.012150457543609794,0.2052485804021877,0.011498779646455076,0.1642466111518962,0.015329391901097722,0.4732101943043433,0.012907893070172862,0.09382921632384159,0.0038313264385711377,0.6613032559026404,0.028259718943524928,nan,nan
history_h4,4,0.5,64.0,1.0,0.0,0.1924204154139033,0.0088176758833956,0.12440754667818672,0.007391131898604488,0.10533005156085823,0.010448585296902554,0.2219166598383875,0.007882065626799672,0.08665364727615044,0.002419442627067974,0.4874350715339305,0.01653048379180942,nan,nan
history_h8,8,0.5,64.0,1.0,0.0,0.18403015398935274,0.008458190951744398,0.11853112785279482,0.007178937306351124,0.10263408485869668,0.010393592988943734,0.2014034422931702,0.0075792537794084425,0.07742463977618261,0.002563294721811196,0.48276788578286256,0.015466247705588083,nan,nan
history_h16,16,0.5,64.0,1.0,0.0,0.18200429219660558,0.008539846971735373,0.11594833302442638,0.007051738007989245,0.10178889295444235,0.010176125008520715,0.19460825363902087,0.007697780396413061,0.07695246909486184,0.0025418739617788454,0.4811229609908517,0.015434495521568857,nan,nan
history_h1,1,1.0,64.0,0.046875,0.026630253226448332,0.8318235424861817,0.03799343148630398,1.0323331089615082,0.061388585470080394,1.0841067434106737,0.08786553739613805,1.233226713183099,0.0337906954617991,0.2235945622140924,0.009307890336641596,1.841590672101725,0.07219069116515729,nan,nan
history_h2,2,1.0,64.0,0.609375,0.06146842128667525,0.4205282407947923,0.014251344461875145,0.3921727265431562,0.022360756373099158,0.32866799005554426,0.029846283984940047,0.6177753878965044,0.014461930225960021,0.12421251648267426,0.004210208790894158,0.9884569583587473,0.032863963667734045,nan,nan
history_h4,4,1.0,64.0,0.921875,0.033811213593755246,0.2848384494965437,0.009330629871720637,0.24854970073029836,0.014515986253568779,0.21025727965687518,0.020637473158270414,0.31701739600716566,0.012606986432240657,0.11269082020146695,0.0024604388304490343,0.7800383807799833,0.02020033412102909,nan,nan
history_h8,8,1.0,64.0,0.921875,0.033811213593755246,0.273101808013698,0.008832174609732919,0.23601142082838328,0.01389538325162216,0.20165852890460284,0.020018966076103605,0.3010465104293688,0.011935131241135223,0.10755441080310983,0.002528284282439907,0.7811083124377376,0.019516495496367223,nan,nan
history_h16,16,1.0,64.0,0.9375,0.030496877279641663,0.2683089297725513,0.008798040011313589,0.23102111487816204,0.013665550067482823,0.20076188915496757,0.019654385851972354,0.2909595414831661,0.012216567736604374,0.10753077205387396,0.0024866605420309535,0.7756052803787107,0.019080142652202946,nan,nan
history_h1,1,1.5,64.0,0.0625,0.030496877279641663,1.0813003690939182,0.05274167185643344,1.3237099853416079,0.09114806145723395,1.2944492443852518,0.13131759802582776,1.376391137470807,0.03041812117262895,0.25161531143941684,0.008532868684315938,2.141286485111154,0.06887842505726084,nan,nan
history_h2,2,1.5,64.0,0.28125,0.05664543544843536,0.5834704838010067,0.022793431897268856,0.5910826887025833,0.04026931392221484,0.5031895692291217,0.04571637218398657,0.7524261137708232,0.020148564267349733,0.15941344293519466,0.005289901080879661,1.3512287657811064,0.04380526185823879,nan,nan
history_h4,4,1.5,64.0,0.671875,0.05915529526875285,0.38930787408559225,0.01237211013453939,0.3735655773088559,0.021773725422472957,0.3153021260585116,0.030959738180513154,0.4120986544440112,0.017331913360450174,0.14513868563588833,0.00309759477626541,1.1019700490182376,0.02847157905556604,nan,nan
history_h8,8,1.5,64.0,0.65625,0.05983919423477113,0.3737530477630425,0.0115897465293531,0.35473049641904153,0.02071678135815162,0.30195363686847154,0.02978217385272919,0.407003075854544,0.016155905681693332,0.14326286580120398,0.0031485703666467705,1.1078476514488313,0.0277343523093419,nan,nan
history_h16,16,1.5,64.0,0.6875,0.058397074018894594,0.36611637372267125,0.011394958866055903,0.3472596192567601,0.020371984694253876,0.3011365108301639,0.029222993300428893,0.3956879860476845,0.016468527058373872,0.14369586415153657,0.0030760458704255384,1.0988300233485266,0.026961921304003027,nan,nan
history_h1,1,2.0,64.0,0.015625,0.015625,1.4014735956936186,0.07635436406557598,1.7146302734134196,0.12897110318623473,1.4958590017238564,0.18762566894289648,1.4717917072326496,0.028522796944331897,0.2682762546108798,0.008162801953012146,2.3695338985525947,0.06753410717551339,nan,nan
history_h2,2,2.0,64.0,0.109375,0.039322054350368486,0.7811341887340411,0.04072102638129309,0.8178199926635873,0.07232945894487176,0.7281803312165892,0.10029282652941252,0.9002492470113244,0.02559617007929182,0.19320051965078677,0.00621139605990925,1.7075816440992002,0.05345996016626659,nan,nan
history_h4,4,2.0,64.0,0.4375,0.0625,0.5105150601502344,0.019698661142107214,0.5113090740854263,0.036333414864260866,0.43382074714803565,0.04478773739423727,0.5324941577682428,0.02113693465396547,0.17919955308867064,0.003786007463827009,1.4313780392839528,0.037437317024403144,nan,nan
history_h8,8,2.0,64.0,0.453125,0.06271663843120986,0.4902651942381438,0.018216964614808453,0.485732147316073,0.033785495722822294,0.41318098499408146,0.041825114416157404,0.5375866453984111,0.019506356909146764,0.17970726399661524,0.003783720103490859,1.4400143417568787,0.036279273818616446,nan,nan
