iterations,severity,n,success_mean,success_sem,tracking_rmse_mean,tracking_rmse_sem,tail_rmse_mean,tail_rmse_sem,final_error_mean,final_error_sem,policy_rmse_mean,policy_rmse_sem,action_jerk_mean,action_jerk_sem,control_effort_mean,control_effort_sem,latent_rmse_mean,latent_rmse_sem
0,1.5,64.0,0.0,0.0,8.634465328702198,0.7547125976949222,13.953882146654012,1.2914030800478082,17.097521383131095,1.540101276041023,2.5977517824545453,0.04587762781321303,0.04636260398485911,0.0030618112023793483,0.3119357755282256,0.01973234816772215,4.772203520126294,0.3081606454487324
1,1.5,64.0,0.140625,0.043797805514170944,1.1030244831871414,0.16521841289991548,1.5214283039172147,0.30043881108744536,1.4487914911026127,0.40103906218619745,0.8958413750380416,0.03832732346224902,0.12127337996244686,0.0034953735175365223,1.0369263650418368,0.031627947247010915,0.378183128296688,0.03230489712167073
2,1.5,64.0,0.203125,0.050688158720985414,0.9037968113207666,0.15146586288029742,1.2586489906100164,0.2785854655847736,1.208581529351103,0.37626137287285744,0.6879356298125512,0.03908449753883424,0.12912675562477124,0.0032934469592826726,1.0495391034269348,0.03134521649029643,0.31421332086384446,0.03307029658269313
4,1.5,64.0,0.328125,0.05915529526875285,0.8108217560771964,0.14682652590949616,1.1380029280117163,0.270439462785263,1.121772578786373,0.3657593361228215,0.571331352458455,0.04057031600604159,0.13597554960141311,0.0030815377652164866,1.0485977290437845,0.03162861665324301,0.27671379188752937,0.03438339150066351
8,1.5,64.0,0.390625,0.06146842128667525,0.7688835282120936,0.14536420311288184,1.0837767348649423,0.2677178518906107,1.085914885647839,0.3617140207665736,0.5188492856358246,0.04178717580362823,0.14535780264870102,0.0029720795174793223,1.044637043106039,0.03186755574766849,0.25649743882932097,0.035343574882499736
20,1.5,64.0,0.46875,0.06287092313773097,0.7504758446233912,0.1451203841913654,1.060429420345977,0.26717463528496943,1.0698521858061811,0.3606209721435026,0.49748025823213055,0.04256161654870598,0.1546942328575477,0.0029700208556922556,1.041497449688529,0.0320295444300853,0.24519327606934863,0.035957057362094605
40,1.5,64.0,0.46875,0.06287092313773097,0.7469636417571446,0.14522286087549774,1.0561814608840958,0.26731644359118095,1.0675582965254675,0.36066073936052,0.4937272364481428,0.04277966562158303,0.15847011632901853,0.0029890724306039576,1.0407216586864605,0.03207372419211116,0.2422426716616658,0.03612737048568111
80,1.5,64.0,0.46875,0.06287092313773097,0.7459172275841137,0.14526394622208413,1.054927130008661,0.26737577313807315,1.0669067125440885,0.36069117295039294,0.49280344900909856,0.04284092793028767,0.16044612592543636,0.002998280197999123,1.0404740301216258,0.03208739545481758,0.24136270851768282,0.036179077279876785
