method,severity,trial,schedule_fingerprint,success,tracking_rmse,tail_rmse,final_error,policy_rmse,action_jerk,control_effort,latent_rmse,mean_inference_loss
pred_error_w8,0.0,4,82fa41f2183f515e,1.0,0.03584286074488182,0.020264195352860486,0.01674059249761939,0.10363425735114774,0.1425816353990838,0.18438265598460368,0.02061688957375218,3.053402394416814e-05
history_h4,0.0,4,82fa41f2183f515e,1.0,0.059138634159832594,0.02800159444149825,0.021883672354942263,0.11872592547371313,0.05653494615636299,0.15839606316043156,nan,nan
history_h16,0.0,4,82fa41f2183f515e,1.0,0.061083575324857094,0.03509226738237003,0.03244216440451719,0.12619834811470804,0.04048137184063264,0.1661234697706312,nan,nan
history_h16_chunk4,0.0,4,82fa41f2183f515e,1.0,0.08735681378055744,0.037207886878023115,0.053590460034100396,0.21722400663878808,0.043696752539706896,0.18433991095978997,nan,nan
oracle,0.0,5,2bacf3c3a863efd5,1.0,0.07570166155091167,0.021549210093688945,0.02221574729967113,0.0,0.033400235823686744,0.2386854623711159,0.0,nan
open_loop,0.0,5,2bacf3c3a863efd5,1.0,0.08434357511504013,0.05792377181085572,0.06471909277671095,0.09343115089690918,0.0335796972972926,0.23842891842551306,0.011410854766053025,0.0
pred_error_w8,0.0,5,2bacf3c3a863efd5,1.0,0.07643267304116803,0.016784820904030162,0.01856344849372782,0.09509768875274176,0.13016239216860384,0.2621684149058671,0.02053388781457788,2.1712584163009474e-05
history_h4,0.0,5,2bacf3c3a863efd5,1.0,0.09740494826065241,0.012553912203463554,0.003960852449456098,0.15247650905470347,0.06641653930733536,0.22964341679408806,nan,nan
history_h16,0.0,5,2bacf3c3a863efd5,1.0,0.09666187586386032,0.020655968985827843,0.017085722903065204,0.14613870265325218,0.048405468415550254,0.2303640877459146,nan,nan
history_h16_chunk4,0.0,5,2bacf3c3a863efd5,1.0,0.11624428361322839,0.030566481323716706,0.0518113058699603,0.2350775725965725,0.04701083619224298,0.20736224615003518,nan,nan
oracle,0.0,6,0e4373a88b51aa1b,1.0,0.035679021085670885,0.02154275248058953,0.02221251108293698,0.0,0.012614373792262584,0.14747762594527516,0.0,nan
open_loop,0.0,6,0e4373a88b51aa1b,1.0,0.0500524256200388,0.05541776152491853,0.06220867778060857,0.08543117989184669,0.012692529684870509,0.14693747497070375,0.010334490353886908,0.0
pred_error_w8,0.0,6,0e4373a88b51aa1b,1.0,0.036015435628528415,0.023974775142098777,0.04030700541379817,0.09224766019900843,0.11683209656807601,0.1793651509321501,0.01840986293402219,1.761479840577433e-05
history_h4,0.0,6,0e4373a88b51aa1b,1.0,0.053356846543728215,0.020069064035723966,0.03151590331163989,0.09677686175327123,0.05205713248137459,0.168294163307118,nan,nan
history_h16,0.0,6,0e4373a88b51aa1b,1.0,0.04969451332067798,0.022213652620831796,0.037049887631935174,0.08981795647017539,0.03744136784582274,0.1734726063470512,nan,nan
history_h16_chunk4,0.0,6,0e4373a88b51aa1b,1.0,0.0692864777020835,0.025957396652967063,0.04714248125284737,0.15859597000893247,0.03673638768031372,0.175192178096803,nan,nan
oracle,0.0,7,ddab6e86fed61c4f,1.0,0.12047279525705981,0.021514068781101736,0.02219848188756579,0.0,0.05778809374101292,0.3448170690314076,0.0,nan
open_loop,0.0,7,ddab6e86fed61c4f,1.0,0.12370153971377755,0.049974819088006446,0.056758360839601174,0.06923501240654098,0.05797932569181708,0.3448285853659659,0.008174497829158394,0.0
pred_error_w8,0.0,7,ddab6e86fed61c4f,1.0,0.12084426264020157,0.022097992925857464,0.03366064029924498,0.09370518069043153,0.1314054622494077,0.355575944394052,0.022219751695518673,3.840720459297145e-05
history_h4,0.0,7,ddab6e86fed61c4f,1.0,0.13843877877573135,0.03096041610135978,0.040974117525649056,0.15245600590713368,0.06932234161747647,0.30562459449006874,nan,nan
history_h16,0.0,7,ddab6e86fed61c4f,1.0,0.12834833606238008,0.03605086552552734,0.05117067602724035,0.11338819445133141,0.060230039830606194,0.29615157998013003,nan,nan
history_h16_chunk4,0.0,7,ddab6e86fed61c4f,1.0,0.13323564705565402,0.03240522081913247,0.04989086319988445,0.19886811547639646,0.04108655819943357,0.20546530207267039,nan,nan
oracle,0.0,8,0e177186e55ce9c3,1.0,0.04829572614851812,0.021528513295648553,0.022204399482578907,0.0,0.027841100200500048,0.1537141281292903,0.0,nan
