seed,method,buffer_size,train_stage,selected_count,anchor_concentration,mean_anchor_score,selected_early_fraction,selected_near_center_fraction,overlap_fraction,conflict_fraction,disagreement_threshold
17,random,12,1,12,0.16666666666666666,0.9150158762931824,0.3333333333333333,0.75,0.5918367346938775,0.5595238095238095,0.09257474541664124
17,random,12,2,12,0.25,1.896644115447998,0.5833333333333334,0.6666666666666666,0.5102040816326531,0.5102040816326531,0.312727689743042
17,random,12,3,12,0.08333333333333333,3.7538363933563232,0.5,0.16666666666666666,0.38605442176870747,0.19387755102040816,0.30817389488220215
17,random,32,1,32,0.1875,1.094985008239746,0.4375,0.53125,0.6122448979591837,0.5782312925170068,0.07875851541757584
17,random,32,2,32,0.0625,2.3031156063079834,0.46875,0.4375,0.4098639455782313,0.4098639455782313,0.2089996337890625
17,random,32,3,32,0.15625,3.00978946685791,0.40625,0.46875,0.3673469387755102,0.2108843537414966,0.3392032980918884
17,random,96,1,96,0.08333333333333333,1.2618457078933716,0.3333333333333333,0.4270833333333333,0.6122448979591837,0.5799319727891157,0.07982392609119415
17,random,96,2,96,0.16666666666666666,1.8733882904052734,0.3645833333333333,0.4895833333333333,0.6564625850340136,0.5493197278911565,0.22070378065109253
17,random,96,3,96,0.10416666666666667,3.0325100421905518,0.4583333333333333,0.5,0.5952380952380952,0.39625850340136054,0.3877946734428406
17,random,288,1,288,0.10069444444444445,1.1278643608093262,0.4027777777777778,0.4791666666666667,0.6326530612244898,0.6037414965986394,0.08440200984477997
17,random,288,2,288,0.10069444444444445,2.045292854309082,0.375,0.4444444444444444,0.6428571428571429,0.564625850340136,0.22964031994342804
17,random,288,3,288,0.08333333333333333,4.344815731048584,0.3576388888888889,0.4270833333333333,0.32482993197278914,0.12244897959183673,0.30413615703582764
17,loss_hard,12,1,12,0.0,0.877236545085907,1.0,0.25,0.6326530612244898,0.6003401360544217,0.07589966803789139
17,loss_hard,12,2,12,0.9166666666666666,1.0629897117614746,1.0,1.0,0.5680272108843537,0.06462585034013606,2.104144811630249
17,loss_hard,12,3,12,1.0,2.2823410034179688,1.0,1.0,0.5918367346938775,0.04081632653061224,2.420334815979004
17,loss_hard,32,1,32,0.0,0.996713399887085,1.0,0.09375,0.6122448979591837,0.5816326530612245,0.08983027935028076
17,loss_hard,32,2,32,0.96875,0.7937709093093872,1.0,1.0,0.41496598639455784,0.04081632653061224,1.977597951889038
17,loss_hard,32,3,32,1.0,1.9956936836242676,1.0,1.0,0.6326530612244898,0.06292517006802721,1.941733956336975
17,loss_hard,96,1,96,0.0,0.9714477062225342,1.0,0.3854166666666667,0.6122448979591837,0.5816326530612245,0.09066765755414963
17,loss_hard,96,2,96,0.90625,0.9622209668159485,1.0,0.9583333333333334,0.5714285714285714,0.141156462585034,1.8431435823440552
17,loss_hard,96,3,96,0.8854166666666666,2.124143123626709,1.0,0.9166666666666666,0.5714285714285714,0.04081632653061224,1.9520353078842163
17,loss_hard,288,1,288,0.08680555555555555,0.9502248764038086,0.6666666666666666,0.5590277777777778,0.6122448979591837,0.5816326530612245,0.09551923722028732
17,loss_hard,288,2,288,0.4097222222222222,1.0032378435134888,0.6388888888888888,0.6875,0.5272108843537415,0.5272108843537415,0.31498077511787415
17,loss_hard,288,3,288,0.4097222222222222,4.25230073928833,0.59375,0.8368055555555556,0.6105442176870748,0.1989795918367347,1.2591761350631714
17,diversity,12,1,12,0.16666666666666666,0.9976911544799805,0.5,0.5833333333333334,0.6326530612244898,0.6003401360544217,0.08148638159036636
17,diversity,12,2,12,0.08333333333333333,2.4475443363189697,0.5,0.5,0.46938775510204084,0.4523809523809524,0.22859114408493042
17,diversity,12,3,12,0.08333333333333333,5.1073808670043945,0.3333333333333333,0.5,0.3656462585034014,0.1836734693877551,0.38502976298332214
17,diversity,32,1,32,0.125,1.1136531829833984,0.4375,0.53125,0.6122448979591837,0.5799319727891157,0.0918823778629303
17,diversity,32,2,32,0.09375,2.226977825164795,0.40625,0.5,0.4897959183673469,0.4880952380952381,0.21320268511772156
17,diversity,32,3,32,0.125,3.100645065307617,0.4375,0.59375,0.4064625850340136,0.19727891156462585,0.3271557688713074
17,diversity,96,1,96,0.23958333333333334,0.8821354508399963,0.5729166666666666,0.6354166666666666,0.6122448979591837,0.5782312925170068,0.07727140933275223
17,diversity,96,2,96,0.125,2.063551664352417,0.4583333333333333,0.5208333333333334,0.4489795918367347,0.4489795918367347,0.20352470874786377
17,diversity,96,3,96,0.16666666666666666,2.308912515640259,0.46875,0.6041666666666666,0.3469387755102041,0.22448979591836735,0.29323017597198486
17,diversity,288,1,288,0.16319444444444445,1.0228134393692017,0.46875,0.5381944444444444,0.6326530612244898,0.5969387755102041,0.07573335617780685
17,diversity,288,2,288,0.1284722222222222,1.8781335353851318,0.5138888888888888,0.5729166666666666,0.4489795918367347,0.4489795918367347,0.20530912280082703
17,diversity,288,3,288,0.1909722222222222,2.3530168533325195,0.5416666666666666,0.6736111111111112,0.3078231292517007,0.21258503401360543,0.272305965423584
17,anchors,12,1,12,0.3333333333333333,0.7794983983039856,0.6666666666666666,0.5833333333333334,0.5918367346938775,0.5612244897959183,0.07936830818653107
17,anchors,12,2,12,0.16666666666666666,1.9334816932678223,0.4166666666666667,0.5833333333333334,0.5187074829931972,0.5187074829931972,0.23186177015304565
17,anchors,12,3,12,0.4166666666666667,3.237933397293091,0.3333333333333333,0.3333333333333333,0.4897959183673469,0.04081632653061224,1.6121902465820312
17,anchors,32,1,32,0.28125,1.0500802993774414,0.46875,0.5,0.6122448979591837,0.5799319727891157,0.07300585508346558
17,anchors,32,2,32,0.25,2.122544288635254,0.4375,0.59375,0.3673469387755102,0.3656462585034014,0.24596582353115082
17,anchors,32,3,32,0.1875,2.708578586578369,0.34375,0.5,0.5697278911564626,0.35714285714285715,0.30561715364456177
17,anchors,96,1,96,0.2604166666666667,1.0595537424087524,0.5104166666666666,0.5416666666666666,0.6122448979591837,0.576530612244898,0.0841251015663147
