seed,method,buffer_size,final_avg_success,final_old_success,final_current_success,final_tracking_rmse,final_on_policy_action_mse,nbt,mean_interaction_drop,worst_interaction_drop,final_forgetting,auc,plasticity,anchor_concentration,runtime_seconds
17,no_replay,0,0.4140625,0.21875,1.0,0.45773771393025603,2.064795184699555,0.7690972222222222,0.34375,1.0,0.6875,0.5559895833333334,0.9296875,nan,2.347145020001335
17,random,12,0.25,0.0,1.0,0.44522431245050426,1.8789451252326352,0.7552083333333334,0.4010416666666667,0.84375,0.8020833333333334,0.4778645833333333,0.8515625,0.16666666666666666,2.80129539698828
17,random,32,0.5234375,0.3645833333333333,1.0,0.49459444739554065,1.9236977631435266,0.2725694444444445,0.11458333333333333,0.75,0.22916666666666666,0.5279947916666667,0.6953125,0.13541666666666666,2.7813739240227733
17,random,96,0.5625,0.4166666666666667,1.0,0.46980565184575795,1.9342687236495715,0.2690972222222222,0.109375,0.625,0.21875,0.5826822916666667,0.7265625,0.11805555555555557,2.76676767601748
17,random,288,0.59375,0.46875,0.96875,0.40866794363254466,1.6224440273915568,0.2638888888888889,0.08854166666666667,0.59375,0.17708333333333334,0.5794270833333333,0.7265625,0.0949074074074074,2.7739976459997706
17,loss_hard,12,0.09375,0.0,0.375,1.129602467828933,5.771538255612365,0.5520833333333334,0.2760416666666667,1.0,0.5520833333333334,0.23307291666666669,0.5078125,0.6388888888888888,2.7516206319851335
17,loss_hard,32,0.1015625,0.0,0.40625,1.5532226445732369,8.440494866192891,0.6145833333333334,0.3072916666666667,1.0,0.6145833333333334,0.26171875,0.5625,0.65625,2.727294519019779
17,loss_hard,96,0.25,0.0,1.0,0.7586229950052387,3.711552371028998,0.5208333333333334,0.2604166666666667,1.0,0.5208333333333334,0.375,0.640625,0.5972222222222222,2.81794588197954
17,loss_hard,288,0.328125,0.10416666666666667,1.0,0.8515188348146087,4.216801693890321,0.5920138888888888,0.375,0.9375,0.75,0.5924479166666666,0.890625,0.3020833333333333,2.903067368984921
17,diversity,12,0.5546875,0.40625,1.0,0.37301006987007257,1.4395075939583415,0.24652777777777782,0.08854166666666667,0.8125,0.17708333333333334,0.5260416666666667,0.6875,0.1111111111111111,2.7775046629831195
17,diversity,32,0.4296875,0.3020833333333333,0.8125,0.41962527857211024,1.840891551338771,0.4600694444444445,0.19270833333333334,0.59375,0.3854166666666667,0.48763020833333337,0.71875,0.11458333333333333,2.779433923016768
17,diversity,96,0.3359375,0.17708333333333334,0.8125,0.7720321555600288,3.8015091158920824,0.453125,0.22395833333333334,0.9375,0.4479166666666667,0.42057291666666663,0.671875,0.17708333333333334,2.799779324006522
17,diversity,288,0.40625,0.22916666666666666,0.9375,0.533970570134386,2.3731364062830558,0.3854166666666667,0.1875,0.78125,0.375,0.4720052083333333,0.6875,0.16087962962962962,2.726879464025842
17,anchors,12,0.4375,0.25,1.0,0.5497503179153024,2.584164000457076,0.7326388888888888,0.34375,1.0,0.6875,0.6126302083333334,0.953125,0.3055555555555556,2.7861251999856904
17,anchors,32,0.46875,0.2916666666666667,1.0,0.4759870531943875,2.105738511820623,0.36284722222222215,0.13020833333333334,0.90625,0.2604166666666667,0.4680989583333333,0.6640625,0.23958333333333334,2.8918439609988127
17,anchors,96,0.4609375,0.28125,1.0,0.4633570589782192,1.9540938713331233,0.31597222222222215,0.140625,0.84375,0.28125,0.48828125,0.671875,0.2673611111111111,2.726651964010671
17,anchors,288,0.5859375,0.4479166666666667,1.0,0.43769901991788707,1.7491076754847015,0.2152777777777778,0.078125,0.71875,0.15625,0.5696614583333333,0.703125,0.23495370370370372,2.718523132003611
18,no_replay,0,0.25,0.0,1.0,0.4654091796787821,2.1267752378705262,0.9861111111111112,0.5,1.0,1.0,0.5286458333333333,1.0,nan,2.2359802540158853
18,random,12,0.34375,0.15625,0.90625,0.6141724058303936,2.906405935991575,0.46527777777777785,0.25,0.625,0.5,0.4694010416666667,0.71875,0.16666666666666666,2.730822437995812
18,random,32,0.453125,0.40625,0.59375,0.4785481318750605,1.9109999726995877,0.39236111111111116,0.16666666666666666,0.75,0.3333333333333333,0.486328125,0.703125,0.10416666666666667,2.697652190021472
18,random,96,0.2890625,0.16666666666666666,0.65625,0.5626834244045955,2.415083015372761,0.4739583333333333,0.265625,0.75,0.53125,0.43880208333333337,0.6875,0.11458333333333333,2.723302758007776
18,random,288,0.3046875,0.20833333333333334,0.59375,0.5444795049434866,2.350497839704172,0.48784722222222215,0.24479166666666666,0.6875,0.4895833333333333,0.41145833333333337,0.671875,0.0949074074074074,2.7213273659872357
18,loss_hard,12,0.203125,0.0,0.8125,1.5272850053929294,8.651643227121339,0.65625,0.328125,1.0,0.65625,0.3515625,0.6953125,0.6666666666666666,2.732445014989935
18,loss_hard,32,0.203125,0.0,0.8125,2.085854712877873,12.457660976533484,0.625,0.3125,1.0,0.625,0.34375,0.671875,0.6458333333333334,2.6846560769772623
18,loss_hard,96,0.15625,0.0,0.625,1.283512771223026,7.042441008713162,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3020833333333333,0.65625,0.5416666666666666,2.6880239640013315
18,loss_hard,288,0.296875,0.08333333333333333,0.9375,0.49024461820230236,2.0239801321739193,0.59375,0.3541666666666667,0.8125,0.7083333333333334,0.5234375,0.828125,0.27314814814814814,2.7321754659933504
18,diversity,12,0.4921875,0.3958333333333333,0.78125,0.37381508926442525,1.57594682863487,0.33159722222222227,0.15625,0.9375,0.3125,0.5572916666666667,0.7265625,0.19444444444444442,2.713232850015629
18,diversity,32,0.46875,0.4166666666666667,0.625,0.4247000363132411,1.7397932185604918,0.3333333333333333,0.16145833333333334,0.65625,0.3229166666666667,0.55078125,0.7109375,0.125,2.703260109992698
18,diversity,96,0.671875,0.6458333333333334,0.75,0.21061045986959606,0.8661433935628724,0.05034722222222223,-0.005208333333333333,0.25,-0.010416666666666666,0.63671875,0.6640625,0.13194444444444445,2.7220997360127512
18,diversity,288,0.4453125,0.3333333333333333,0.78125,0.362977889112976,1.5128739059083336,0.3246527777777778,0.171875,0.75,0.34375,0.53125,0.703125,0.125,2.775548887992045
