seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
17,random,96,3,0,0.21875,0.9326173245591225,1.4461562292637558,0.05578760725791159,3.8932746053350336,2.76676767601748
17,random,96,3,1,0.625,0.4245339568314154,0.6586422003889907,0.00397935144221862,1.6153375632091018,2.76676767601748
17,random,96,3,2,0.40625,0.479038552822208,0.7761817947240954,0.013013573197803243,2.208410404152365,2.76676767601748
17,random,96,3,3,1.0,0.04303277317028575,0.022493370663343053,0.012105215957709123,0.02005232190178569,2.76676767601748
17,random,288,0,0,1.0,0.048113949022684496,0.03450297367419363,0.024755611114160456,0.02325546282941767,2.7739976459997706
17,random,288,1,0,0.40625,0.39220782309683333,0.5712073281401275,0.0755372142286537,1.6557280048922953,2.7739976459997706
17,random,288,1,1,0.46875,0.3498429661564737,0.4646518866697311,0.14502731783981557,1.4025839995584382,2.7739976459997706
17,random,288,2,0,0.21875,0.9837324456607217,1.4570319492712174,0.33904353192382036,4.283768425846648,2.7739976459997706
17,random,288,2,1,0.125,0.7530375770082711,1.1744299706739412,0.0365813610891942,3.135094939768758,2.7739976459997706
17,random,288,2,2,0.46875,0.2739784824992037,0.39895092903015167,0.006318255481444252,0.9755625824436246,2.7739976459997706
17,random,288,3,0,0.5625,0.47010588071801496,0.7072268422145603,0.01739841597025722,1.7629515751027238,2.7739976459997706
17,random,288,3,1,0.3125,0.7209890492595852,1.1498001520499974,0.007849205956678002,2.9489604875899995,2.7739976459997706
17,random,288,3,2,0.53125,0.397722460902994,0.6311932127923341,0.016078805232226597,1.7449015534591314,2.7739976459997706
17,random,288,3,3,0.96875,0.04585438364958445,0.038088534939017434,0.009910650262755366,0.03296249341437212,2.7739976459997706
17,loss_hard,12,0,0,1.0,0.046379167244406466,0.03576114587570502,0.015160976625312676,0.022786930067018662,2.7516206319851335
17,loss_hard,12,1,0,0.0,1.5761413393400374,0.6465128516680064,3.4116218105588434,8.853330655285001,2.7516206319851335
17,loss_hard,12,1,1,0.125,0.5699016959852022,0.4805222898189109,0.9599962396462665,3.255832459946787,2.7516206319851335
17,loss_hard,12,2,0,0.0,2.039227576314108,2.649203229874712,1.860733267730558,9.069834465276475,2.7516206319851335
17,loss_hard,12,2,1,0.0,0.7860728612080803,0.4862515232025287,1.286832065671344,3.389149683114108,2.7516206319851335
17,loss_hard,12,2,2,0.53125,0.24162194089210232,0.2482015892434442,0.23572725057388158,0.8487284749658103,2.7516206319851335
17,loss_hard,12,3,0,0.0,1.6322462411293646,1.2678449917562638,2.7577467513947145,9.419510917137933,2.7516206319851335
17,loss_hard,12,3,1,0.0,2.012641059788928,2.4928098717832365,2.135373504615262,9.479763941009773,2.7516206319851335
17,loss_hard,12,3,2,0.0,0.7257784451392592,0.3735984775580971,1.3735541062956134,3.760996649002803,2.7516206319851335
17,loss_hard,12,3,3,0.375,0.14774412525818006,0.10152145374114008,0.26311135758275367,0.4258815152989498,2.7516206319851335
17,loss_hard,32,0,0,1.0,0.050724859893710596,0.04416822776199584,0.01649180263533011,0.026793944956072773,2.727294519019779
17,loss_hard,32,1,0,0.0,1.1710242874841428,0.3871049747704837,2.543633893930945,6.222971378038916,2.727294519019779
17,loss_hard,32,1,1,0.1875,0.5568090268689824,0.5011123296111751,0.9023118890163884,3.4384063183800797,2.727294519019779
17,loss_hard,32,2,0,0.0,1.9738978453351195,2.5944547659087593,1.7379568155708158,8.798037433010172,2.727294519019779
17,loss_hard,32,2,1,0.0,0.6692180127046008,0.38473752067004013,1.1160871665564005,2.9800115142680483,2.727294519019779
