method,label,shots,seeds,prediction_rmse_mean,prediction_rmse_std,prediction_rmse_sem,position_rmse_mean,position_rmse_std,position_rmse_sem,mean_state_l2_mean,mean_state_l2_std,mean_state_l2_sem,p90_position_l2_mean,p90_position_l2_std,p90_position_l2_sem,candidate_top1_mean,candidate_top1_std,candidate_top1_sem,candidate_regret_mean,candidate_regret_std,candidate_regret_sem,candidate_regret_p90_mean,candidate_regret_p90_std,candidate_regret_p90_sem,planning_success_mean,planning_success_std,planning_success_sem
raw_joint,Raw / padded joints,0,8,0.10612980414338682,0.0024490442262952872,0.0008658678899195795,0.02837102964684006,0.0006700940011175271,0.00023691400611131465,0.1925860752885547,0.004833551979400618,0.001708918690925918,0.05874067607037044,0.0015643754996872805,0.0005530902620754849,0.09921875,0.014247297676100844,0.005037180400177123,0.03526041226295752,0.0010009494490522217,0.0003538890715248823,0.06941956716345343,0.001520351151759618,0.0005375253045970018,0.118359375,0.01657281518405971,0.005859375
canonical_ee,Canonical EE,0,8,0.013160704328956515,0.0026122280545322605,0.0009235620856827519,0.003218711096463723,0.000875915526024522,0.00030968290409926066,0.01869041562444035,0.002915050280486164,0.001030625910415757,0.006899306530430287,0.0018988845117135914,0.0006713570574613933,0.924609375,0.013512302182376522,0.004777320251300112,0.00016903012494174556,7.055347654368139e-05,2.494442085016156e-05,3.076148378869777e-06,8.700661514539298e-06,3.076148378869777e-06,0.98125,0.009149063183892499,0.003234682309417285
learned_latent,Learned latent,0,8,0.10948968501597224,0.0025832328063227143,0.0009133107173671732,0.02940192838629746,0.0007263336799314985,0.000256797735241871,0.19777026666688716,0.005049090795807898,0.001785123170271173,0.06168319964007285,0.0021130201119267445,0.0007470654249634793,0.09765625,0.019100153094001253,0.006752923887234751,0.03523258710392112,0.001000224091106523,0.00035363261876378673,0.06939629497205849,0.0017648088339058555,0.0006239541469763768,0.117578125,0.02177512275469745,0.007698668480508031
latent_to_ee_curriculum,Latent→EE curriculum,0,8,0.012241544102280812,0.00276860753220584,0.000978850580233451,0.003389065772447261,0.0007223524832451858,0.0002553901696548064,0.01790371710274812,0.0031562770068976113,0.00111591243744024,0.0074751448305910165,0.0015367468695320155,0.0005433220662066433,0.919921875,0.014651599361137524,0.005180122631744415,0.00016928411356189439,6.38697130445534e-05,2.2581353603121298e-05,0.0,0.0,0.0,0.979296875,0.01001359288221337,0.0035403397155272095
raw_joint,Raw / padded joints,1,8,0.16498656904078246,0.09544301153558682,0.033744200336839655,0.04185037655042161,0.023837623893967905,0.00842787275139959,0.27638047505803304,0.1612577914443913,0.05701323892474756,0.0961937812190761,0.055170632002905916,0.019505764005801163,0.328515625,0.10172120155593004,0.03596387570532086,0.015653240418396566,0.007592946868819621,0.002684512110065758,0.040348855965821315,0.014652081751577064,0.005180293182519904,0.3921875,0.11866773466279702,0.04195537994405484
canonical_ee,Canonical EE,1,8,0.012209375100136166,0.002506781940522233,0.0008862812545496218,0.0030187781485186897,0.0006809206215233217,0.0002407417944644497,0.01747104806295014,0.002676895289649497,0.0009464254059187433,0.006250360107099869,0.0012767670215222326,0.00045140530945686063,0.930078125,0.01215339780164378,0.004296874999999998,0.00015267493302444324,7.925106875149948e-05,2.8019484065233285e-05,0.0,0.0,0.0,0.9828125,0.013152607020228777,0.0046501488071427795
learned_latent,Learned latent,1,8,0.16480735681530184,0.095311063375461,0.03369754961744463,0.04447695297438205,0.02525714970694965,0.00892975091561396,0.27605297775624393,0.16102481406768326,0.056930868983280904,0.1023252798751477,0.05725475472446034,0.02024261266041921,0.32421875,0.11124987459864522,0.039332770367427536,0.016392720236483554,0.007979793476767092,0.0028212830399450936,0.04165709853953662,0.014790923699115686,0.005229381223828758,0.38828124999999997,0.13281118696829936,0.04695584546135945
latent_to_ee_curriculum,Latent→EE curriculum,1,8,0.01188303271620783,0.0025213163916656847,0.0008914199590318014,0.003230225094714205,0.0007364433475336228,0.000260372042500373,0.01715242537952009,0.0027544862676413926,0.000973857959267226,0.00674465070917901,0.0012364493771614504,0.0004371508695923723,0.9207031250000001,0.012604197412398547,0.004456256730860473,0.00017710278031860742,7.915510728421981e-05,2.7985556563110253e-05,1.0882840893299128e-06,3.078132237690431e-06,1.0882840893299128e-06,0.9796874999999999,0.011928918942756602,0.004217509738323927
raw_joint,Raw / padded joints,2,8,0.04019554026924822,0.01384585086981822,0.00489524752067306,0.010696078001538288,0.003895305161789708,0.001377198347346232,0.06760991120744697,0.02448656566754282,0.008657308315744613,0.024220560999606927,0.009240478256892073,0.0032670024184276165,0.63046875,0.12156841015746767,0.04298092360020647,0.0035616653104959296,0.002523253163386642,0.000892104711240551,0.011690095675088562,0.006935346183257177,0.002452015158028695,0.7097656250000001,0.1264915199991542,0.044721505776997864
canonical_ee,Canonical EE,2,8,0.011189303118825628,0.0017631514004163551,0.0006233681557464812,0.00283130477790378,0.0004631892030155105,0.00016376211321232997,0.01645826351644855,0.0023453588177114997,0.0008292095621597325,0.006114972543069013,0.0010588799585275694,0.00037437059956868724,0.923046875,0.015212180490247208,0.00537831799064375,0.00015121496559328666,5.4373676597508986e-05,1.9223997720071442e-05,2.6318952386895697e-05,7.444123882599927e-05,2.6318952386895697e-05,0.98203125,0.009846761160764658,0.0034813557947505043
