lineage,episode_id,reward_gain,true_success,reported_success,stage_mismatch_rate,compiled_return,lineage_return,final_object_error,min_goal_error,transition_approach,transition_grasp,transition_carry,transition_open
compiled_spec,test_000,0.75,1.0,1.0,0.09090909090909091,20.574043658243905,20.574043658243905,0.007939120711402263,0.007939120711402263,7,10,19,22
compiled_spec,test_001,0.75,1.0,1.0,0.09090909090909091,24.973128332369665,24.973128332369665,0.004747436538601441,0.004145131611954988,7,10,17,20
compiled_spec,test_002,0.75,1.0,1.0,0.09090909090909091,16.761603866281398,16.761603866281398,0.003706775322515497,0.003706775322515497,7,10,21,24
compiled_spec,test_003,0.75,1.0,1.0,0.09090909090909091,24.64573420807592,24.64573420807592,0.002159209757898258,0.002159209757898258,6,9,17,20
compiled_spec,test_004,0.75,1.0,1.0,0.09090909090909091,20.208973621284535,20.208973621284535,0.005598841971016811,0.005598841971016811,6,9,19,22
compiled_spec,test_005,0.75,1.0,1.0,0.09090909090909091,21.999142507697407,21.999142507697407,0.0041669847788376934,0.003413874761165998,6,9,18,21
compiled_spec,test_006,0.75,1.0,1.0,0.09090909090909091,18.14249221146422,18.14249221146422,0.0021293484715417216,0.0021293484715417216,6,9,20,23
compiled_spec,test_007,0.75,1.0,1.0,0.09090909090909091,19.836798672192685,19.836798672192685,0.007592023448266922,0.007592023448266922,6,9,19,22
compiled_spec,test_008,0.75,1.0,1.0,0.09090909090909091,20.71744875831731,20.71744875831731,0.006873712083811626,0.006873712083811626,7,10,19,22
compiled_spec,test_009,0.75,1.0,1.0,0.09090909090909091,20.783306911393748,20.783306911393748,0.006303336378174344,0.0060471308181024265,7,10,19,22
compiled_spec,test_010,0.75,1.0,1.0,0.09090909090909091,18.224891743458226,18.224891743458226,0.0034068275501714916,0.0013297564185337392,7,10,20,23
compiled_spec,test_011,0.75,1.0,1.0,0.09090909090909091,18.05994516193745,18.05994516193745,0.003626185782972743,0.003626185782972743,6,9,20,23
compiled_spec,test_012,0.75,1.0,1.0,0.09090909090909091,22.5406713651029,22.5406713651029,0.0015517770995546406,0.0015517770995546406,6,9,18,21
compiled_spec,test_013,0.75,1.0,1.0,0.09090909090909091,23.716328116386066,23.716328116386066,0.004833875914156898,0.004833875914156898,5,8,17,20
compiled_spec,test_014,0.75,1.0,1.0,0.09090909090909091,24.201402533439346,24.201402533439346,0.008349524032508339,0.008349524032508339,4,7,16,19
compiled_spec,test_015,0.75,1.0,1.0,0.09090909090909091,22.883321863237672,22.883321863237672,0.0017851119434610986,0.0017851119434610986,6,9,18,21
compiled_spec,test_016,0.75,1.0,1.0,0.09090909090909091,23.87133371791814,23.87133371791814,0.005002557523875472,0.005002557523875472,7,10,18,21
compiled_spec,test_017,0.75,1.0,1.0,0.09090909090909091,17.79767077814449,17.79767077814449,0.004616287030327992,0.004616287030327992,8,11,21,24
compiled_spec,test_018,0.75,1.0,1.0,0.09090909090909091,20.581134486808963,20.581134486808963,0.005051669530728755,0.004002647642123829,7,10,19,22
compiled_spec,test_019,0.75,1.0,1.0,0.09090909090909091,21.329238083392255,21.329238083392255,0.001514629571039833,0.0013257492475833618,5,8,18,21
compiled_spec,test_020,0.75,1.0,1.0,0.09090909090909091,22.160681798227266,22.160681798227266,0.004264960992063039,0.004264960992063039,8,11,19,22
compiled_spec,test_021,0.75,1.0,1.0,0.09090909090909091,22.733352747781392,22.733352747781392,0.005885984631506683,0.005885984631506683,7,10,18,21
compiled_spec,test_022,0.75,1.0,1.0,0.09090909090909091,22.36220581052025,22.36220581052025,0.0018397349045320246,0.0018397349045320246,5,8,18,21
compiled_spec,test_023,0.75,1.0,1.0,0.09090909090909091,20.157328370828314,20.157328370828314,0.00943370904702847,0.00943370904702847,7,10,19,22
compiled_spec,test_024,0.75,1.0,1.0,0.09090909090909091,18.2603655026588,18.2603655026588,0.008109431935935446,0.008109431935935446,7,10,20,23
compiled_spec,test_025,0.75,1.0,1.0,0.09090909090909091,16.59358812443639,16.59358812443639,0.0008572567979088699,0.0008572567979088699,7,10,21,24
compiled_spec,test_026,0.75,1.0,1.0,0.09090909090909091,22.925946727817482,22.925946727817482,0.006687432321999614,0.006687432321999614,7,10,18,21
compiled_spec,test_027,0.75,1.0,1.0,0.09090909090909091,14.784739355665222,14.784739355665222,0.005470907240163028,0.005470907240163028,6,9,21,24
compiled_spec,test_028,0.75,1.0,1.0,0.09090909090909091,26.90859935961828,26.90859935961828,0.004580729955970594,0.004580729955970594,7,10,16,19
compiled_spec,test_029,0.75,1.0,1.0,0.09090909090909091,25.034943412010662,25.034943412010662,0.0054177247091845605,0.0054177247091845605,6,9,17,20
compiled_spec,test_030,0.75,1.0,1.0,0.09090909090909091,21.88872623344092,21.88872623344092,0.007671797093472083,0.007671797093472083,6,9,18,21
compiled_spec,test_031,0.75,1.0,1.0,0.09090909090909091,24.586396634162842,24.586396634162842,0.009005434428847244,0.009005434428847244,7,10,17,20
compiled_spec,test_032,0.75,1.0,1.0,0.09090909090909091,22.36964117702241,22.36964117702241,0.0030294202774819937,0.0030294202774819937,7,10,18,21
compiled_spec,test_033,0.75,1.0,1.0,0.09090909090909091,20.67999509437141,20.67999509437141,0.006070794210719008,0.006070794210719008,7,10,19,22
compiled_spec,test_034,0.75,1.0,1.0,0.09090909090909091,21.11506413857675,21.11506413857675,0.0030354308222639136,0.0030354308222639136,6,9,19,22
compiled_spec,test_035,0.75,1.0,1.0,0.09090909090909091,15.948518540833893,15.948518540833893,0.005193332901108661,0.005047165750380769,7,10,21,24
copied_demo_labels,test_000,0.5,0.0,0.0,0.022727272727272728,-27.42472283664641,-27.42472283664641,1.0455271492650569,1.0455271492650569,6,44,44,44
copied_demo_labels,test_001,0.5,0.0,0.0,0.022727272727272728,-26.87100176668851,-26.87100176668851,0.7901327241794003,0.7901327241794003,7,44,44,44
copied_demo_labels,test_002,0.5,0.0,0.0,0.022727272727272728,-28.58365260550911,-28.58365260550911,1.2012170821446944,1.2012170821446944,6,44,44,44
copied_demo_labels,test_003,0.5,0.0,0.0,0.0,-8.675859518292889,-8.675859518292889,0.9141617760891109,0.9141617760891109,44,44,44,44
copied_demo_labels,test_004,0.5,0.0,0.0,0.0,-7.541889570422491,-7.541889570422491,1.086800858452082,1.086800858452082,44,44,44,44
copied_demo_labels,test_005,0.5,0.0,0.0,0.022727272727272728,-28.071005313260795,-28.071005313260795,1.1251780713953907,1.1251780713953907,6,44,44,44
copied_demo_labels,test_006,0.5,0.0,0.0,0.0,-7.463178654855228,-7.463178654855228,1.2172223646121094,1.2172223646121094,44,44,44,44
copied_demo_labels,test_007,0.5,0.0,0.0,0.022727272727272728,-28.68783069330517,-28.68783069330517,1.1748627137934493,1.1748627137934493,5,44,44,44
copied_demo_labels,test_008,0.5,0.0,0.0,0.0,-7.880209067888455,-7.880209067888455,1.0336079730795456,1.0336079730795456,44,44,44,44
copied_demo_labels,test_009,0.5,0.0,0.0,0.0,-7.830436202296033,-7.830436202296033,1.035913730110419,1.035913730110419,44,44,44,44
copied_demo_labels,test_010,0.5,0.0,0.0,0.022727272727272728,-28.080638802023287,-28.080638802023287,1.0850736139917019,1.0850736139917019,7,44,44,44
copied_demo_labels,test_011,0.5,0.0,0.0,0.0,-7.600159580848104,-7.600159580848104,1.2088693236867663,1.2088693236867663,44,44,44,44
copied_demo_labels,test_012,0.5,0.0,0.0,0.022727272727272728,-27.506141532374052,-27.506141532374052,1.0165477735620274,1.0165477735620274,6,44,44,44
copied_demo_labels,test_013,0.5,0.0,0.0,0.0,-7.242814739527633,-7.242814739527633,1.1000325492484833,1.1000325492484833,44,44,44,44
copied_demo_labels,test_014,0.5,0.0,0.0,0.022727272727272728,-29.658539067018104,-29.658539067018104,1.1810773383339395,1.1810773383339395,4,44,44,44
copied_demo_labels,test_015,0.5,0.0,0.0,0.0,-7.459057522092123,-7.459057522092123,1.0423031058566212,1.0423031058566212,44,44,44,44
