sweep,method,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise,planner_profile,n,success_mean,success_sem,completion_steps_mean,completion_steps_sem,completion_time_s_mean,completion_time_s_sem,idle_steps_mean,idle_steps_sem,idle_fraction_mean,idle_fraction_sem,stale_instruction_errors_mean,stale_instruction_errors_sem,stale_error_fraction_mean,stale_error_fraction_sem,wrong_instruction_errors_mean,wrong_instruction_errors_sem,wrong_instruction_fraction_mean,wrong_instruction_fraction_sem,control_smoothness_mean,control_smoothness_sem,safety_violations_mean,safety_violations_sem,planner_calls_mean,planner_calls_sem,path_length_mean,path_length_sem
cadence,async_online,10,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,110.6875,9.09874564866126,8.855,0.727899651892901,9.0,0.0,0.09160932993554846,0.004406603242535932,8.25,1.0395408415691623,0.09693084959491433,0.012887948195843756,30.46875,12.208866454789613,0.18545176592957568,0.04635754630721724,0.3388614711891645,0.012847070442305196,8.09375,2.0489766205431086,3.46875,0.10024541458421572,5.2513586744173235,0.26928780917858247
cadence,async_online,10,32,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,128.6875,8.29076408741835,10.295,0.663261126993468,9.0,0.0,0.07633657236054056,0.003469721534953911,27.03125,1.717723300387332,0.25183658874158377,0.01661543221227512,48.8125,11.18569772832052,0.3386144771877989,0.03752658783697672,0.3033505967694765,0.010575806601117649,8.9375,1.9842817319966144,3.46875,0.10024541458421572,5.53538371126872,0.29614019587949797
cadence,async_online,10,4,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,101.96875,9.656028158011265,8.157499999999999,0.7724822526409013,9.0,0.0,0.10255899326201018,0.005350566151569401,0.0,0.0,0.0,0.0,22.59375,12.622692968308206,0.09001494023904383,0.0502896134195546,0.3673853194145398,0.014551889806280523,6.75,1.5760301290717558,3.46875,0.10024541458421572,4.999433946143133,0.25953371646868917
cadence,async_online,10,8,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,101.96875,9.656028158011265,8.157499999999999,0.7724822526409013,9.0,0.0,0.10255899326201018,0.005350566151569401,0.0,0.0,0.0,0.0,22.59375,12.622692968308206,0.09001494023904383,0.0502896134195546,0.3673853194145398,0.014551889806280523,6.75,1.5760301290717558,3.46875,0.10024541458421572,4.999433946143133,0.25953371646868917
capacity_noise,async_online,10,16,4,large,0.0,balanced,32,0.90625,0.0523514603733822,109.75,9.188220017869304,8.780000000000001,0.7350576014295445,9.0,0.0,0.09285812267026769,0.004569650071707637,8.78125,1.059456623318552,0.1039895088468718,0.013144177792728777,31.0,12.141222104613208,0.19251042518153316,0.045832951025544987,0.3225239180712891,0.01746598474231882,7.5,1.9213360606787442,3.46875,0.10024541458421572,4.96090341991891,0.26787881040899336
capacity_noise,async_online,10,16,4,large,0.07,balanced,32,0.90625,0.0523514603733822,109.0,9.183501159600683,8.72,0.7346800927680546,9.0,0.0,0.09342411560478413,0.004534130856502201,8.40625,1.0886690740636387,0.1009207247194232,0.013543099823878068,30.625,12.165918650595327,0.18944164105408456,0.04613926149477243,0.37186586934254284,0.01322964640029856,7.25,1.909758471470892,3.46875,0.10024541458421572,4.964649571131705,0.2617029695085145
capacity_noise,async_online,10,16,4,large,0.16,balanced,32,0.90625,0.0523514603733822,109.15625,9.19864880669719,8.7325,0.7358919045357751,9.0,0.0,0.09342001172271985,0.004599579135035784,7.25,1.1323683431269742,0.08723371194067882,0.014016359981824279,29.46875,12.237813587451383,0.17575462827534016,0.04711731256343296,0.4852453560098617,0.010306330447890439,8.0625,1.9908751013950718,3.46875,0.10024541458421572,4.974088968668342,0.2510100077381974
capacity_noise,async_online,10,16,4,medium,0.0,balanced,32,0.90625,0.0523514603733822,110.9375,9.110426663550696,8.875,0.7288341330840555,9.0,0.0,0.09145977002031708,0.004425484524303149,8.28125,1.0407371524859272,0.09718804643396088,0.012896579296785412,30.5,12.207133689086303,0.18570896276862225,0.04634410200261877,0.30853236351486846,0.01663197374144172,8.40625,2.1302635830966414,3.46875,0.10024541458421572,5.244717769843055,0.2722279481122325
capacity_noise,async_online,10,16,4,medium,0.07,balanced,32,0.90625,0.0523514603733822,110.84375,9.11387516450126,8.8675,0.7291100131601009,9.0,0.0,0.09154125953304745,0.004423365594183857,8.21875,1.0412213429817145,0.09651947038504373,0.012900946355999652,30.4375,12.210844061800678,0.18504038671970507,0.046386492705579284,0.3532078579493362,0.01203766276473145,8.21875,2.0992195050165514,3.46875,0.10024541458421572,5.257206667793138,0.2683193974759848
capacity_noise,async_online,10,16,4,medium,0.16,balanced,32,0.90625,0.0523514603733822,110.4375,9.098911834531679,8.835,0.7279129467625343,9.0,0.0,0.0918166707911093,0.00440707625723481,8.0,1.0822989271647345,0.0941628752974469,0.01332463924945766,30.21875,12.227244695875788,0.18268379163210824,0.046650582821832834,0.46751283360209034,0.009048748376349135,7.9375,1.7813649510164045,3.46875,0.10024541458421572,5.26565323827238,0.2561133054162446
capacity_noise,async_online,10,16,4,small,0.0,balanced,32,0.90625,0.0523514603733822,114.96875,9.021422127783472,9.197500000000002,0.7217137702226779,9.0,0.0,0.08797247306571183,0.004347314798135583,5.28125,0.9695301229328532,0.06035621925607255,0.011503171088128284,27.5,12.301078499792792,0.1488771355907339,0.047902850805812885,0.25808037141434026,0.014836969861263719,11.21875,2.364358321443139,3.46875,0.10024541458421572,5.156666205345736,0.2604012244255213
