method,label,n,success_mean,success_sem,completion_steps_mean,completion_steps_sem,completion_time_s_mean,completion_time_s_sem,idle_steps_mean,idle_steps_sem,idle_fraction_mean,idle_fraction_sem,stale_instruction_errors_mean,stale_instruction_errors_sem,stale_error_fraction_mean,stale_error_fraction_sem,wrong_instruction_errors_mean,wrong_instruction_errors_sem,wrong_instruction_fraction_mean,wrong_instruction_fraction_sem,control_smoothness_mean,control_smoothness_sem,safety_violations_mean,safety_violations_sem,planner_calls_mean,planner_calls_sem,path_length_mean,path_length_sem
async_online,Asynchronous online,64,0.84375,0.045745315919462494,121.5625,7.717188446567913,9.725,0.617375075725433,9.0,0.0,0.08666106769095913,0.0033451912807751717,7.6875,0.7466442784696261,0.08549620899535743,0.009126880017419861,41.09375,9.722889627744092,0.21858883847742916,0.03664897091212371,0.33106778708503226,0.009977273142316927,8.3125,1.3958333333333333,3.546875,0.07018148066388029,5.405445777865134,0.17956317936312746
controller_only,Controller only,64,0.15625,0.045745315919462494,230.453125,8.660738863541054,18.43625,0.6928591090832844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.125,11.295948933205537,0.7987387154773287,0.04283862152108819,0.3838804636551555,0.0024729270458515255,21.703125,1.9024680721696752,0.0,0.0,17.015316249901204,0.6918835776520913
direct_blocking,Direct planner actions,64,0.5625,0.0625,225.0625,5.223234635694993,18.005,0.4178587708555994,95.546875,2.1679174145752533,0.4249687888479383,0.0007641259516660834,17.28125,0.9259456636454482,0.13665724996503903,0.007427930541473044,43.1875,2.6147167249220904,0.3207046873278132,0.015004478329821958,1.2361214650341692,0.004468608405748765,27.625,1.9758587644725158,9.625,0.21187466345902006,10.667771447933998,0.35706280271389185
oracle,Oracle planner/controller,64,1.0,0.0,78.828125,2.1784882044424387,6.3062499999999995,0.17427905635539512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082796900339517,0.0048352777588888856,7.78125,1.2270651425606147,3.625,0.060993754559283325,5.289030280892226,0.1095428291095435
sync_instruction,Synchronous instructions,64,0.84375,0.045745315919462494,139.34375,7.012468301642983,11.1475,0.5609974641314387,33.375,0.9149063183892499,0.2713833328600447,0.010793555366782786,0.0,0.0,0.0,0.0,31.953125,9.505596453263292,0.134680523436778,0.03978675653115997,0.3754784437073291,0.01226583124805707,15.40625,1.612623618677301,3.4375,0.09149063183892499,6.372415148235828,0.21999150396050632
