severity,method,success,success_sem,tracking_rmse,tracking_rmse_sem,tail_rmse,tail_rmse_sem,final_error,final_error_sem,inference_calls,inference_calls_sem,mean_horizon,mean_horizon_sem,selected_action_error,selected_action_error_sem,n
0.0,attention_entropy,0.325,0.075,0.3928231626669226,0.003151947212892286,0.4890273704392065,0.004940324943954825,0.3485858453947627,0.0072011186322198,13.0,0.0,12.923076923076923,0.0,2.2355899202803284,0.014193914155057047,40
0.0,ensemble_uncertainty,0.0,0.0,0.9715485232413764,0.020261899681115806,1.213183242114421,0.03549177339068924,0.5751909455923669,0.04569332533416436,8.125,0.06392603899459484,20.725,0.15738582892147285,0.9160100353953343,0.030801402899532464,40
0.0,fixed_12,0.15,0.05717718748968655,0.3818971089126445,0.00380099543581034,0.5341209531844054,0.006871940188955103,0.37511808739865105,0.014614126357614611,14.0,0.0,12.0,0.0,1.6126652527884553,0.01431537865115643,40
0.0,fixed_24,0.0,0.0,1.0643088463974197,0.01512845158891677,1.4120710377843622,0.02701561002011312,1.2386081708556447,0.03361487973862947,7.0,0.0,24.0,0.0,0.7523226535192793,0.012464666372080008,40
0.0,fixed_3,1.0,0.0,0.1536803052993237,0.002039524695329081,0.2132323485229389,0.0007830457589319477,0.200177220447903,0.0018975819319060926,56.0,0.0,3.0,0.0,0.350106845561503,0.0007099624251812876,40
0.0,fixed_6,1.0,0.0,0.20930894439354059,0.0018251565415935683,0.29894614048413265,0.001038788042298035,0.25603406867902234,0.0028408302421872498,28.0,0.0,6.0,0.0,0.51563526875876,0.0015875797339338252,40
0.0,oracle_stop,1.0,0.0,0.15262204160742326,0.0018618566210698545,0.18349492623560715,0.0012966891437082271,0.1897795044123439,0.001915863843841929,38.025,0.22783119031873417,4.424617240484113,0.027723637251087715,0.5721488278637458,0.007081177423199293,40
0.0,shuffled_attention,0.0,0.0,0.913388538953687,0.016775437874232503,1.0900749145694533,0.04698178283547963,0.7149540224958872,0.051322554868704275,8.85,0.13180210495965106,19.13863636363637,0.26939666958952774,0.8795530263956284,0.03337288726265255,40
0.0,state_error,0.2,0.06405126152203486,0.6196905394447688,0.015397988519635092,0.7160233264018963,0.04342909860137042,0.4458546839786427,0.04179052699530598,13.85,0.11629978944796515,12.163846153846155,0.1037098967283804,1.1283190590390462,0.030180341178474426,40
0.5,attention_entropy,0.35,0.07637626158259733,0.39086666558995714,0.0030966112173936534,0.4908855257656965,0.0053467944031040165,0.34807805714137385,0.007202185501664681,13.0,0.0,12.923076923076923,0.0,2.2404974274138256,0.014342525600282223,40
0.5,ensemble_uncertainty,0.0,0.0,0.9710617305852682,0.02045351674536708,1.2156188228401983,0.03617152363188174,0.5779937630495147,0.04541629355563319,8.125,0.06392603899459484,20.725,0.15738582892147285,0.9238458946168041,0.03123424624480732,40
0.5,fixed_12,0.125,0.05295740910852021,0.38008419994274123,0.0035502251809323153,0.5375820051651743,0.00689842698924792,0.3747755874665107,0.014563057959470849,14.0,0.0,12.0,0.0,1.6150207370134644,0.01438848874018598,40
0.5,fixed_24,0.0,0.0,1.0672032752937723,0.015130442633023489,1.4236478057375102,0.02786722628329986,1.2402946970958388,0.03376747813773989,7.0,0.0,24.0,0.0,0.7626013047883918,0.013553276844289659,40
0.5,fixed_3,1.0,0.0,0.1499133673496428,0.0010895636661626168,0.2142611930786861,0.0010634988093353311,0.20005293388604736,0.0019397626709780809,56.0,0.0,3.0,0.0,0.3524858911577799,0.0008993187406823913,40
0.5,fixed_6,1.0,0.0,0.20585957751590725,0.001261874411664766,0.29998107945259317,0.0013127551871913471,0.25584298043507997,0.0028592057278621803,28.0,0.0,6.0,0.0,0.5184664356965314,0.0022196562568167124,40
0.5,oracle_stop,1.0,0.0,0.14941775577589755,0.0011287842072143439,0.18577721591647708,0.001288249486426889,0.19028564905894846,0.002092967901429348,37.875,0.28686524130097507,4.446101112108814,0.03548741990749031,0.5749026968678098,0.006702464122384035,40
0.5,shuffled_attention,0.0,0.0,0.9112372350459388,0.01643526229541763,1.0960336923429277,0.04751688338397712,0.7201289187025373,0.05119262842986688,8.85,0.13180210495965106,19.13863636363637,0.26939666958952774,0.8740823186697637,0.03453868560488501,40
