condition,method,success,success_sem,tracking_rmse,tracking_rmse_sem,tail_rmse,tail_rmse_sem,final_error,final_error_sem,inference_calls,inference_calls_sem,mean_horizon,mean_horizon_sem,selected_action_error,selected_action_error_sem,n
clean,attention_entropy,0.4,0.04490887131390719,0.39009843001365685,0.0017615019682039837,0.48514392341793844,0.0024586587833956984,0.36603623384775547,0.004610142513067929,13.0,0.0,12.923076923076927,3.256767289727986e-16,2.232322676664106,0.007702534499611469,120
clean,ensemble_uncertainty,0.0,0.0,0.9593100750121831,0.011207422489657847,1.1375048088022959,0.022931336808627727,0.665080774582376,0.02757649873109209,8.25,0.043078327461947355,20.42777777777778,0.10348602715923028,0.925393048490448,0.017747055678063468,120
clean,fixed_12,0.10833333333333334,0.028491075150158012,0.3810431234093964,0.002131557416581833,0.5368713492900969,0.0039304841961373144,0.3925394697692775,0.006713336888416967,14.0,0.0,12.0,0.0,1.597598262074481,0.00771344077386143,120
clean,fixed_24,0.0,0.0,1.0752301277589098,0.0086674749211346,1.403706147337414,0.01814252158508632,1.3122728453441257,0.018754699025636607,7.0,0.0,24.0,0.0,0.7606773752835263,0.0075344174196272685,120
clean,fixed_3,1.0,0.0,0.1526139790678957,0.0009299066414496543,0.2127004346494049,0.0004234424952709763,0.19878333666044512,0.0009437400883567442,56.0,0.0,3.0,0.0,0.34899454742276376,0.00042263084109889866,120
clean,fixed_6,1.0,0.0,0.20847587630460598,0.0008259352879488737,0.2981377692188523,0.0005439516548162057,0.2629884810122892,0.0017134994369760001,28.0,0.0,6.0,0.0,0.5154138860695562,0.0009564885126659337,120
clean,oracle_stop,1.0,0.0,0.15165590194904924,0.0009860610720897475,0.18474775441644298,0.0006416749244503607,0.18947348742596742,0.0011702190894343498,38.208333333333336,0.13947472152990664,4.404150246653833,0.016622502524856086,0.5621908640803748,0.003882121984124368,120
clean,shuffled_attention,0.0,0.0,0.9480387488291417,0.011658786613429919,1.1427100887384598,0.02410328021093422,0.8555061087380473,0.03413703457994877,8.575,0.07638772174645246,19.780606060606065,0.1795492586351693,0.8649555459553379,0.01638567124212476,120
clean,state_error,0.14166666666666666,0.03196600376689893,0.616597667690918,0.008840817638337932,0.6865895377881637,0.020141733661718904,0.43754173049741457,0.02899956699424208,14.025,0.05220958088449335,11.998461538461537,0.0448909307551586,1.1304338001989158,0.017904709416625936,120
combined,attention_entropy,0.43333333333333335,0.04542567625794979,0.39171235225789436,0.001979451414227461,0.48660875003329723,0.0028817236919924686,0.3665397635350318,0.004559879009523491,13.0,0.0,12.923076923076927,3.256767289727986e-16,2.2295360124896795,0.007946381972534144,120
combined,ensemble_uncertainty,0.0,0.0,0.9577336130334028,0.011759319595805546,1.1345992532476055,0.02326485296383072,0.6646962221414422,0.02780318040043639,8.25,0.043078327461947355,20.42777777777778,0.10348602715923028,0.9386248556757751,0.018023295339397186,120
combined,fixed_12,0.08333333333333333,0.025336208004377508,0.3825881590024201,0.0025689247714300078,0.53773211185508,0.0044870395874799735,0.39305180019467506,0.006677877486276127,14.0,0.0,12.0,0.0,1.601836417959197,0.008145570784848257,120
combined,fixed_24,0.0,0.0,1.0743690913966384,0.008724624946312107,1.4003449913248813,0.018526099969487234,1.313595391952881,0.01877133733275166,7.0,0.0,24.0,0.0,0.7758020726181665,0.008228960576718241,120
combined,fixed_3,1.0,0.0,0.15337408688224716,0.0010448786430672533,0.21297955381347328,0.0007975400843790569,0.1986431846911712,0.0009782493687604998,56.0,0.0,3.0,0.0,0.3559482365103749,0.0007460205123751327,120
combined,fixed_6,1.0,0.0,0.20935283067366137,0.0010063616647794462,0.2985754549768631,0.0009125791646636792,0.2628051300946771,0.0017392058073443834,28.0,0.0,6.0,0.0,0.5250518131157801,0.0016419115001690826,120
combined,oracle_stop,1.0,0.0,0.15183180457388737,0.0010948163563449268,0.18528789050036576,0.0009084177920719543,0.19025320968975723,0.001175696062629598,38.541666666666664,0.1574018004896565,4.36769750811924,0.018092980830674562,0.5628615089062805,0.003956804226815729,120
combined,shuffled_attention,0.008333333333333333,0.008333333333333333,0.9367493314183517,0.012590259405071112,1.1119073025987602,0.025274363220795463,0.8357085502062629,0.03488167999889482,8.691666666666666,0.08008734144401657,19.527323232323237,0.1825918871093357,0.8912169310485223,0.01762586211397652,120
combined,state_error,0.15833333333333333,0.03346437826273889,0.6163036169388311,0.008269083463042655,0.6720515235402565,0.018753737354319948,0.4459685964166322,0.02560587595989563,14.008333333333333,0.053577652921938605,12.014102564102563,0.04678856220726332,1.105179392776569,0.016316236517814435,120
distractor,attention_entropy,0.4,0.04490887131390719,0.39009843001365685,0.0017615019682039837,0.48514392341793844,0.0024586587833956984,0.36603623384775547,0.004610142513067929,13.0,0.0,12.923076923076927,3.256767289727986e-16,2.232322676664106,0.007702534499611469,120
distractor,ensemble_uncertainty,0.0,0.0,0.9593100750121831,0.011207422489657847,1.1375048088022959,0.022931336808627727,0.665080774582376,0.02757649873109209,8.25,0.043078327461947355,20.42777777777778,0.10348602715923028,0.925393048490448,0.017747055678063468,120
distractor,fixed_12,0.10833333333333334,0.028491075150158012,0.3810431234093964,0.002131557416581833,0.5368713492900969,0.0039304841961373144,0.3925394697692775,0.006713336888416967,14.0,0.0,12.0,0.0,1.597598262074481,0.00771344077386143,120
distractor,fixed_24,0.0,0.0,1.0752301277589098,0.0086674749211346,1.403706147337414,0.01814252158508632,1.3122728453441257,0.018754699025636607,7.0,0.0,24.0,0.0,0.7606773752835263,0.0075344174196272685,120
distractor,fixed_3,1.0,0.0,0.1526139790678957,0.0009299066414496543,0.2127004346494049,0.0004234424952709763,0.19878333666044512,0.0009437400883567442,56.0,0.0,3.0,0.0,0.34899454742276376,0.00042263084109889866,120
distractor,fixed_6,1.0,0.0,0.20847587630460598,0.0008259352879488737,0.2981377692188523,0.0005439516548162057,0.2629884810122892,0.0017134994369760001,28.0,0.0,6.0,0.0,0.5154138860695562,0.0009564885126659337,120
distractor,oracle_stop,1.0,0.0,0.15165590194904924,0.0009860610720897475,0.18474775441644298,0.0006416749244503607,0.18947348742596742,0.0011702190894343498,38.208333333333336,0.13947472152990664,4.404150246653833,0.016622502524856086,0.5621908640803748,0.003882121984124368,120
distractor,shuffled_attention,0.008333333333333333,0.008333333333333333,0.9372172081708509,0.012281691525239266,1.1136311612248042,0.02561517757607024,0.8402595929921021,0.03505700736395008,8.691666666666666,0.08008734144401657,19.527323232323237,0.1825918871093357,0.8791202009934581,0.017494680608103958,120
distractor,state_error,0.14166666666666666,0.03196600376689893,0.616597667690918,0.008840817638337932,0.6865895377881637,0.020141733661718904,0.43754173049741457,0.02899956699424208,14.025,0.05220958088449335,11.998461538461537,0.0448909307551586,1.1304338001989158,0.017904709416625936,120
disturbance,attention_entropy,0.43333333333333335,0.04542567625794979,0.39171235225789436,0.001979451414227461,0.48660875003329723,0.0028817236919924686,0.3665397635350318,0.004559879009523491,13.0,0.0,12.923076923076927,3.256767289727986e-16,2.2295360124896795,0.007946381972534144,120
disturbance,ensemble_uncertainty,0.0,0.0,0.9577336130334028,0.011759319595805546,1.1345992532476055,0.02326485296383072,0.6646962221414422,0.02780318040043639,8.25,0.043078327461947355,20.42777777777778,0.10348602715923028,0.9386248556757751,0.018023295339397186,120
disturbance,fixed_12,0.08333333333333333,0.025336208004377508,0.3825881590024201,0.0025689247714300078,0.53773211185508,0.0044870395874799735,0.39305180019467506,0.006677877486276127,14.0,0.0,12.0,0.0,1.601836417959197,0.008145570784848257,120
disturbance,fixed_24,0.0,0.0,1.0743690913966384,0.008724624946312107,1.4003449913248813,0.018526099969487234,1.313595391952881,0.01877133733275166,7.0,0.0,24.0,0.0,0.7758020726181665,0.008228960576718241,120
disturbance,fixed_3,1.0,0.0,0.15337408688224716,0.0010448786430672533,0.21297955381347328,0.0007975400843790569,0.1986431846911712,0.0009782493687604998,56.0,0.0,3.0,0.0,0.3559482365103749,0.0007460205123751327,120
disturbance,fixed_6,1.0,0.0,0.20935283067366137,0.0010063616647794462,0.2985754549768631,0.0009125791646636792,0.2628051300946771,0.0017392058073443834,28.0,0.0,6.0,0.0,0.5250518131157801,0.0016419115001690826,120
disturbance,oracle_stop,1.0,0.0,0.15183180457388737,0.0010948163563449268,0.18528789050036576,0.0009084177920719543,0.19025320968975723,0.001175696062629598,38.541666666666664,0.1574018004896565,4.36769750811924,0.018092980830674562,0.5628615089062805,0.003956804226815729,120
disturbance,shuffled_attention,0.0,0.0,0.9469786289286782,0.01186510085369317,1.1390430814419383,0.023825141457086044,0.8546279148935452,0.03422498930062811,8.575,0.07638772174645246,19.780606060606065,0.1795492586351693,0.8770193460810402,0.016599537877145243,120
disturbance,state_error,0.15833333333333333,0.03346437826273889,0.6163036169388311,0.008269083463042655,0.6720515235402565,0.018753737354319948,0.4459685964166322,0.02560587595989563,14.008333333333333,0.053577652921938605,12.014102564102563,0.04678856220726332,1.105179392776569,0.016316236517814435,120
