condition,trial,signal,pearson_action_error,mean_signal,mean_action_error
clean,0,attention_entropy,0.6108652383879408,0.731775585620643,0.8767405741950375
clean,0,state_error,0.11559910992352018,0.15929937486786533,0.8767405741950375
clean,0,ensemble_uncertainty,0.5902099019407279,0.09762159042496425,0.8767405741950375
clean,1,attention_entropy,0.5620661135345232,0.7317131140548861,0.9426491132255119
clean,1,state_error,0.3122684575938485,0.21617783623480338,0.9426491132255119
clean,1,ensemble_uncertainty,0.7490453171326554,0.09500966190261917,0.9426491132255119
clean,2,attention_entropy,0.46660339841356085,0.872180300281058,1.060716031683371
clean,2,state_error,-0.1218589963660935,0.37058056979798165,1.060716031683371
clean,2,ensemble_uncertainty,0.2702749336504458,0.14332061716164787,1.060716031683371
clean,3,attention_entropy,0.5215578947921369,0.8695185562909975,0.809062802973887
clean,3,state_error,0.10721292298133307,0.3414893923919579,0.809062802973887
clean,3,ensemble_uncertainty,0.44479457869289657,0.144690248231439,0.809062802973887
clean,4,attention_entropy,0.6855405471749665,0.8694759913657074,1.2523882821769412
clean,4,state_error,0.2136500784023188,0.27557057015953773,1.2523882821769412
clean,4,ensemble_uncertainty,0.7091033612263327,0.1566955384359715,1.2523882821769412
clean,5,attention_entropy,0.4063370103563245,0.9174570937255581,1.3840284983441442
clean,5,state_error,-0.27446899003213654,0.8073279387479175,1.3840284983441442
clean,5,ensemble_uncertainty,-0.006632222294013489,0.17233976102934437,1.3840284983441442
clean,6,attention_entropy,0.4735804539649664,0.9174570937255581,1.215704838073149
clean,6,state_error,-0.2705824220194464,0.29730769826897696,1.215704838073149
clean,6,ensemble_uncertainty,0.03394949814689244,0.1750577657055068,1.215704838073149
clean,7,attention_entropy,0.5563417169435559,0.7326562662648799,0.7270299072087706
clean,7,state_error,0.19611157605379628,0.17339497771273535,0.7270299072087706
clean,7,ensemble_uncertainty,0.6290782871042706,0.08981802506964949,0.7270299072087706
clean,8,attention_entropy,0.6134251863110596,0.7317019297901851,0.8594827975277405
clean,8,state_error,0.20410193365328166,0.2017256426685514,0.8594827975277405
clean,8,ensemble_uncertainty,0.6944166951250932,0.08591741827238653,0.8594827975277405
clean,9,attention_entropy,0.5454965381853284,0.7321587592368622,0.8982388323997498
clean,9,state_error,0.23458154629706107,0.20083602443169124,0.8982388323997498
clean,9,ensemble_uncertainty,0.5553460645340794,0.09216935567599203,0.8982388323997498
clean,10,attention_entropy,0.5296134636815591,0.8712462007592047,0.8109059685011641
clean,10,state_error,0.10352544838730898,0.3581289871653966,0.8109059685011641
clean,10,ensemble_uncertainty,0.49045886176772613,0.1501215783536781,0.8109059685011641
clean,11,attention_entropy,0.5044157968893789,0.8694759913657074,1.1016768914946937
clean,11,state_error,-0.23236255915796983,0.26123103947492443,1.1016768914946937
clean,11,ensemble_uncertainty,0.4554591400775879,0.14189070019622207,1.1016768914946937
clean,12,attention_entropy,0.7501867145192401,0.8702750696306761,1.5219522854114371
clean,12,state_error,0.24905796943563266,0.2861863763095208,1.5219522854114371
clean,12,ensemble_uncertainty,0.7706860681634774,0.1376553389485667,1.5219522854114371
clean,13,attention_entropy,0.7523328889867685,0.9174570937255581,1.1941862982221247
clean,13,state_error,0.4343118656733253,0.4720359778332175,1.1941862982221247
clean,13,ensemble_uncertainty,0.7728630477083097,0.17454390058064373,1.1941862982221247
clean,14,attention_entropy,0.5997865998307762,0.7328388246388968,0.7948752505970598
clean,14,state_error,0.42443220981173085,0.5275538544760656,0.7948752505970598
clean,14,ensemble_uncertainty,0.6902110617461078,0.08702889638665444,0.7948752505970598
clean,15,attention_entropy,0.5540921378785018,0.7319628493510405,0.726882759467137
clean,15,state_error,0.1993131465765141,0.18032387505477243,0.726882759467137
