setting,episodes,success_rate,transfer_rate,attempt2_rate,attempt3_rate,mean_attempts
full,180,0.9666666666666667,0.4166666666666667,0.7611111111111111,0.9388888888888889,1.9166666666666667
no_fast,180,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,3.3333333333333335
no_slow,180,0.34444444444444444,0.005555555555555556,0.08333333333333333,0.19444444444444445,4.372222222222222
no_cross,180,0.9611111111111111,0.4166666666666667,0.7611111111111111,0.9277777777777778,1.9333333333333333
no_phase,180,0.8833333333333333,0.15555555555555556,0.5111111111111111,0.7611111111111111,2.688888888888889
