method,trial,seed,duration,final_error,final_goal,final_x,max_abs_jerk,mean_abs_error,path_effort,rms_accel,rms_jerk,rms_vel_jump,settle_time,success,tail_mean_abs_error,within_tol_frac
synchronous,0,1008,17.979999999999706,1.0443779260739205,9.391648175422947,10.436026101496868,400.0,2.3979161558948143,95.15539737134438,6.420905306973958,107.199511793235,0.13048090808071344,nan,0.0,1.800726403345244,0.04111111111111111
synchronous,1,1009,17.979999999999706,5.210657049434554,9.391648175422947,14.602305224857501,400.0,2.4656394065207174,90.67595228845505,6.270228524720993,104.69265597511685,0.12832908294867607,nan,0.0,1.7877415609320388,0.028888888888888888
synchronous,2,1010,17.979999999999706,0.6532498709906225,9.391648175422947,8.738398304432325,400.0,2.5093978785386337,98.04426949361194,6.573809828061187,109.74363798028982,0.1357598364926278,nan,0.0,1.744957827940792,0.04
synchronous,3,1011,17.979999999999706,1.9812727169475188,9.391648175422947,11.372920892370466,400.0,2.3362481463475353,91.1517593389354,6.265593781206952,104.61554969044391,0.13271958576023857,nan,0.0,1.468895768912253,0.03777777777777778
synchronous,4,1012,17.979999999999706,0.6676715483949902,9.391648175422947,8.723976627027957,400.0,2.0838377616266426,89.28371000334214,6.201747649405834,103.55338951630084,0.1272910474734338,nan,0.0,1.429950481478738,0.03333333333333333
synchronous,5,1013,17.979999999999706,2.4988266653012996,9.391648175422947,11.890474840724247,400.0,2.7866176553620163,93.60940342706083,6.366168777937431,106.28881922412,0.1314771990490785,9.539999999999885,1.0,2.1732718587155313,0.042222222222222223
synchronous,6,1014,17.979999999999706,0.3461491319317709,9.391648175422947,9.045499043491176,400.0,2.3734396743458763,90.34683612543417,6.2514843358617975,104.19276956527325,0.13212474740852845,nan,0.0,1.5908108432501422,0.03777777777777778
synchronous,7,1015,17.979999999999706,0.5862196540039459,9.391648175422947,9.977867829426893,400.0,2.38496007800557,95.75663443278849,6.475651257733837,108.11038781676918,0.1338490720366357,nan,0.0,1.5030867461597184,0.03222222222222222
synchronous,8,1016,17.979999999999706,0.45130408310434866,9.391648175422947,9.842952258527296,400.0,2.4562900574462736,89.00672436323356,6.156089244252589,102.77751704413541,0.12694358607546533,nan,0.0,1.3495916745541228,0.025555555555555557
synchronous,9,1017,17.979999999999706,4.318673441732292,9.391648175422947,13.71032161715524,400.0,2.411789522747941,94.05452366210528,6.3763294818930545,106.45786840587424,0.1320986508399506,nan,0.0,1.6275040835058079,0.03111111111111111
synchronous,10,1018,17.979999999999706,0.8412068416887308,9.391648175422947,10.232855017111678,400.0,2.521813863157541,95.19553274019951,6.436974777001944,107.34753099274467,0.13379139889938205,nan,0.0,1.935441866873825,0.022222222222222223
synchronous,11,1019,17.979999999999706,1.7807275264450695,9.391648175422947,11.172375701868017,400.0,2.9032040997482054,93.92203149267488,6.405755797075039,106.94745536682785,0.13313950612212702,nan,0.0,1.7108941124585946,0.024444444444444446
synchronous,12,1020,17.979999999999706,0.691680652110426,9.391648175422947,10.083328827533373,400.0,2.6595767575828244,90.44210976829024,6.23065806870594,103.85136166336717,0.12853213534253924,9.79999999999988,1.0,1.7931275653401348,0.03
synchronous,13,1021,17.979999999999706,3.1141474363248367,9.391648175422947,12.505795611747784,400.0,2.902424296616744,93.88332389785788,6.39442842398085,106.7589927146869,0.13206953364252544,nan,0.0,1.8085439249600546,0.023333333333333334
synchronous,14,1022,17.979999999999706,2.7185245104707096,9.391648175422947,12.110172685893657,400.0,2.6200092503990184,97.7521924423531,6.5672668081357655,109.63476682890729,0.13628258838993723,nan,0.0,1.7680669086768137,0.021111111111111112
synchronous,15,1023,17.979999999999706,1.917297551385305,9.391648175422947,11.308945726808252,400.0,2.4488181253609813,94.85360603618665,6.435853537977906,107.4482213602401,0.13383662905015992,9.659999999999883,1.0,1.6320006980468962,0.04888888888888889
synchronous,16,1024,17.979999999999706,0.8174060228880933,9.391648175422947,8.574242152534854,400.0,2.4250133761501225,91.62913274187316,6.300629672414417,105.1984321956622,0.12929424807171996,nan,0.0,1.7016856686141657,0.03111111111111111
synchronous,17,1025,17.979999999999706,1.1237521578094078,9.391648175422947,8.26789601761354,400.0,2.2029760967776943,88.36318143607558,6.155412078702646,102.78256456236558,0.12682662921837284,16.37999999999974,1.0,1.589302307223352,0.03777777777777778
synchronous,18,1026,17.979999999999706,1.1506532890301369,9.391648175422947,8.24099488639281,400.0,2.722778233129756,95.32575326619161,6.4561364508164685,107.78569284281873,0.13288540523725556,nan,0.0,2.1701797041430066,0.024444444444444446
synchronous,19,1027,17.979999999999706,0.7087309941575146,9.391648175422947,10.100379169580462,400.0,2.5150136959535696,93.2751267579728,6.384843040983259,106.41433409754303,0.13343986755751241,nan,0.0,1.8651321681983932,0.024444444444444446
