scenario,delay,method,success,settle_time,within_tol_frac,tail_mean_abs_error,rms_jerk,final_error
moving_goal,2,synchronous,0.0,nan,0.025555555555555557,2.279009716257163,121.61324428897589,0.8883831769734414
moving_goal,2,synchronous,0.0,nan,0.006666666666666667,4.560904060526187,123.78824132335885,1.7623117930396575
moving_goal,2,synchronous,0.0,nan,0.011111111111111112,4.651119369339055,122.02344891330914,1.0349184230648945
moving_goal,2,synchronous,0.0,nan,0.03888888888888889,0.7769299306384455,116.22324011428026,0.7453587516751394
moving_goal,2,synchronous,0.0,nan,0.015555555555555555,2.4781271329785644,125.78641509408806,2.7412008124344283
moving_goal,2,synchronous,0.0,nan,0.022222222222222223,2.2517792082996433,122.00967923550161,0.28563636901233025
moving_goal,2,synchronous,0.0,nan,0.015555555555555555,2.2274102016277175,124.17832618490766,3.123122235021224
moving_goal,2,synchronous,0.0,nan,0.012222222222222223,3.284265292560634,125.78641509408806,1.8719583838093818
moving_goal,2,synchronous,0.0,nan,0.021111111111111112,2.4623322534019088,124.02467348526159,2.5241107447205806
moving_goal,2,synchronous,0.0,nan,0.02666666666666667,1.8900485100245548,120.46000675501739,0.5811835100597147
moving_goal,2,synchronous,0.0,nan,0.04,0.8195567732345523,115.85442886811867,1.907489074066472
moving_goal,2,synchronous,0.0,nan,0.021111111111111112,2.344001112635664,124.48951993207454,3.3008918126344824
moving_goal,2,synchronous,0.0,nan,0.02666666666666667,1.9914493337138184,122.49039936694638,2.0340646284871244
moving_goal,2,synchronous,0.0,nan,0.02,2.5766619000271214,125.353301539577,4.599545462811097
moving_goal,2,synchronous,0.0,nan,0.022222222222222223,2.2690163263827205,120.7771535078535,1.8042450720435443
moving_goal,2,synchronous,0.0,nan,0.023333333333333334,1.7956734666091483,117.38606697956763,3.566244661115226
moving_goal,2,naive_async,0.0,nan,0.023333333333333334,1.7075735742121727,85.51844290600422,0.05067606676044889
moving_goal,2,naive_async,0.0,nan,0.023333333333333334,1.6940027246480702,86.17561197230617,0.03956842773414948
moving_goal,2,naive_async,0.0,nan,0.022222222222222223,2.0451661792936227,85.69278858172443,3.1749634146947034
moving_goal,2,naive_async,0.0,nan,0.017777777777777778,2.284452489504033,80.06318493929189,1.9306014646855818
moving_goal,2,naive_async,0.0,nan,0.01888888888888889,2.1055407186367243,82.09996206330136,0.6371943331149286
moving_goal,2,naive_async,0.0,nan,0.024444444444444446,1.6927911478943305,87.66067749543575,0.21625635902390883
moving_goal,2,naive_async,0.0,nan,0.027777777777777776,1.8423054195036643,71.14378503011358,4.047047115383142
moving_goal,2,naive_async,0.0,nan,0.03,1.8315393428288458,81.28229579963302,0.7485558971951232
moving_goal,2,naive_async,0.0,nan,0.01888888888888889,1.6834673002516471,84.7239503720846,0.7282612331273359
moving_goal,2,naive_async,0.0,nan,0.021111111111111112,1.859408396602203,85.35478277212988,3.652309486838421
moving_goal,2,naive_async,0.0,nan,0.028888888888888888,1.6962516937923324,86.12123744376042,0.6496467983254242
moving_goal,2,naive_async,1.0,10.079999999999874,0.04111111111111111,1.966770617147054,77.68383968835448,0.003551222431896761
moving_goal,2,naive_async,0.0,nan,0.03222222222222222,0.9956437251784226,74.59107562230058,0.8278583446697567
moving_goal,2,naive_async,0.0,nan,0.022222222222222223,1.7726372380695778,86.48892260352893,0.2184279318622071
moving_goal,2,naive_async,0.0,nan,0.034444444444444444,1.867152761168148,86.86327125399107,0.8152285452496884
moving_goal,2,naive_async,0.0,nan,0.021111111111111112,1.8749719039934511,86.15569206101169,2.1936531088226108
moving_goal,2,rtc_hard,0.0,nan,0.006666666666666667,5.983409747254038,66.66666666666667,7.6292662617606934
moving_goal,2,rtc_hard,0.0,nan,0.01,4.768594679899921,70.23863081183876,2.4809438700955937
moving_goal,2,rtc_hard,0.0,nan,0.008888888888888889,3.5074809255743555,67.67020710466143,5.074666725248454
moving_goal,2,rtc_hard,0.0,nan,0.02666666666666667,1.8449202451993247,78.60903223681088,1.4887758699346332
moving_goal,2,rtc_hard,0.0,nan,0.017777777777777778,2.1639692288496333,81.10350040397626,3.3268008124344934
moving_goal,2,rtc_hard,0.0,nan,0.015555555555555555,2.5312512485650767,78.96488277873613,1.3047893550999632
moving_goal,2,rtc_hard,0.0,nan,0.008888888888888889,5.423147035039819,65.04980617861005,4.015145283706934
moving_goal,2,rtc_hard,0.0,nan,0.017777777777777778,1.8714654328677407,85.10601287508793,1.1862947111226063
moving_goal,2,rtc_hard,0.0,nan,0.016666666666666666,2.0737896181828215,80.25322903289349,0.8665093926768144
moving_goal,2,rtc_hard,0.0,nan,0.0077777777777777776,5.748466813178982,65.46202659522154,5.1618722850713255
moving_goal,2,rtc_hard,0.0,nan,0.01888888888888889,2.3297294057310927,76.7003644214731,3.0306193878529015
moving_goal,2,rtc_hard,0.0,nan,0.03111111111111111,1.835088677741393,80.9786303858478,6.0077923286276835
moving_goal,2,rtc_hard,0.0,nan,0.034444444444444444,1.0153956735720282,74.76663358134594,0.9238380617753776
moving_goal,2,rtc_hard,0.0,nan,0.015555555555555555,2.5032730449763405,74.63414983132076,2.407227831419511
moving_goal,2,rtc_hard,0.0,nan,0.024444444444444446,1.8251061693579074,88.53036570955685,1.7644090046274306
moving_goal,2,rtc_hard,0.0,nan,0.012222222222222223,4.564043094153957,68.37600120737159,1.2955849029766888
moving_goal,2,prefix_conditioned,0.0,nan,0.0022222222222222222,13.00491187424823,24.151689965445318,17.978747381220337
moving_goal,2,prefix_conditioned,0.0,nan,0.0022222222222222222,12.48925363245927,23.517822752527312,19.47040239508324
moving_goal,2,prefix_conditioned,0.0,nan,0.0011111111111111111,12.780336028912588,23.88681816512997,18.488091801263128
moving_goal,2,prefix_conditioned,0.0,nan,0.0022222222222222222,12.640782915123431,24.130396176840726,15.141671019513907
moving_goal,2,prefix_conditioned,0.0,nan,0.0,13.266989689343006,24.173069971385765,19.240263717192473
moving_goal,2,prefix_conditioned,0.0,nan,0.0022222222222222222,12.09871427260648,23.969890372384864,17.128229275589586
moving_goal,2,prefix_conditioned,0.0,nan,0.0011111111111111111,12.489693198736106,23.832123377483402,18.212609123401627
moving_goal,2,prefix_conditioned,0.0,nan,0.0011111111111111111,12.623795228225694,23.971734509071943,16.934821260251326
moving_goal,2,prefix_conditioned,0.0,nan,0.0011111111111111111,13.26625340456645,24.0304371631381,19.906931304869197
