method,trial,seed,duration,final_error,final_goal,final_x,max_abs_jerk,mean_abs_error,path_effort,rms_accel,rms_jerk,rms_vel_jump,settle_time,success,tail_mean_abs_error,within_tol_frac
synchronous,0,1007,17.979999999999706,0.14495618330662552,10.0,10.144956183306626,400.0,1.287295320959911,79.59648831374454,5.690813471884882,95.0366835371373,0.11943370670631645,8.999999999999897,1.0,0.13874012607958017,0.3466666666666667
synchronous,1,1008,17.979999999999706,0.2105461743642394,10.0,10.21054617436424,400.0,3.9751731548926554,95.06747772222323,6.457848738244893,107.78236968837857,0.13323078285259232,17.159999999999723,1.0,1.6607340690024541,0.058888888888888886
synchronous,2,1009,17.979999999999706,0.15184940854777906,10.0,10.151849408547779,400.0,1.735200558316143,85.64453504736841,6.016621300775476,100.27730413861525,0.124414024715908,11.17999999999985,1.0,0.4622745404397818,0.13666666666666666
synchronous,3,1010,17.979999999999706,0.20126401500304603,10.0,9.798735984996954,400.0,1.775211590464342,85.64282848099236,5.965626928500458,99.62558639486147,0.12581199277459884,9.939999999999877,1.0,0.16865502702431615,0.2588888888888889
synchronous,4,1011,17.979999999999706,0.10188226628415542,10.0,9.898117733715845,400.0,1.4709674429021362,80.08516301583548,5.802707698891509,96.74907744682336,0.12274812911808783,12.559999999999821,1.0,0.158344427343695,0.2811111111111111
synchronous,5,1012,17.979999999999706,0.16421401386335255,10.0,10.164214013863353,400.0,2.383878544067446,84.38484017781582,5.935997109494113,99.06689505047751,0.1227241522742528,11.299999999999848,1.0,0.2437759897109422,0.21888888888888888
synchronous,6,1013,17.979999999999706,0.21713174512659172,10.0,10.217131745126592,400.0,1.3068631813545324,79.56187627374271,5.820833712115113,97.21729288088794,0.12162010851672075,7.459999999999929,1.0,0.21021154037964954,0.27444444444444444
synchronous,7,1014,17.979999999999706,0.6235705890059595,10.0,10.62357058900596,400.0,1.532278704181934,90.06516452071268,6.178548209894381,103.16744776792521,0.12877485045747383,9.999999999999876,1.0,0.17661200513531747,0.2288888888888889
synchronous,8,1015,17.979999999999706,0.42405831494978585,10.0,10.424058314949786,400.0,1.7270092712893617,87.92413842873047,6.097457958794932,101.81848743596763,0.12631417712849694,11.579999999999842,1.0,0.3599923145550273,0.19444444444444445
synchronous,9,1016,17.979999999999706,0.08244689941422934,10.0,9.91755310058577,400.0,1.366809647796572,83.16996152402191,5.895036447417458,98.4024360753503,0.12421523695037814,7.159999999999935,1.0,0.1813500511461614,0.26555555555555554
synchronous,10,1017,17.979999999999706,0.11289689579664142,10.0,9.887103104203359,400.0,1.3420348595759197,84.69739437479801,5.932536957825061,98.90076881609158,0.1254509307707247,9.679999999999882,1.0,0.21277010964020734,0.21
synchronous,11,1018,17.979999999999706,0.15646223639054746,10.0,9.843537763609453,400.0,1.308655372635823,74.00734651480468,5.448186267740942,90.80652812079474,0.1138932664653495,6.039999999999959,1.0,0.18845096634024186,0.37
synchronous,12,1019,17.979999999999706,0.05531345215923267,10.0,9.944686547840767,400.0,1.610026423421903,75.98208422075409,5.652353355129155,94.21397963828977,0.11903878780085715,14.819999999999773,1.0,0.2617525363273775,0.2511111111111111
synchronous,13,1020,17.979999999999706,0.07635350207049285,10.0,10.076353502070493,400.0,1.332819803645742,85.51483156921171,5.968930378013455,99.50045626486538,0.12385415228235451,9.499999999999886,1.0,0.1753466475437742,0.2788888888888889
synchronous,14,1021,17.979999999999706,0.11538857695673066,10.0,10.11538857695673,400.0,1.5080988256960053,69.34203779832602,5.256933843680075,87.65321871753744,0.11132263586718237,8.059999999999917,1.0,0.12124558206421085,0.4011111111111111
synchronous,15,1022,17.979999999999706,0.14623627550957075,10.0,9.85376372449043,400.0,1.5347191393818642,83.5357742416472,5.9121797156414955,98.61079677842035,0.12337759415998964,9.979999999999876,1.0,0.1600307923615898,0.2644444444444444
synchronous,16,1023,17.979999999999706,0.0335608984926008,10.0,10.0335608984926,400.0,2.1091835091136413,93.92729457274397,6.360157166487964,106.10755198744171,0.13044501236136868,15.379999999999761,1.0,1.163765512182154,0.11555555555555555
synchronous,17,1024,17.979999999999706,0.03567432273066906,10.0,10.035674322730669,400.0,1.8793946304088296,91.25194797238125,6.289302470546069,104.82653901208553,0.13020950015413368,17.459999999999717,1.0,0.5441666836665668,0.07777777777777778
synchronous,18,1025,17.979999999999706,0.12913491223777562,10.0,10.129134912237776,400.0,2.6269464169456747,90.85899732467948,6.249804224028772,104.35286699584637,0.12954102681746632,15.299999999999763,1.0,0.6891631318971723,0.10333333333333333
synchronous,19,1026,17.979999999999706,0.030681969188806946,10.0,9.969318030811193,400.0,1.5431929131028284,84.02413592807183,5.87491233222681,97.91763031961743,0.1229890054030877,9.839999999999879,1.0,0.23339456047046211,0.27555555555555555
synchronous,20,1027,17.979999999999706,0.4161164505156716,10.0,10.416116450515672,400.0,1.546473220809861,83.71005486444079,5.865429360514012,97.95901042641655,0.12161476753736253,9.159999999999894,1.0,0.2395716691110342,0.19444444444444445
synchronous,21,1028,17.979999999999706,0.2579450423169547,10.0,9.742054957683045,400.0,1.323144144255524,80.38886159441022,5.673968363916372,94.77479039067366,0.11763014270077118,10.059999999999874,1.0,0.22035752695686822,0.23777777777777778
synchronous,22,1029,17.979999999999706,0.1117919334428148,10.0,10.111791933442815,400.0,1.3341284739172468,77.6410955139786,5.639389666054321,94.03038672429567,0.11645710242339367,9.119999999999894,1.0,0.1496625941342349,0.30666666666666664
synchronous,23,1030,17.979999999999706,0.20918726083309025,10.0,10.20918726083309,400.0,1.6206218795950618,89.7094369659146,6.169580996257304,103.01827223523867,0.12908356009138772,14.659999999999776,1.0,0.31087952301865723,0.16
synchronous,24,1031,17.979999999999706,0.48000472625974133,10.0,9.519995273740259,400.0,1.873037361592455,81.31159248431719,5.836867503810936,97.48396517613996,0.1210878455301011,10.219999999999871,1.0,0.2278662772588617,0.25555555555555554
synchronous,25,1032,17.979999999999706,0.06402923827102924,10.0,10.06402923827103,400.0,2.1160863800514633,92.9057632043117,6.32172181787804,105.37653205796217,0.13109927765527726,14.419999999999781,1.0,1.2215398822295598,0.13777777777777778
synchronous,26,1033,17.979999999999706,0.0646131782676953,10.0,9.935386821732305,400.0,1.1000875725841557,87.98003689421923,6.027239048310496,100.47902704711552,0.12581056647019148,5.859999999999963,1.0,0.18254502958389246,0.3233333333333333
synchronous,27,1034,17.979999999999706,0.02808659045965456,10.0,9.971913409540345,400.0,2.483008879514702,91.1862220403199,6.226083576336521,103.84670541430876,0.12922757039977711,15.719999999999754,1.0,0.8850782582067186,0.10222222222222223
synchronous,28,1035,17.979999999999706,0.1600479351730293,10.0,10.16004793517303,400.0,1.5286308181098043,85.27176437206629,6.023682008717713,100.48013178082171,0.12706934446905857,10.559999999999864,1.0,0.15871207054780329,0.24
synchronous,29,1036,17.979999999999706,0.08412940884836217,10.0,10.084129408848362,400.0,2.285024439696999,87.6949838500617,6.126857294683508,102.28109128043,0.12863611034025363,12.479999999999823,1.0,0.48287921931030364,0.20777777777777778
synchronous,30,1037,17.979999999999706,0.1081823871921479,10.0,9.891817612807852,400.0,1.9326391996554468,87.63163071840984,6.098609559656952,101.66286392085532,0.12717796336178222,11.519999999999843,1.0,0.4671675741165422,0.18888888888888888
synchronous,31,1038,17.979999999999706,0.052679922844960814,10.0,9.94732007715504,400.0,1.3211079850969747,83.95251532796101,5.840030265540901,97.34756359019512,0.1217346929819531,7.639999999999925,1.0,0.1413731869695566,0.3388888888888889
