method,duration,final_error,final_goal,final_x,max_abs_jerk,mean_abs_error,path_effort,rms_accel,rms_jerk,rms_vel_jump,settle_time,success,tail_mean_abs_error,within_tol_frac
synchronous,17.979999999999706,1.6166935300205896,9.391648175422947,10.084256362402495,400.0,2.574558158427216,93.4050056076693,6.374519795776541,106.40620938733157,0.13218674254759358,10.643999999999862,0.15625,1.7805806634805583,0.03159722222222222
naive_async,17.979999999999706,8.059041168217242,9.391648175422947,12.24876583636437,800.0,7.228144833205696,140.23375332620924,7.861144929851987,61.1869313916518,0.16105180249598808,nan,0.0,7.925015708740596,0.007152777777777778
rtc_hard,17.979999999999706,29.8498150894005,9.391648175422947,-20.458166913977557,800.0,14.786042291465712,142.6667113538033,7.9530548304247795,53.2079931219617,0.16286537845290147,nan,0.0,18.64525390216008,0.0031249999999999997
prefix_conditioned,17.979999999999706,1.0651840341184964,9.391648175422947,8.326755920500098,424.78918571327875,3.4195773207609816,52.59841114585132,3.913171291411487,25.966969164685985,0.08563958807062702,13.604999999999798,0.125,2.601650110239235,0.016493055555555556
history_conditioned,17.979999999999706,1.596343732092219,9.391648175422947,10.987991907515166,460.5347368924996,3.9853031125693494,86.187339946605,5.403557263865981,33.72176027453371,0.11345548264126168,nan,0.0,2.588799674243724,0.017812500000000002
vlash,17.979999999999706,1.339969158390239,9.391648175422947,10.213757432603554,800.0,2.705618558077807,132.55364890229654,7.560935603481,83.28061723055337,0.15516453530667712,8.799999999999901,0.03125,1.7981332025143708,0.02763888888888889
vlash_reflex,17.979999999999706,1.2349640180158539,9.391648175422947,10.116432186674764,781.9899662936692,2.6518087373795654,132.33579710584468,7.53765420737863,81.02718778203214,0.15499955304308569,nan,0.0,1.6716924008312346,0.027291666666666665
