seed,method,marker_contrast,success,mean_abs_error,marker_attention
29,frozen,0.12,0.0,3.478928565979004,nan
29,full_policy,0.12,0.0,2.4447808265686035,nan
29,adapter,0.12,0.0,2.822328567504883,nan
29,reward_attention,0.12,0.0,3.0216126441955566,0.21869811415672302
29,supervised_anchors,0.12,0.0,3.074404001235962,0.29317507147789
29,anchors_cached,0.12,0.0,3.074404001235962,0.29317507147789
29,frozen,0.2,0.0,3.502232789993286,nan
29,full_policy,0.2,0.1711111068725586,1.0758354663848877,nan
29,adapter,0.2,0.0,1.7600325345993042,nan
29,reward_attention,0.2,0.15888889133930206,1.8731368780136108,0.31019097566604614
29,supervised_anchors,0.2,0.0,1.9467941522598267,0.439412921667099
29,anchors_cached,0.2,0.0,1.9467941522598267,0.439412921667099
29,frozen,0.28,0.0,3.5016074180603027,nan
29,full_policy,0.28,0.6677777767181396,0.3829716742038727,nan
29,adapter,0.28,0.2922222316265106,0.9645352959632874,nan
29,reward_attention,0.28,0.5433333516120911,0.50642991065979,0.35492953658103943
29,supervised_anchors,0.28,1.0,0.1734168827533722,0.5864611268043518
29,anchors_cached,0.28,1.0,0.1734168827533722,0.5864611268043518
29,frozen,0.4,0.0,3.503265857696533,nan
29,full_policy,0.4,0.20666666328907013,1.173850417137146,nan
29,adapter,0.4,0.20666666328907013,1.0517477989196777,nan
29,reward_attention,0.4,0.2244444489479065,1.3019766807556152,0.47974222898483276
29,supervised_anchors,0.4,0.041111111640930176,1.2002602815628052,0.775137722492218
29,anchors_cached,0.4,0.041111111640930176,1.2002602815628052,0.775137722492218
30,frozen,0.12,0.0,3.494755268096924,nan
30,full_policy,0.12,0.0,2.1856114864349365,nan
30,adapter,0.12,0.0,2.8647918701171875,nan
30,reward_attention,0.12,0.0,3.21341609954834,0.26724520325660706
30,supervised_anchors,0.12,0.0,3.1118245124816895,0.2647201120853424
30,anchors_cached,0.12,0.0,3.1118245124816895,0.2647201120853424
30,frozen,0.2,0.0,3.4651551246643066,nan
30,full_policy,0.2,0.07777778059244156,1.160589337348938,nan
30,adapter,0.2,0.0,1.7730553150177002,nan
30,reward_attention,0.2,0.0533333346247673,2.0825858116149902,0.35533660650253296
30,supervised_anchors,0.2,0.0,2.0275018215179443,0.39390844106674194
30,anchors_cached,0.2,0.0,2.0275018215179443,0.39390844106674194
30,frozen,0.28,0.0,3.508005142211914,nan
30,full_policy,0.28,0.6166666746139526,0.42018750309944153,nan
30,adapter,0.28,0.2844444513320923,0.9735104441642761,nan
30,reward_attention,0.28,0.44777777791023254,0.6435637474060059,0.4494476318359375
30,supervised_anchors,0.28,1.0,0.09595422446727753,0.539766252040863
30,anchors_cached,0.28,1.0,0.09595422446727753,0.539766252040863
30,frozen,0.4,0.0,3.506524085998535,nan
30,full_policy,0.4,0.07999999821186066,1.2926037311553955,nan
30,adapter,0.4,0.185555562376976,1.0835788249969482,nan
30,reward_attention,0.4,0.1344444453716278,1.8116769790649414,0.5620059370994568
30,supervised_anchors,0.4,0.0011111111380159855,1.5257983207702637,0.7256276607513428
30,anchors_cached,0.4,0.0011111111380159855,1.5257983207702637,0.7256276607513428
31,frozen,0.12,0.0,3.5013344287872314,nan
31,full_policy,0.12,0.0,2.219949722290039,nan
31,adapter,0.12,0.0,2.8408217430114746,nan
31,reward_attention,0.12,0.0,3.030480146408081,0.2865086793899536
31,supervised_anchors,0.12,0.0,3.0903913974761963,0.2804069221019745
31,anchors_cached,0.12,0.0,3.0903913974761963,0.2804069221019745
31,frozen,0.2,0.0,3.5110678672790527,nan
31,full_policy,0.2,0.17444443702697754,1.044309139251709,nan
31,adapter,0.2,0.0,1.8108559846878052,nan
31,reward_attention,0.2,0.0,1.8320595026016235,0.38388317823410034
31,supervised_anchors,0.2,0.0,1.9326417446136475,0.3987853229045868
31,anchors_cached,0.2,0.0,1.9326417446136475,0.3987853229045868
31,frozen,0.28,0.0,3.4998438358306885,nan
31,full_policy,0.28,0.7433333396911621,0.3366853892803192,nan
31,adapter,0.28,0.29555556178092957,0.9532787203788757,nan
31,reward_attention,0.28,1.0,0.08021996915340424,0.5044267177581787
31,supervised_anchors,0.28,1.0,0.10147512704133987,0.5382119417190552
31,anchors_cached,0.28,1.0,0.10147512704133987,0.5382119417190552
31,frozen,0.4,0.0,3.526763677597046,nan
31,full_policy,0.4,0.11222222447395325,1.1975593566894531,nan
31,adapter,0.4,0.21666666865348816,1.0142066478729248,nan
31,reward_attention,0.4,0.0,1.0681105852127075,0.6485049724578857
31,supervised_anchors,0.4,0.0033333334140479565,1.3171600103378296,0.7117511630058289
31,anchors_cached,0.4,0.0033333334140479565,1.3171600103378296,0.7117511630058289
32,frozen,0.12,0.0,3.5112626552581787,nan
32,full_policy,0.12,0.0,2.1955206394195557,nan
32,adapter,0.12,0.0,2.855005979537964,nan
