seed,grounding_weight,final_fine_success,success_auc,forgetting,marker_attention,update_seconds
29,0.0,0.37833333015441895,0.19894444284339746,0.0,0.32727137207984924,2.1394161276402883
29,0.05,0.0016666667070239782,0.054499999006899696,0.0,0.323243647813797,2.3635237056878395
29,0.1,1.0,0.43244445072487,0.0,0.5244156718254089,2.3200531582697295
29,0.2,1.0,0.4344444482276837,0.0,0.5877361297607422,2.3204318382777274
29,0.4,0.9449999928474426,0.4659444399178028,0.0,0.5914489030838013,2.324772965454031
29,0.8,0.5383333563804626,0.47305555950539807,0.0,0.5684887170791626,2.332082648470532
30,0.0,1.0,0.4602222225939234,0.0,0.4707258641719818,2.1571532709058374
30,0.05,1.0,0.5588888871017843,0.0,0.5061136484146118,2.3651512184296735
30,0.1,1.0,0.5571111089239518,0.0,0.5251197218894958,2.3343315909733064
30,0.2,1.0,0.5580000045398871,0.0,0.5370010137557983,2.321880925388541
30,0.4,0.43166667222976685,0.16316666801770527,0.0,0.4926184117794037,2.3341084966086783
30,0.8,0.12166666984558105,0.12483333361645539,0.0,0.38263392448425293,2.3332899538218044
31,0.0,1.0,0.5630000044902166,0.0,0.4873022437095642,2.172305022366345
31,0.05,1.0,0.5997777799610049,0.0,0.5122190713882446,2.315970375959296
31,0.1,1.0,0.5892222212006648,0.0,0.5188009738922119,2.3355783728766255
31,0.2,1.0,0.5444444472591082,0.0,0.5357741117477417,2.3368973447359167
31,0.4,0.9083333611488342,0.4510555605093638,0.0,0.5541688799858093,2.3260545391240157
31,0.8,0.13333334028720856,0.11388888868192831,0.0,0.3299347460269928,2.333640284196008
