seed,method,trainable_parameters,initial_fine_success,final_fine_success,final_fine_reward,final_fine_abs_error,success_auc,interactions_to_70_success,initial_source_success,final_source_success,forgetting,marker_attention,proposal_coverage,attention_overlap,update_steps,grounding_updates,actor_seconds,update_seconds,seconds_per_update,prefix_calls,prefix_token_evaluations,learner_prefix_calls,learner_prefix_token_evaluations,cached_prefix,grounding_weight
29,frozen,0,0.0,0.0,0.24926792085170746,3.5227456092834473,0.0,,1.0,1.0,0.0,nan,nan,nan,0,0,0.018710271106101573,0.0,0.0,64,438900,0,0,False,0.0
29,full_policy,42534,0.0,0.6899999976158142,0.8665876984596252,0.37179338932037354,0.18166666527589162,,1.0,0.7012500166893005,0.29874998331069946,nan,nan,nan,420,0,0.021295760641805828,4.583514445228502,0.010913129631496434,904,1446900,840,1008000,False,0.0
29,adapter,13,0.0,0.28999999165534973,0.6951261162757874,0.9886141419410706,0.21951851348082224,,1.0,1.0,0.0,nan,nan,nan,420,0,0.02377348579466343,1.9686676498968154,0.004687303928325751,904,1446900,840,1008000,False,0.0
29,reward_attention,6371,0.0,0.5188888907432556,0.8189381957054138,0.5218310952186584,0.13514814951146642,,1.0,1.0,0.0,0.39704105257987976,0.2073121815919876,0.002955563133582473,420,0,0.025025677925441414,2.2171545745804906,0.005278939463286883,904,1446900,840,1008000,False,0.0
29,supervised_anchors,6371,0.0,1.0,0.9349080920219421,0.17072366178035736,0.43207407668232917,432,1.0,1.0,0.0,0.5888429284095764,0.3306298851966858,0.04662010073661804,420,420,0.024467791023198515,2.3317883232957684,0.00555187696022802,904,1446900,840,1008000,False,0.2
29,anchors_cached,6371,0.0,1.0,0.9349080920219421,0.17072366178035736,0.43207407668232917,432,1.0,1.0,0.0,0.5888429284095764,0.3306298851966858,0.04662010073661804,420,420,0.02464570285519585,1.248352438211441,0.002972267710027241,64,438900,0,0,True,0.2
30,frozen,0,0.0,0.0,0.25204363465309143,3.4951012134552,0.0,,1.0,1.0,0.0,nan,nan,nan,0,0,0.018397704989183694,0.0,0.0,64,438900,0,0,False,0.0
30,full_policy,42534,0.0,0.5933333039283752,0.8456806540489197,0.43902692198753357,0.2572592555855711,528,1.0,0.6112499833106995,0.38875001668930054,nan,nan,nan,420,0,0.019268255855422467,3.970766906859353,0.009454206921093698,904,1446900,840,1008000,False,0.0
30,adapter,13,0.0,0.27666667103767395,0.694115400314331,0.989992618560791,0.20848147869110106,,1.0,1.0,0.0,nan,nan,nan,420,0,0.021231057005934417,1.7499006453435868,0.004166430107960921,904,1446900,840,1008000,False,0.0
30,reward_attention,6371,0.0,0.41777777671813965,0.7851957082748413,0.6361896395683289,0.11503703811516365,,1.0,1.0,0.0,0.4574037790298462,0.2440776377916336,0.26191845536231995,420,0,0.02506948501104489,2.209221499564592,0.005260051189439504,904,1446900,840,1008000,False,0.0
30,supervised_anchors,6371,0.0,1.0,0.9636923670768738,0.09334498643875122,0.5564444445073604,384,1.0,1.0,0.0,0.5323613882064819,0.3019978106021881,0.04485902562737465,420,420,0.02607410482596606,2.5155286918161437,0.005989354028133676,904,1446900,840,1008000,False,0.2
30,anchors_cached,6371,0.0,1.0,0.9636923670768738,0.09334498643875122,0.5564444445073604,384,1.0,1.0,0.0,0.5323613882064819,0.3019978106021881,0.04485902562737465,420,420,0.027596550004091114,1.3429946632822976,0.0031976063411483274,64,438900,0,0,True,0.2
