seed,method,interactions,fine_success,fine_reward,fine_abs_error,source_success,marker_attention
29,frozen,0,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,48,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,96,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,144,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,192,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,240,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,288,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,336,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,384,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,432,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,480,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,528,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,576,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,624,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,672,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,frozen,720,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,full_policy,0,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,full_policy,48,0.0,0.25992587208747864,3.497340202331543,0.7124999761581421,nan
29,full_policy,96,0.0,0.26489749550819397,3.4387545585632324,0.5687500238418579,nan
29,full_policy,144,0.0,0.267651230096817,3.4185850620269775,0.3774999976158142,nan
29,full_policy,192,0.0,0.27958980202674866,3.334704637527466,0.3362500071525574,nan
29,full_policy,240,0.0,0.3029274642467499,3.3601467609405518,0.03999999910593033,nan
29,full_policy,288,0.0,0.2994218170642853,3.1991820335388184,0.42124998569488525,nan
29,full_policy,336,0.0,0.3410807251930237,2.8213915824890137,0.2775000035762787,nan
29,full_policy,384,0.15555556118488312,0.5678948163986206,1.659947156906128,0.1574999988079071,nan
29,full_policy,432,0.2755555510520935,0.6364387273788452,1.3067761659622192,0.09125000238418579,nan
29,full_policy,480,0.2011111080646515,0.6671251058578491,1.0879499912261963,0.0,nan
29,full_policy,528,0.2755555510520935,0.706359326839447,0.9306100606918335,0.02500000037252903,nan
29,full_policy,576,0.3799999952316284,0.7499737739562988,0.7756218910217285,0.9087499976158142,nan
29,full_policy,624,0.47777777910232544,0.8055354952812195,0.5704855918884277,0.7074999809265137,nan
29,full_policy,672,0.6144444346427917,0.8339409828186035,0.47607117891311646,0.5012500286102295,nan
29,full_policy,720,0.6899999976158142,0.8665876984596252,0.37179338932037354,0.7012500166893005,nan
29,adapter,0,0.0,0.24926792085170746,3.5227456092834473,1.0,nan
29,adapter,48,0.0,0.2592404782772064,3.4221205711364746,1.0,nan
29,adapter,96,0.0,0.3030361235141754,3.047480821609497,1.0,nan
29,adapter,144,0.0,0.4181959927082062,2.2593283653259277,1.0,nan
29,adapter,192,0.301111102104187,0.651435136795044,1.205634355545044,1.0,nan
29,adapter,240,0.2844444513320923,0.6818955540657043,1.0404759645462036,1.0,nan
29,adapter,288,0.24222221970558167,0.6842103004455566,1.0317448377609253,1.0,nan
29,adapter,336,0.28999999165534973,0.6844432353973389,1.030400276184082,1.0,nan
29,adapter,384,0.28999999165534973,0.6860241293907166,1.0248332023620605,1.0,nan
29,adapter,432,0.28999999165534973,0.6869645118713379,1.0223361253738403,1.0,nan
29,adapter,480,0.28999999165534973,0.6873332858085632,1.0189388990402222,1.0,nan
29,adapter,528,0.28999999165534973,0.6881073713302612,1.0155916213989258,1.0,nan
29,adapter,576,0.28999999165534973,0.6905681490898132,1.0069576501846313,1.0,nan
29,adapter,624,0.28999999165534973,0.6923723220825195,0.9999615550041199,1.0,nan
29,adapter,672,0.28999999165534973,0.6917805075645447,1.0005888938903809,1.0,nan
29,adapter,720,0.28999999165534973,0.6951261162757874,0.9886141419410706,1.0,nan
29,reward_attention,0,0.0,0.24926792085170746,3.5227456092834473,1.0,0.06476008892059326
29,reward_attention,48,0.0,0.2588314414024353,3.5556862354278564,1.0,0.023967405781149864
29,reward_attention,96,0.017777778208255768,0.27002131938934326,3.5391368865966797,1.0,0.032349612563848495
