k,success_rate,collision_rate,any_collision_free_candidate_rate,final_error_mean,chosen_mse_mean,oracle_best_mse_mean,both_sides_coverage,oracle_mode_match_rate,midpoint_side_separation_mean,chosen_over_rate,inference_forwards,candidate_chunks
1.0,0.0,1.0,0.0,0.0016777032934948226,0.027302291244268417,0.027302291244268417,0.0,0.4921875,0.0,0.623046875,1.0,1.0
2.0,1.0,0.0,1.0,0.007569767914220224,0.054445281624794006,8.901089313440025e-05,1.0,1.0,0.6765156984329224,1.0,1.0,2.0
4.0,1.0,0.0,1.0,0.001819264767035594,0.05280207470059395,7.744289905531332e-05,1.0,1.0,2.3227462768554688,0.8994140625,1.0,4.0
8.0,1.0,0.0,1.0,0.0019627221261747938,0.05597323924303055,7.820995961083099e-05,1.0,1.0,2.3125014305114746,0.1044921875,1.0,8.0
