method,seen_success,unseen_success,seen_action_rmse,unseen_action_rmse,unseen_chunk_rmse,unseen_sequence_accuracy,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop,hard_distractor_success,hard_corruption_success
direct_bc,1.0,0.0,0.06806901066253583,0.8708628316720327,3.389254371325175,0.0,0.0,0.0,0.0,0.0,0.0
prompt_one_step_bc,1.0,0.75,0.052673992700874805,0.2764555724958579,1.0156054099400837,0.9166666666666666,0.6723190148671468,0.598279494792223,0.75,0.5,0.08333333333333333
ifp_future_chunk,1.0,0.08333333333333333,0.061686430126428604,0.42246418197949726,1.5316408276557922,0.3333333333333333,0.6116049786408743,0.4551454136768977,0.08333333333333333,0.08333333333333333,0.0
ifp_shuffled_prompt,1.0,0.0,0.0600961089755098,0.8678548584381739,3.374730090300242,0.0,0.008942853465365866,0.0019213557243347168,0.0,0.0,0.0
