method,seen_success,unseen_success,seen_action_rmse,unseen_action_rmse,unseen_chunk_rmse,unseen_sequence_accuracy,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop,hard_distractor_success,hard_corruption_success
direct_bc,1.0,0.0,0.059200216175263956,0.8621043811241785,3.3524387975533805,0.0,0.0,0.0,0.0,0.0,0.0
prompt_one_step_bc,1.0,0.9166666666666666,0.03128527483851132,0.24425655831065443,0.931364847968022,0.9513888888888888,0.6571534619563155,0.6222943148265282,0.9166666666666666,0.7986111111111112,0.006944444444444444
ifp_future_chunk,1.0,0.6944444444444444,0.029339398820108425,0.26495099698917735,1.0146037936210632,0.7013888888888888,0.661811942855517,0.6038794363331463,0.6944444444444444,0.6805555555555556,0.027777777777777776
ifp_shuffled_prompt,0.9861111111111112,0.0,0.0668952305180331,0.8680805452167988,3.3757909619145923,0.0,0.0019663493088349546,0.0003605650530921088,0.0,0.0,0.0
